family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components
gauss_mix_kappa0.3,0.4,3,0.00025123910803312525,0.003397466012563325,13.52283901642963,0.008634608281241185,2
gauss_mix_kappa0.3,0.4,4,0.00024363936195201556,0.003397466012563325,13.944651575768168,0.01163133071874256,2
gauss_mix_kappa0.3,0.4,6,4.0121113029817145e-05,0.003397466012563325,84.68025326312362,0.016244238187510973,2
gauss_mix_kappa0.3,0.4,8,1.4195661750929574e-05,0.003397466012563325,239.33128811982638,0.019054682156252056,2
gauss_mix_kappa0.3,0.4,12,5.5483962957862676e-06,0.003397466012563325,612.332975411928,0.030046825718741843,2
gauss_mix_kappa0.3,0.4,16,2.174108305309477e-06,0.003397466012563325,1562.6940039124256,0.041091965218740256,2
gauss_mix_kappa0.3,0.8,1,0.0022111932268334793,0.0022111932268335114,1.0000000000000144,0.004867097312512669,2
gauss_mix_kappa0.3,0.8,2,0.0018459714961138348,0.0022111932268335114,1.1978479794994379,0.007269172125006662,2
gauss_mix_kappa0.3,0.8,3,0.0007486279289533655,0.0022111932268335114,2.9536611463653446,0.010954288687486269,2
gauss_mix_kappa0.3,0.8,4,0.0003073283619357316,0.0022111932268335114,7.194888271639294,0.013621956187492401,2
gauss_mix_kappa0.3,0.8,6,0.00011247940899426659,0.0022111932268335114,19.658649050567313,0.014627771468752826,2
gauss_mix_kappa0.3,0.8,8,4.0442606501616104e-05,0.0022111932268335114,54.67484462815598,0.021481802187494736,2
gauss_mix_kappa0.3,0.8,12,1.1400157404365456e-05,0.0022111932268335114,193.961640037249,0.03173085471874515,2
gauss_mix_kappa0.3,0.8,16,4.081879953902752e-06,0.0022111932268335114,541.7095190953261,0.038669462374997465,2
gauss_mix_kappa0.3,1.6,1,0.0016483622272500302,0.0016483622272500322,1.000000000000001,0.005289438656248535,2
gauss_mix_kappa0.3,1.6,2,0.0012567251546814141,0.0016483622272500322,1.3116330337701403,0.006933113093751331,2
gauss_mix_kappa0.3,1.6,3,0.001220003339499045,0.0016483622272500322,1.3511128813195534,0.008594870187494053,2
gauss_mix_kappa0.3,1.6,4,0.0004759236870489865,0.0016483622272500322,3.463501128659661,0.010382775375006759,2
gauss_mix_kappa0.3,1.6,6,0.00017938965166020674,0.0016483622272500322,9.188725280387406,0.013706849031251522,2
gauss_mix_kappa0.3,1.6,8,7.321399648649233e-05,0.0016483622272500322,22.514304727978455,0.0179596618437472,2
gauss_mix_kappa0.3,1.6,12,1.878958886697831e-05,0.0016483622272500322,87.72742388988297,0.028543806906256464,2
gauss_mix_kappa0.3,1.6,16,8.477734888913888e-06,0.0016483622272500322,194.43427387727732,0.03847029340624886,2
gauss_mix_kappa0.6,0.02,1,0.024523041054287733,0.024523041054287726,0.9999999999999997,0.005704532999999401,2
gauss_mix_kappa0.6,0.02,2,0.00019832911807092426,0.024523041054287726,123.648213095558,0.006585483687501892,2
gauss_mix_kappa0.6,0.02,3,0.00016800354760658048,0.024523041054287726,145.96740011534845,0.008374031312499142,2
gauss_mix_kappa0.6,0.02,4,2.152366250259213e-06,0.024523041054287726,11393.526102416063,0.010035642718747795,2
gauss_mix_kappa0.6,0.02,6,3.6645329571273216e-07,0.024523041054287726,66919.96317454784,0.014624811281251482,2
gauss_mix_kappa0.6,0.02,8,1.586200595680954e-08,0.024523041054287726,1546023.9468489175,0.019086270468761768,2
gauss_mix_kappa0.6,0.02,12,1.1793121150361577e-09,0.024523041054287726,20794360.323802702,0.02733731921875915,2
gauss_mix_kappa0.6,0.02,16,1.5789301831589959e-10,0.024523041054287726,155314283.78437865,0.03806379743750199,2
gauss_mix_kappa0.6,0.05,1,0.027761107411813566,0.027761107411813563,0.9999999999999999,0.004388078687497909,2
gauss_mix_kappa0.6,0.05,2,0.000921144975169047,0.027761107411813563,30.137609345064156,0.006342526375007651,2
gauss_mix_kappa0.6,0.05,3,0.0007735451280657551,0.027761107411813563,35.88815494350025,0.00869341621874753,2
gauss_mix_kappa0.6,0.05,4,4.206011847374152e-05,0.027761107411813563,660.0339803879785,0.010656988187506045,2
gauss_mix_kappa0.6,0.05,6,1.0442687190720837e-05,0.027761107411813563,2658.425643208151,0.014036133062504064,2
gauss_mix_kappa0.6,0.05,8,1.8833496704983571e-06,0.027761107411813563,14740.28314904881,0.017883715781252363,2
gauss_mix_kappa0.6,0.05,12,2.2257344549415022e-07,0.027761107411813563,124727.8503964355,0.027806470468746625,2
gauss_mix_kappa0.6,0.05,16,4.9349623830818564e-08,0.027761107411813563,562539.3925389338,0.03783981040623985,2
gauss_mix_kappa0.6,0.1,1,0.02701196904492148,0.027011969044921483,1.0000000000000002,0.007309024781250173,2
gauss_mix_kappa0.6,0.1,2,0.0025403398765238496,0.027011969044921483,10.633210656002504,0.007482656625001027,2
gauss_mix_kappa0.6,0.1,3,0.001968419828098666,0.027011969044921483,13.72266660766817,0.009247541749999755,2
gauss_mix_kappa0.6,0.1,4,0.00022816606001160237,0.027011969044921483,118.38732300302644,0.0112854257812387,2
gauss_mix_kappa0.6,0.1,6,7.286012615981841e-05,0.027011969044921483,370.7373356130462,0.01409341212499271,2
gauss_mix_kappa0.6,0.1,8,2.494427558445949e-05,0.027011969044921483,1082.8925038717175,0.01953802506250213,2
gauss_mix_kappa0.6,0.1,12,5.049025600489703e-06,0.027011969044921483,5349.937033850968,0.02968450550000057,2
gauss_mix_kappa0.6,0.1,16,1.7302802228552272e-06,0.027011969044921483,15611.326239600428,0.041193040812501636,2
gauss_mix_kappa0.6,0.2,1,0.023399269469552633,0.023399269469552637,1.0000000000000002,0.007375836031258132,2
gauss_mix_kappa0.6,0.2,2,0.004321982525001169,0.023399269469552637,5.414012975340827,0.006606433687494473,2
gauss_mix_kappa0.6,0.2,3,0.0018330680719072288,0.023399269469552637,12.765084847725648,0.008969127062499638,2
gauss_mix_kappa0.6,0.2,4,0.0006795353027880484,0.023399269469552637,34.434221994866725,0.009973127874999932,2
gauss_mix_kappa0.6,0.2,6,0.00022516494602647718,0.023399269469552637,103.9205697089329,0.013470606093747506,2
gauss_mix_kappa0.6,0.2,8,8.517187876100457e-05,0.023399269469552637,274.7299908131867,0.017686580718745404,2
gauss_mix_kappa0.6,0.2,12,4.423188306565788e-05,0.023399269469552637,529.0136401115622,0.02752708165625961,2
gauss_mix_kappa0.6,0.2,16,1.0399192985220472e-05,0.023399269469552637,2250.104359329432,0.03727827093750591,2
gauss_mix_kappa0.6,0.4,1,0.017129713260656137,0.01712971326065615,1.0000000000000009,0.006763109593748595,2
gauss_mix_kappa0.6,0.4,2,0.005993298262189502,0.01712971326065615,2.8581446327682407,0.006984876874994939,2
gauss_mix_kappa0.6,0.4,3,0.0017887772781871247,0.01712971326065615,9.576213578705914,0.008082316531243805,2
gauss_mix_kappa0.6,0.4,4,0.0014431604163821876,0.01712971326065615,11.869583634782666,0.009749208218750027,2
gauss_mix_kappa0.6,0.4,6,0.0006906992024629242,0.01712971326065615,24.800540089773236,0.014028579656240936,2
gauss_mix_kappa0.6,0.4,8,0.0003350575408911744,0.01712971326065615,51.12469104588762,0.018049771093757272,2
gauss_mix_kappa0.6,0.4,12,0.00010345262147593645,0.01712971326065615,165.58027255636628,0.02636613771875318,2
gauss_mix_kappa0.6,0.4,16,3.10924066512636e-05,0.01712971326065615,550.9291529853318,0.03803690171874052,2
gauss_mix_kappa0.6,0.8,1,0.014321184012230884,0.014321184012230861,0.9999999999999984,0.006921846156245692,2
gauss_mix_kappa0.6,0.8,2,0.006487038144963183,0.014321184012230861,2.2076614461332325,0.006181785437505027,2
