family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
uniform_kernel2,1.6,16,0.015480079829765729,0.015773171592444596,1.0189334787612205,0.04049252068749354,2,2
uniform_kernel4,0.02,1,0.05151756835339635,0.051517612160218836,1.0000008503278375,0.009017354937512323,4,4
uniform_kernel4,0.02,2,0.023300732783493424,0.051517612160218836,2.210986780497936,0.014131426406251535,4,4
uniform_kernel4,0.02,3,0.018340028675739875,0.051517612160218836,2.8090257147943367,0.020530211500002338,4,4
uniform_kernel4,0.02,4,0.005389678751442387,0.051517612160218836,9.558568244244926,0.028179952749994186,4,4
uniform_kernel4,0.02,6,0.004593573413212333,0.051517612160218836,11.215149411140473,0.04281113746876031,4,4
uniform_kernel4,0.02,8,0.004425915035455814,0.051517612160218836,11.63999122159225,0.06558459462500821,4,4
uniform_kernel4,0.02,12,0.004648204952683949,0.051517612160218836,11.083334896941611,0.11214464253124845,4,4
uniform_kernel4,0.02,16,0.004652745957322522,0.051517612160218836,11.072517741730575,0.19732430846875104,4,4
uniform_kernel4,0.05,1,0.054687879471837036,0.05468809475290963,1.0000039365408693,0.009797798500002841,4,4
uniform_kernel4,0.05,2,0.014709518000313029,0.05468809475290963,3.717871296105408,0.016577208812492472,4,4
uniform_kernel4,0.05,3,0.011397835298080836,0.05468809475290963,4.798112389123397,0.022934537500006513,4,4
uniform_kernel4,0.05,4,0.005559681647421727,0.05468809475290963,9.83655148281214,0.030841328874984697,4,4
uniform_kernel4,0.05,6,0.0044667285713135794,0.05468809475290963,12.243433618091306,0.04700997825000286,4,4
uniform_kernel4,0.05,8,0.003591875734265483,0.05468809475290963,15.22549742776472,0.06480338203124347,4,4
uniform_kernel4,0.05,12,0.0031912457524906892,0.05468809475290963,17.136911098190076,0.11438473762498802,4,4
uniform_kernel4,0.05,16,0.003084633848442294,0.05468809475290963,17.729201402794214,0.17378422918750402,4,4
uniform_kernel4,0.1,1,0.05592282172196014,0.055924846601988404,1.0000362084738559,0.008849005031237311,4,4
uniform_kernel4,0.1,2,0.016727646394558156,0.055924846601988404,3.343258536370179,0.014485671468747796,4,4
uniform_kernel4,0.1,3,0.0138996205241659,0.055924846601988404,4.023480101831369,0.020436001656236158,4,4
uniform_kernel4,0.1,4,0.007620935445113651,0.055924846601988404,7.338317848873261,0.026257678531266038,4,4
uniform_kernel4,0.1,6,0.005819726739730293,0.055924846601988404,9.60953135826789,0.04175932049997755,4,4
uniform_kernel4,0.1,8,0.004366123844698507,0.055924846601988404,12.8088090469294,0.05795299687500233,4,4
uniform_kernel4,0.1,12,0.0034928437847131155,0.055924846601988404,16.011264759893002,0.10235093568749676,4,4
uniform_kernel4,0.1,16,0.0031581534753837297,0.055924846601988404,17.708083865428133,0.17196311437498935,4,4
uniform_kernel4,0.2,1,0.04053240634701267,0.04052821414719239,0.9998965716522136,0.010087658843730196,4,4
uniform_kernel4,0.2,2,0.007767238671214891,0.04052821414719239,5.217840710546015,0.015845997875004514,4,4
uniform_kernel4,0.2,3,0.004644884339116574,0.04052821414719239,8.725344096490588,0.02146122365624592,4,4
uniform_kernel4,0.2,4,0.0035950218297400925,0.04052821414719239,11.27342643983957,0.03168664337499649,4,4
uniform_kernel4,0.2,6,0.002582033926929785,0.04052821414719239,15.6962361046058,0.041642865312496724,4,4
uniform_kernel4,0.2,8,0.002217930837720868,0.04052821414719239,18.272983745894862,0.06468098296875269,4,4
uniform_kernel4,0.2,12,0.00187922674198908,0.04052821414719239,21.566431150450228,0.1074909562812536,4,4
uniform_kernel4,0.2,16,0.0016541032228999805,0.04052821414719239,24.501623348594993,0.1698514805000002,4,4
