family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
laplace_kernel4,0.05,3,0.004464819728526383,0.05440100148702366,12.184366849001258,0.01972401509374322,4,4
laplace_kernel4,0.05,4,0.0037582541210857633,0.05440100148702366,14.475072662544479,0.02709261968749388,4,4
laplace_kernel4,0.05,6,0.0034229505455841552,0.05440100148702366,15.893014159145462,0.04459581081249553,4,4
laplace_kernel4,0.05,8,0.003347089201970611,0.05440100148702366,16.25322726833658,0.05860019975000341,4,4
laplace_kernel4,0.05,12,0.003331577245890579,0.05440100148702366,16.328902940529446,0.10520764959375128,4,4
laplace_kernel4,0.05,16,0.003330974477511519,0.05440100148702366,16.33185779545966,0.17418812990624133,4,4
laplace_kernel4,0.1,1,0.06900949782029453,0.0690055933592641,0.999943421396275,0.008759680906251788,4,4
laplace_kernel4,0.1,2,0.018729844028965995,0.0690055933592641,3.6842588359276176,0.014916597093744599,4,4
laplace_kernel4,0.1,3,0.007730478278247926,0.0690055933592641,8.92643260552617,0.02061663634374611,4,4
laplace_kernel4,0.1,4,0.006989557768896229,0.0690055933592641,9.87266943644723,0.02650689668749351,4,4
laplace_kernel4,0.1,6,0.0068199132949639234,0.0690055933592641,10.11825083028847,0.042187882250004805,4,4
laplace_kernel4,0.1,8,0.006740596083975827,0.0690055933592641,10.237313213783656,0.059292795531249,4,4
laplace_kernel4,0.1,12,0.006918365559274583,0.0690055933592641,9.97426238438022,0.10284185887499575,4,4
laplace_kernel4,0.1,16,0.0069743574305042326,0.0690055933592641,9.894186532145532,0.16516201687500143,4,4
laplace_kernel4,0.2,1,0.05405279064238734,0.05406040707086163,1.000140907220215,0.008350759656252649,4,4
laplace_kernel4,0.2,2,0.016363846620376765,0.05406040707086163,3.303649094556041,0.01401809084374861,4,4
laplace_kernel4,0.2,3,0.0051928041311045045,0.05406040707086163,10.410638588704678,0.02131808140624969,4,4
laplace_kernel4,0.2,4,0.00362904943489924,0.05406040707086163,14.896574995915591,0.027576279218749278,4,4
laplace_kernel4,0.2,6,0.002692865080086042,0.05406040707086163,20.07542355933194,0.043311486968747204,4,4
laplace_kernel4,0.2,8,0.0023129369455194915,0.05406040707086163,23.373057002520024,0.06336650743750738,4,4
laplace_kernel4,0.2,12,0.00216309375333884,0.05406040707086163,24.992170120882076,0.10624827134375892,4,4
laplace_kernel4,0.2,16,0.0021737695240917044,0.05406040707086163,24.869429105392587,0.16840403753126054,4,4
laplace_kernel4,0.4,1,0.059193853815027765,0.05917621698245855,0.9997020495975084,0.00851802446875638,4,4
laplace_kernel4,0.4,2,0.018269869887688882,0.05917621698245855,3.2390059341547,0.014825538500005564,4,4
laplace_kernel4,0.4,3,0.009243591028415384,0.05917621698245855,6.401864470263463,0.021125598437492954,4,4
