regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,64,20,0,0.8058250271773203,0.36652318647103116,0.805614072927669,0.36696526711845406,0.005825027177320252,0.005614072927668912,0.006523186471031284,0.006965267118454188,-0.00021095424965134058,0.0004420806474229044,nan,nan,nan
mixture,64,20,8,0.8041242281797992,0.35268949654855136,0.8041239725205412,0.3531327335942413,0.004124228179799183,0.004123972520541197,-0.0073105034514485134,-0.006867266405758576,-2.556592579860961e-07,0.00044323704568993705,2.424269675378529,2.3882418958803298,0.0
gaussian,64,21,0,0.8112053984408532,0.3452997495437057,0.8109842266046836,0.3457498933055004,0.01120539844085311,0.010984226604683567,-0.014700250456294195,-0.014250106694499498,-0.0002211718361695425,0.00045014376179469684,nan,nan,nan
mixture,64,21,8,0.8032238893548513,0.3600536019578118,0.8031243550011703,0.36048857414695895,0.003223889354851295,0.0031243550011702537,5.360195781189958e-05,0.0004885741469590754,-9.953435368104113e-05,0.00043497218914717584,3.09029259053346,3.1641996086920265,0.0
gaussian,64,22,0,0.7960543659437479,0.35132688591744304,0.7958455422479822,0.3517617604974149,-0.003945634056252145,-0.004154457752017837,-0.008673114082556832,-0.008238239502584954,-0.00020882369576569193,0.00043487457997187784,nan,nan,nan
mixture,64,22,8,0.8106844408631424,0.35564681981834767,0.8105682446598299,0.3560963895890279,0.010684440863142353,0.010568244659829862,-0.004353180181652205,-0.0039036104109719805,-0.00011619620331249081,0.00044956977068022486,2.659899645689155,2.9090126310777187,0.0
gaussian,64,23,0,0.8236198013785675,0.3730201246006543,0.8234206027635512,0.3734744904735569,0.02361980137856745,0.02342060276355118,0.013020124600654437,0.013474490473557033,-0.00019919861501627167,0.00045436587290259567,nan,nan,nan
mixture,64,23,8,0.7916072804122284,0.3404599542027129,0.7887704532915005,0.34086856316409875,-0.008392719587771658,-0.011229546708499516,-0.019540045797286965,-0.019131436835901128,-0.0028368271207278584,0.0004086089613858368,4.025134652218416,4.088989971625278,0.0
gaussian,64,24,0,0.780287789977757,0.36612768810181706,0.7800667545713927,0.36655833241835606,-0.019712210022242993,-0.019933245428607305,0.006127688101817186,0.006558332418356183,-0.00022103540636431163,0.00043064431653899726,nan,nan,nan
mixture,64,24,8,0.8109725461751672,0.37631537389556197,0.8109074296107557,0.37675585251221455,0.010972546175167186,0.010907429610755637,0.01631537389556209,0.016755852512214675,-6.511656441154923e-05,0.00044047861665258425,2.4573632113600477,2.402934849360136,0.0
gaussian,64,25,0,0.793943988985857,0.3573679712365957,0.7937169583352989,0.3578051675347978,-0.006056011014142992,-0.006283041664701172,-0.0026320287634041817,-0.002194832465202079,-0.00022703065055817984,0.0004371962982021027,nan,nan,nan
