regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,64,5,0,0.8108569657227914,0.3630437354244364,0.8106470431578233,0.3634853289910178,0.010856965722791379,0.010647043157823277,0.0030437354244365333,0.003485328991017944,-0.00020992256496810136,0.0004415935665814108,nan,nan,nan
mixture,64,5,8,0.7983925161330561,0.3792558048005723,0.7980317639010652,0.379697300512615,-0.0016074838669439817,-0.001968236098934817,0.01925580480057243,0.019697300512615146,-0.00036075223199083517,0.00044149571204271654,2.935064812753641,2.8356111249052116,0.0
gaussian,64,6,0,0.8121119913687443,0.3714832271225256,0.8119129767184309,0.3719190690796507,0.012111991368744301,0.011912976718430834,0.011483227122525752,0.011919069079650846,-0.0001990146503134671,0.00043584195712509377,nan,nan,nan
mixture,64,6,8,0.7776690391390074,0.35437127381840205,0.7768610087561575,0.3548171994010786,-0.02233096086099262,-0.023138991243842555,-0.005628726181597821,-0.005182800598921289,-0.0008080303828499336,0.0004459255826765318,2.3268863079109687,2.29559143780481,0.0
gaussian,64,7,0,0.8122674651171965,0.3616791762394415,0.8120588778112449,0.3621231664982452,0.012267465117196452,0.012058877811244817,0.0016791762394416376,0.0021231664982453435,-0.00020858730595163522,0.0004439902588037059,nan,nan,nan
mixture,64,7,8,0.796032209956556,0.3572458996134122,0.7958054061439171,0.3576826225986849,-0.003967790043444053,-0.0041945938560828955,-0.002754100386587688,-0.0023173774013149906,-0.00022680381263884275,0.00043672298527269726,3.2580552863943346,3.2981766523723755,0.0
gaussian,64,8,0,0.8036578064065133,0.38480680432442577,0.8034556147059299,0.3852454238753933,0.003657806406513253,0.0034556147059298103,0.02480680432442589,0.025245423875393413,-0.00020219170058344282,0.0004386195509675228,nan,nan,nan
mixture,64,8,8,0.8149848422129125,0.3674262116450919,0.814047010694694,0.3678271777332658,0.014984842212912408,0.01404701069469394,0.007426211645092051,0.007827177733265911,-0.0009378315182184682,0.0004009660881738597,1.8163142839479978,1.7842814395107354,0.0
gaussian,64,9,0,0.799951595532074,0.3525823508475132,0.79973301379096,0.3530317012011647,-4.840446792608866e-05,-0.00026698620904008763,-0.007417649152486661,-0.006968298798835149,-0.00021858174111399897,0.000449350353651512,nan,nan,nan
mixture,64,9,8,0.7982148363714753,0.33393589971651183,0.7915644398004942,0.33436488813569576,-0.0017851636285247663,-0.008435560199505865,-0.026064100283488045,-0.025635111864304116,-0.006650396570981099,0.0004289884191839288,4.475416098219734,5.412251537290992,0.0
gaussian,64,10,0,0.7818388806582991,0.3434465615341301,0.7816105276197928,0.34387744886896965,-0.01816111934170095,-0.018389472380207272,-0.016553438465869763,-0.016122551131030227,-0.0002283530385063237,0.0004308873348395359,nan,nan,nan
mixture,64,10,8,0.7976315690763109,0.35065678295671543,0.7970598112935702,0.3511032435324914,-0.002368430923689102,-0.0029401887064298693,-0.009343217043284446,-0.008896756467508482,-0.0005717577827407672,0.0004464605757759643,2.8267613902349886,2.8317024024217865,0.0
gaussian,64,11,0,0.8119046649314168,0.34841332415970655,0.8116956522454206,0.34886288543237676,0.01190466493141673,0.011695652245420574,-0.011586675840293326,-0.011137114567623119,-0.0002090126859961572,0.00044956127267020696,nan,nan,nan
mixture,64,11,8,0.7755718746638729,0.363768178805171,0.7751580194536728,0.3641871245188605,-0.02442812533612715,-0.024841980546327247,0.0037681788051711074,0.004187124518860608,-0.0004138552102000981,0.0004189457136895003,2.9669674276283162,3.2186948816682364,0.0
gaussian,64,12,0,0.8042967276161669,0.36015715586864183,0.8040829241125917,0.3606006562032278,0.00429672761616684,0.0040829241125917015,0.00015715586864195608,0.0006006562032279117,-0.00021380350357513844,0.0004435003345859556,nan,nan,nan
mixture,64,12,8,0.8083425688086161,0.3674700407502594,0.8078340218867643,0.36791648728099147,0.008342568808616058,0.007834021886764297,0.007470040750259532,0.007916487280991591,-0.0005085469218517602,0.00044644653073205864,2.8033585549461115,2.7533999167725716,0.0
gaussian,64,13,0,0.8170591133340713,0.339176523388426,0.8168484082483306,0.33961803413329367,0.017059113334071285,0.01684840824833056,-0.020823476611573855,-0.02038196586670621,-0.00021070508574072555,0.00044151074486764585,nan,nan,nan
mixture,64,13,8,0.8005209452626546,0.3306343245652281,0.8005539277245858,0.3310712304753198,0.0005209452626545596,0.0005539277245857344,-0.029365675434771754,-0.028928769524680098,3.298246193117471e-05,0.00043690591009165614,2.6535038445139376,2.622547308339451,0.0
gaussian,64,14,0,0.7931643870799953,0.3908249035320217,0.792971276549986,0.39125309413026366,-0.0068356129200047855,-0.0070287234500140405,0.03082490353202183,0.03125309413026378,-0.00019311053000925504,0.00042819059824195094,nan,nan,nan
mixture,64,14,8,0.8001992299435724,0.34201841652449244,0.8002062859007977,0.3424586423613497,0.00019922994357235435,0.00020628590079763143,-0.017981583475507434,-0.017541357638650168,7.055957225277076e-06,0.00044022583685726646,6.642646741137453,7.095243378010858,0.0
gaussian,64,15,0,0.7937780426838942,0.37172166557586733,0.7935702762484291,0.37214677734049717,-0.006221957316105864,-0.006429723751570915,0.011721665575867457,0.012146777340497295,-0.00020776643546505102,0.00042511176462983746,nan,nan,nan
mixture,64,15,8,0.7954121270806166,0.39597708442291796,0.7938024167288481,0.39642688065409,-0.004587872919383451,-0.006197583271151941,0.03597708442291808,0.03642688065409011,-0.0016097103517684896,0.00044979623117202827,2.707191216008673,2.7323788808437888,0.0
gaussian,128,0,0,0.7968635664221713,0.3646169437395154,0.7966507357855693,0.3650497070937124,-0.003136433577828779,-0.003349264214430714,0.004616943739515544,0.005049707093712497,-0.00021283063660193502,0.0004327633541969522,nan,nan,nan
mixture,128,0,8,0.8028900322629218,0.34950381664820973,0.802366752233663,0.34994463191474673,0.0028900322629217268,0.0023667522336630054,-0.010496183351790145,-0.010055368085253147,-0.0005232800292587214,0.000440815266536998,2.8624165016920378,2.9059995085673505,0.0
gaussian,128,1,0,0.8054337029981051,0.3616288099490829,0.8052243040848542,0.3620723256761756,0.005433702998105083,0.005224304084854192,0.0016288099490830432,0.0020723256761757125,-0.0002093989132508911,0.0004435157270926693,nan,nan,nan
mixture,128,1,8,0.8070015225333308,0.3627867599234985,0.8076732696228176,0.3632325278447585,0.007001522533330751,0.007673269622817558,0.0027867599234986384,0.003232527844758637,0.0006717470894868072,0.00044576792125999853,2.8964391601660973,2.9112699190775393,0.0
gaussian,128,2,0,0.7825189384604131,0.3555323326826548,0.7822887273177462,0.3559646113859733,-0.01748106153958695,-0.01771127268225381,-0.004467667317345103,-0.0040353886140265804,-0.0002302111426668585,0.0004322787033185227,nan,nan,nan
mixture,128,2,8,0.7989157048256502,0.3801303178528054,0.7986165240524075,0.3805635193338854,-0.0010842951743498253,-0.0013834759475925829,0.0201303178528055,0.020563519333885505,-0.0002991807732427576,0.00043320148108000334,2.3603659317550436,2.3732148088421727,0.0
