family,rho,t,excess_kurtosis,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_rel_q90,score_cosine_median,score_max_abs_median
gauss_mix_kappa0.3,0.5,0.6769,-0.18,2.6375765525892362e-05,0.008700686345243167,1.2380845689776662e-05,0.003377361795690312,0.00461800467404364,0.9999946048579453,0.01299603779456937
gauss_mix_kappa0.3,0.5,0.9821,-0.18,5.250028700213485e-06,0.0050876741502727755,9.963096326242083e-07,0.0010021999650156874,0.0012136668604914886,0.9999995549799101,0.002829554747171281
gauss_mix_kappa0.3,0.5,1.425,-0.18,3.797195961168254e-07,0.002062870261796976,2.4744483680364026e-08,0.00015693949112766895,0.00020937304519957057,0.9999999909689513,0.00038307577262275405
gauss_mix_kappa0.3,0.5,2.0676,-0.18,1.2547225808012363e-08,0.0006972096610946122,2.0733016969883298e-10,1.4026933841362946e-05,3.4533681759452945e-05,0.9999999999046982,3.8596097430732e-05
gauss_mix_kappa0.3,0.5,3.0,-0.18,4.7158593693497515e-11,0.0001094834194911458,1.1747613342111662e-13,3.3656672322043924e-07,4.633941874262293e-07,0.99999999999995,9.976352504104113e-07
gauss_mix_kappa0.6,0.5,0.05,-0.72,0.0018869128919538247,0.04031612257561064,0.1885341250445686,0.3050010592638711,0.3252348645455056,0.9537223767213127,1.132981063082422
gauss_mix_kappa0.6,0.5,0.0725,-0.72,0.0022578531565441533,0.04818033519582529,0.10720101616558729,0.2911728903383208,0.32977699525313003,0.9575737943655849,0.7279881812580765
gauss_mix_kappa0.6,0.5,0.1053,-0.72,0.0033822573748296184,0.05998422517436194,0.07597756069044001,0.21316264480817695,0.24696802585201708,0.9792396421466569,0.8361672403729008
gauss_mix_kappa0.6,0.5,0.1527,-0.72,0.0025670153298405973,0.06065509190348191,0.027309735444101004,0.15877497320403383,0.17906450474963728,0.9884564538768201,0.43054687218023957
gauss_mix_kappa0.6,0.5,0.2216,-0.72,0.002343057276568421,0.06337851002543367,0.011735081209016637,0.10194905234461446,0.11692617125951511,0.9955415888564669,0.2741679234289811
gauss_mix_kappa0.6,0.5,0.3215,-0.72,0.002251640139553178,0.062413310868233984,0.005262171967287606,0.06165280065338345,0.08406748415713099,0.9981240919159888,0.23828107330981574
gauss_mix_kappa0.6,0.5,0.4665,-0.72,0.0007643397837919072,0.04776864032750104,0.0008170423271519108,0.030701319628284138,0.04096740089727083,0.9996188447013327,0.07905266692593116
gauss_mix_kappa0.6,0.5,0.6769,-0.72,0.00032077453450633005,0.032486953387755695,0.00015057231264184974,0.012431462485813019,0.023648712677935314,0.9999338410923178,0.036803676342939795
gauss_mix_kappa0.6,0.5,0.9821,-0.72,6.374719565473328e-05,0.02137281305672093,1.209744721605242e-05,0.0038226852508663174,0.007381251522105506,0.9999944799971556,0.007214147359566603
gauss_mix_kappa0.6,0.5,1.425,-0.72,9.0070374312116e-06,0.00929116849413805,5.869449272680993e-07,0.0007281526192073128,0.0010339633132441107,0.9999997726007743,0.0023503397219130084
gauss_mix_kappa0.6,0.5,2.0676,-0.72,1.5577441116217556e-07,0.0026544621431877314,2.574014016725471e-09,5.500489402788193e-05,0.00010269745123886304,0.9999999987496484,0.00013437926439008319
gauss_mix_kappa0.6,0.5,3.0,-0.72,7.923909959707727e-10,0.0004922860964651126,1.9739144674871375e-12,1.500388539612912e-06,2.057163332354497e-06,0.9999999999990086,3.1628661580906936e-06
gauss_mix_kappa0.9,0.5,0.05,-1.62,0.022684611634074953,0.1641654238733301,2.2665717239218597,0.7922219429018358,0.947005499589211,0.6191633105780996,3.1049392692859223
