n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual,seed
4096,em_bp,0.1,0.011425172499662484,0.03423701053433627,0.00011357190113700426,6.402366084436392e-15,0
4096,dsm_net_eps,0.1,0.07531931909911421,0.2257041039434273,0.004935806601591545,9.047013519412487e-16,0
4096,dsm_net_x0,0.1,0.16926144399088344,0.5072138596720562,0.024926508315107752,4.345814928404752e-16,0
4096,em_bp,0.2,0.010339689458618748,0.017404502994745243,8.615370078752546e-05,8.103329941216466e-15,0
4096,dsm_net_eps,0.2,0.0996955236225032,0.16781461826246627,0.008009589603967186,7.93900219330435e-16,0
4096,dsm_net_x0,0.2,0.16580715430020093,0.27909843183564426,0.022154679831155925,5.192940556537431e-16,0
4096,em_bp,0.4,0.008344313528566178,0.0072361017801850355,4.6510563385511895e-05,1.4969571092240022e-14,0
4096,dsm_net_eps,0.4,0.16854426874555756,0.14615983435120053,0.01897572381685153,6.787643963010653e-16,0
4096,dsm_net_x0,0.4,0.16182286586465408,0.1403311037809335,0.0174924301692713,7.744302959037602e-16,0
4096,em_bp,0.8,0.011201931076627565,0.0040501086404909365,5.663084385151403e-05,2.427554211534666e-14,0
4096,dsm_net_eps,0.8,0.40251181236202405,0.14552995889686282,0.07311803316123937,6.160501762932929e-16,0
4096,dsm_net_x0,0.8,0.17135703116614498,0.06195490650562165,0.013251684852475475,1.6275281377236081e-15,0
4096,em_bp,1.6,0.011376183894306965,0.0009246301322328744,1.9497469873781404e-05,1.0268664556572325e-13,0
4096,dsm_net_eps,1.6,1.793452189180534,0.1457676801150508,0.4845790760118876,5.716856331295787e-16,0
4096,dsm_net_x0,1.6,0.2223891132062547,0.01807527700514349,0.007450957678344029,5.2531245397761296e-15,0
32,em_bp,0.1,0.02974985410553599,0.08914929454555645,0.0007700431192171177,2.436599412461791e-15,1
32,dsm_net_eps,0.1,0.45495729543076124,1.3633385156150823,0.1800887696511477,1.717833836701597e-16,1
32,dsm_net_x0,0.1,0.6440266361798395,1.9299093057836707,0.3608718643430717,1.5641145183144763e-16,1
32,em_bp,0.2,0.04594618331958941,0.07733989385109964,0.001701209615958475,1.840864442534721e-15,1
32,dsm_net_eps,0.2,0.5291415463628483,0.8906888030993714,0.22563302772353674,1.8744869962660968e-16,1
32,dsm_net_x0,0.2,0.6348929131693104,1.0686970486707377,0.32483282238243805,1.8462879153801644e-16,1
32,em_bp,0.4,0.05891858744860708,0.051093585357657643,0.0023188626473164536,2.1719972093244297e-15,1
32,dsm_net_eps,0.4,0.5709785076088364,0.4951466146629378,0.2177759388531736,2.373448195448645e-16,1
32,dsm_net_x0,0.4,0.6288467588887721,0.5453293594351002,0.26415572420203515,2.5179907503805843e-16,1
32,em_bp,0.8,0.09728263771758111,0.03517297588197118,0.004271082061280639,2.8759644853745715e-15,1
32,dsm_net_eps,0.8,0.7186280064471906,0.25982319283174704,0.23306417277332497,3.5011366713705325e-16,1
32,dsm_net_x0,0.8,0.6404073539497759,0.2315421635719246,0.18508868138012877,4.537937497396713e-16,1
32,em_bp,1.6,0.2118833908244887,0.017221395987984885,0.006763615011593244,5.3792035879829565e-15,1
32,dsm_net_eps,1.6,2.1825517405661063,0.17739279913492148,0.7176524083707632,4.735132184492343e-16,1
32,dsm_net_x0,1.6,0.7409140863952476,0.06021979743309782,0.08270290295074453,1.572433711705865e-15,1
64,em_bp,0.1,0.052470134214631974,0.15723355930927618,0.0023953540496599902,1.3618084221774356e-15,1
64,dsm_net_eps,0.1,0.42427920704549615,1.2714076467156719,0.15662059193359373,1.7683585414411458e-16,1
64,dsm_net_x0,0.1,0.5765912352375536,1.7278303846543457,0.28925537429237186,1.6316315553921852e-16,1
64,em_bp,0.2,0.06737329295454203,0.11340753353242582,0.003657922466633631,1.2236164651460682e-15,1
64,dsm_net_eps,0.2,0.5065859098561546,0.8527215464713781,0.20680696405518162,1.9106880384914775e-16,1
64,dsm_net_x0,0.2,0.5612029294310864,0.9446568105390619,0.2538042005163298,2.0004799302661384e-16,1
64,em_bp,0.4,0.08579189040488922,0.07439783377733789,0.004916577025980385,1.4572231827611398e-15,1
64,dsm_net_eps,0.4,0.5282352109616081,0.4580800730114123,0.18639105490263164,2.5208853918567707e-16,1
64,dsm_net_x0,0.4,0.5518136329199068,0.4785270349481022,0.20340200240695278,2.659086338447732e-16,1
64,em_bp,0.8,0.12926853311617306,0.04673762044561881,0.007541415720700072,2.083231250109154e-15,1
64,dsm_net_eps,0.8,0.723408655255196,0.26155165794298607,0.2361753903492689,3.517633483745223e-16,1
64,dsm_net_x0,0.8,0.5732161167060856,0.2072488690797151,0.14828732330927877,5.023494378247106e-16,1
64,em_bp,1.6,0.23817536988067053,0.01935834773711643,0.00854631207093959,4.84706048955151e-15,1
64,dsm_net_eps,1.6,2.271022792083406,0.1845835232673046,0.7770125549099183,4.596090963849401e-16,1
64,dsm_net_x0,1.6,0.6839466697766957,0.05558961648223111,0.070474098479962,1.7157328109265833e-15,1
128,em_bp,0.1,0.015957925900718047,0.04781999371871027,0.00022156351798701765,4.548265719899678e-15,1
128,dsm_net_eps,0.1,0.34099133339924265,1.0218247360424642,0.10116541007719493,2.163842303842861e-16,1
128,dsm_net_x0,0.1,0.5096677145915676,1.5272853791921364,0.2260058138785544,1.7736358402457715e-16,1
128,em_bp,0.2,0.019361724162183652,0.03259103549606732,0.0003020974115012566,4.217599812121675e-15,1
128,dsm_net_eps,0.2,0.4173363868136838,0.7024903816681198,0.14035615107793953,2.1678861472082298e-16,1
128,dsm_net_x0,0.2,0.49255249734820067,0.829099505306729,0.19550775895607259,2.1752767154901874e-16,1
128,em_bp,0.4,0.0234292997838545,0.020317644740222306,0.0003666814930782526,5.352356449447219e-15,1
