t,method,n_train,rel_error_total,level_-1,abs_level_-1,share_level_-1,level_0,abs_level_0,share_level_0,level_1,abs_level_1,share_level_1,level_2,abs_level_2,share_level_2,level_3,abs_level_3,share_level_3
0.4,dsm_eps,256,0.3151342429489086,0.09605511654930589,0.26634994037796306,0.06789323564215444,0.293441749069099,0.31313359380766354,0.09383840636508238,0.45786520111603607,0.30441150612773354,0.17736724579241456,0.6991935608695417,0.27178308048049254,0.28276530683836215,1.3859701730506189,0.222237968361213,0.3781358053619865
0.4,dsm_x0,256,0.2489158923673733,0.12144697384506656,0.3367586798576558,0.17395817306964934,0.22953929347564608,0.24494286894798917,0.09203157233786581,0.3518182335289931,0.23390621975793682,0.16784978039395004,0.5467369314641859,0.2125217618723374,0.2771239419499931,0.9571133651692801,0.1534715060270031,0.2890365322485417
0.8,bp_exact_grid,256,9.13278053419595e-16,8.196968007384451e-16,1.8847025857380705e-15,0.6544064629858897,1.1694020713338556e-15,8.412029707921807e-16,0.13036575452658333,1.1866181669050396e-15,5.450729510678524e-16,0.10947152916067332,1.4157695872243247e-15,3.2670093242348473e-16,0.07865433549831954,1.4635893634884657e-15,1.3560448543727443e-16,0.027101917828534064
0.8,bp_em,256,0.03341901399998956,0.03503002521793126,0.08054341440301825,0.8925669012761923,0.00313266605484747,0.0022534661571376505,0.0006986871979234514,0.017837616862678336,0.008193707744014208,0.018474455180458215,0.041131919172696166,0.009491541891666627,0.04958088043143997,0.06398053808337721,0.005927924977615951,0.03867907591398617
0.8,dsm_eps,256,0.5345981591582477,0.170545483220594,0.39212976422774365,0.08267470776714939,0.48041091404991476,0.3455809580008869,0.06421147710363709,0.8385072819171918,0.3851682465291829,0.1595306007245535,1.630528471173476,0.37625838037655884,0.30447063062089447,3.2462451071704583,0.30077110994568185,0.3891125837837657
0.8,dsm_x0,256,0.25873639052102326,0.15388211221241468,0.3538162092670119,0.2873481396805413,0.2541825133849554,0.1828447978880003,0.07673935716846132,0.37260946320539257,0.17115812429780955,0.13448627725405018,0.7398076513954213,0.1707169384806233,0.26758770718187874,1.2179564284605051,0.11284610211483609,0.2338385187150685
1.6,bp_exact_grid,256,9.36227513344801e-13,9.849794818611312e-13,1.4775450213093738e-12,0.9877222692886647,3.963711899852466e-13,1.4425815242330336e-13,0.009415299321052948,2.687738066616476e-13,5.4729815154458144e-14,0.0027103873279816803,8.464022888896505e-14,8.854160976170852e-15,0.00014187576564547572,4.282478331599937e-14,1.6761095888151402e-15,1.0168296655227574e-05
1.6,bp_em,256,0.08154199223280792,0.08584622511489891,0.12877594391819583,0.989060931627881,0.004242259189605557,0.0015439580076848077,0.0001421754240105046,0.021350029691116115,0.0043474592745860515,0.0022545226561159425,0.04516164181882169,0.004724330875056854,0.005324688028655898,0.06635025046182912,0.0025968675707883785,0.003217682263336589
1.6,dsm_eps,256,2.047935901169172,0.5824400520670452,0.8737048994327838,0.07217935929708892,2.057373930555804,0.748775313556207,0.053013504659829715,4.665814614996159,0.9500894994026489,0.17070353414805106,7.928950027973911,0.8294424630135687,0.2602052184548185,19.572568042887813,0.7660463505991585,0.4438983834402119
1.6,dsm_x0,256,0.33317644683890957,0.20250583080973159,0.3037743299319022,0.32966265944332107,0.40239392829220433,0.14645011067517102,0.07662086015926403,0.6641735283420676,0.1352441850198811,0.13068772947245189,1.2729581352204333,0.1331633478916245,0.25339440227403537,2.1882411688318495,0.08564508029510207,0.20963434865092767
