family,t,half_width,n_grid,score_rel,dlogev_per_site,forward_edge_max,forward_edge_mean,belief_edge_max,belief_edge_mean,zero_frac,shifted
student,0.05,10.0,401,1.0460860833472426e-15,2.3869795029440866e-14,2.748240021650188e-06,5.10266647510008e-07,4.184175646201996e-70,4.086109029494137e-73,0.0004261806421446384,0
student,0.05,10.0,801,1.131720098679518e-15,2.3869795029440866e-14,2.8588519475569963e-06,5.297179641052508e-07,9.983150328850367e-70,9.749170243017936e-73,0.00041208255305867663,0
student,0.0725,6.0,201,3.806980577576588e-15,4.418687638008123e-14,0.00012019539018413295,8.426742981903137e-06,4.447449922557105e-13,5.315510276056824e-16,0.0,0
student,0.0725,6.0,401,3.601346920852466e-15,2.9531932455029164e-14,0.00013114702748385286,9.133458281512703e-06,6.071091342673268e-13,7.312380476201724e-16,0.0,0
student,0.0725,6.0,801,3.5383475544629984e-15,5.928590951498336e-14,0.00013665615271711096,9.487812711025172e-06,7.018146298111864e-13,8.483244628097173e-16,0.0,0
student,0.0725,8.0,201,1.211032330857568e-15,3.68594044175552e-14,8.871947707417546e-06,1.5837479503512074e-06,1.389849231305456e-32,1.363135817478805e-35,0.0,0
student,0.0725,8.0,401,9.31345287816259e-16,3.708144902248023e-14,9.648651107469955e-06,1.714787135064311e-06,2.882835809769276e-32,2.8280962200382735e-35,0.0,0
student,0.0725,8.0,801,7.818966148811499e-16,5.928590951498336e-14,1.003868691383234e-05,1.7804597240625133e-06,3.992666479402112e-32,3.917258638732734e-35,0.0,0
student,0.0725,10.0,201,7.568663339725285e-16,4.1522341120980855e-14,1.5945835034023277e-06,4.718779773888977e-07,1.202704838727446e-61,1.1747334266190193e-64,0.0,0
student,0.0725,10.0,401,7.908052825331045e-16,2.375877272697835e-14,1.7314372010246125e-06,5.107315202929114e-07,5.1193942456724376e-61,5.000397744799237e-64,0.0,0
student,0.0725,10.0,801,8.717335960264366e-16,2.375877272697835e-14,1.8001080236609291e-06,5.302005091323608e-07,9.54186652072361e-61,9.32012624556667e-64,0.0,0
student,0.1053,6.0,201,2.2680219711655104e-10,9.476863738200336e-13,0.00018806631043508104,8.494362965495486e-06,8.463552115266095e-09,8.409991184499281e-12,0.0,0
student,0.1053,6.0,401,2.206912108305396e-10,9.070522111187529e-13,0.000205640196851741,9.208195196949684e-06,1.0315490272686108e-08,1.0261240360684752e-11,0.0,0
student,0.1053,6.0,801,2.1915391566317118e-10,9.303668946358812e-13,0.0002144918986309981,9.566152239086683e-06,1.1320014643852591e-08,1.1266348255873429e-11,0.0,0
student,0.1053,8.0,201,1.0020024392374745e-15,3.708144902248023e-14,1.1089213656697396e-05,1.5808347600593601e-06,8.396469213373912e-21,8.199799167897565e-24,0.0,0
student,0.1053,8.0,401,7.075477152911869e-16,3.708144902248023e-14,1.2069912160087442e-05,1.7116538474201004e-06,1.2801579869447574e-20,1.2501747013664513e-23,0.0,0
student,0.1053,8.0,801,6.621192719930505e-16,5.928590951498336e-14,1.2562603930307552e-05,1.7772166588410766e-06,1.554446279403267e-20,1.5180397470636266e-23,0.0,0
student,0.1053,10.0,201,6.28468744419274e-16,4.1522341120980855e-14,1.8388989467985063e-06,4.7083123588528445e-07,5.4499734476187766e-39,5.322239838669985e-42,0.0,0
student,0.1053,10.0,401,5.994323507480755e-16,2.375877272697835e-14,1.9976372158217263e-06,5.095975388935636e-07,1.2434179039546792e-38,1.214275333924644e-41,0.0,0
student,0.1053,10.0,801,6.486896325853375e-16,2.375877272697835e-14,2.077307257305442e-06,5.290228107349079e-07,1.7920597087143843e-38,1.7500583655723413e-41,0.0,0
