t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.6769,48,0.5081899418539597,0.741742982998469,0.0005341252999037238,0.052496610667193896,0.0002507196581885714,0.015202963471899332,0.9999037762894771,0.035069439117140444,5.52838898317962e-15,3.010409208683024e-07,0.0031560750958186667
0.6769,49,0.5081899418539597,0.741742982998469,0.0003068967644977164,0.03391547199863977,0.00014405805511911782,0.010401379285456485,0.9999554305062901,0.03268023523321695,8.391889129282383e-15,2.6801574701570623e-07,0.013359251088463586
0.6769,50,0.5081899418539597,0.741742982998469,0.000652433155894958,0.06825682934545628,0.00030625364098341656,0.018512470913441166,0.9998827170967053,0.037952757861471564,5.243548819279076e-15,3.4001961217314186e-07,0.00028181319239750646
0.6769,51,0.5081899418539597,0.741742982998469,0.00033778765073487363,0.055112114894652287,0.00015855830897325678,0.0131678027572673,0.9999439202359472,0.024813460580246582,7.132677830104369e-15,2.9423370394844724e-07,0.004782984600097434
0.6769,52,0.5081899418539597,0.741742982998469,0.0002743844289495414,0.03684171991225513,0.0001287966891867795,0.011820028442940498,0.999955931338204,0.023109120822188745,7.735018230116585e-15,2.593740708000596e-07,0.0024605723834364435
0.6769,53,0.5081899418539597,0.741742982998469,0.0013303624032576468,0.036212501393626216,0.0006244752066075236,0.024589156976254384,0.9997126321829083,0.07419592739540803,3.4134550048107576e-15,4.0599102690972796e-07,0.193535747945907
0.6769,54,0.5081899418539597,0.741742982998469,0.0005463909788289423,0.05294604516742074,0.0002564771964069175,0.017347982361382994,0.9999041406038534,0.035934720907765616,5.7356857960449e-15,3.3494319393836004e-07,0.0011830787718117575
0.6769,55,0.5081899418539597,0.741742982998469,0.0004333709199863654,0.03803820996823835,0.00020342531789344778,0.011685660377473478,0.9999317542336095,0.034414021215088075,6.145325725627059e-15,3.0976073693692137e-07,0.006452125601021319
0.6769,56,0.5081899418539597,0.741742982998469,0.0005647093816969118,0.04049454066881815,0.0002650758973230623,0.01377124503713523,0.9999201701876099,0.03301490769031723,4.866580815408129e-15,2.704641405879128e-07,0.005404628807660239
0.6769,57,0.5081899418539597,0.741742982998469,0.00045727546231481343,0.0461223845406147,0.00021464616566610042,0.01286510381135454,0.9999400089770781,0.03507024849858276,7.35796756993999e-15,2.961060141018731e-07,0.003546562247532803
0.6769,58,0.5081899418539597,0.741742982998469,0.00047931382503403223,0.02733051178464579,0.00022499102438931496,0.015044257082201345,0.9998985896116638,0.03631748208321295,5.842317689956657e-15,2.9096122698446834e-07,0.014198910166727141
0.6769,59,0.5081899418539597,0.741742982998469,0.0006837817240852209,0.039696606669425816,0.0003209687318109443,0.018743618481783374,0.9998739857753305,0.03705137397228597,4.639403148344183e-15,3.65120982969192e-07,0.0017096868715915647
0.9821,0,0.3745237725257959,0.8597319438130459,0.00019994497245807584,0.05812002918666825,3.794400248643761e-05,0.0075466683527883665,0.9999792672632412,0.01103570304297885,1.0400361190641757e-14,1.8798371521097645e-07,0.0038741465772959005
