budget,t,argmin_k,oracle_spread,best_distance,dist_k0,dist_k1,dist_k2,dist_k3,dist_k4
2000,0.2,0,0.2284861804938569,0.11457453145928773,0.11457453145928773,0.11457453145928773,0.12108090743800332,0.15213734396787093,0.2407083251939617
2000,0.4,0,0.27099191935674477,0.20611507873358556,0.20611507873358556,0.20611507873358556,0.21272512970181007,0.2475471277030154,0.35027428536911354
2000,0.8,1,0.2722483398164225,0.4626685729793169,0.46266857297931696,0.4626685729793169,0.474186181680107,0.5050247567240443,0.592861890795168
2000,1.6,0,0.23018561722315076,1.8322584508165898,1.8322584508165898,1.8322584508165898,1.9005930289348245,1.9905497672935875,2.109247088081077
4000,0.1,0,0.15564053289318053,0.07120911946438009,0.07120911946438009,0.07120911946438009,0.07545135900527258,0.09915896408949841,0.1717947917856133
4000,0.2,0,0.2284861804938569,0.1068997244419757,0.1068997244419757,0.1068997244419757,0.11136721111666167,0.14205757380455503,0.24134815722793349
4000,0.4,0,0.27099191935674477,0.18163087245840318,0.18163087245840318,0.18163087245840318,0.18742275429499014,0.22351845213550484,0.3329510159819895
4000,0.8,1,0.2722483398164225,0.3779116488810798,0.37791164888107986,0.3779116488810798,0.3858563772725553,0.4202133191692988,0.5077600617644443
4000,1.6,0,0.23018561722315076,1.518075321043503,1.518075321043503,1.518075321043503,1.56907058745039,1.6401878361760491,1.7449862619966103
8000,0.1,0,0.15564053289318053,0.08104556694234288,0.08104556694234288,0.08104556694234288,0.08396570980875732,0.10666021868339562,0.1759874638451275
8000,0.2,0,0.2284861804938569,0.12091604001869428,0.12091604001869428,0.12091604001869428,0.12390919771107456,0.15334457545185162,0.2461539206282652
8000,0.4,0,0.27099191935674477,0.18845301373026188,0.18845301373026188,0.18845301373026188,0.19297364390625887,0.22821581982605527,0.32416870335615
8000,0.8,1,0.2722483398164225,0.3702810372497422,0.37028103724974226,0.3702810372497422,0.37367798393230633,0.40751420479253925,0.4848405436381326
8000,1.6,0,0.23018561722315076,1.4459618202907891,1.4459618202907891,1.4459618202907891,1.4858440574688137,1.5523956596931583,1.6597903041587567
16000,0.1,0,0.15564053289318053,0.0869329440054257,0.0869329440054257,0.0869329440054257,0.09133463079519104,0.11059983056691691,0.1787983148725703
16000,0.2,0,0.2284861804938569,0.12862821145571787,0.12862821145571787,0.12862821145571787,0.13585624076712474,0.16047410101567935,0.25059944721473565
16000,0.4,0,0.27099191935674477,0.19796335246174082,0.19796335246174082,0.19796335246174082,0.20785730260399599,0.2381185067098101,0.33142714110278787
16000,0.8,1,0.2722483398164225,0.3880145360781574,0.38801453607815745,0.3880145360781574,0.39700066336941964,0.4233561404972616,0.49675958064912895
16000,1.6,0,0.23018561722315076,1.5274702439223513,1.5274702439223513,1.5274702439223513,1.5755375042047577,1.6386993687853928,1.7403844542082187
32000,0.1,0,0.15564053289318053,0.09474380808764528,0.09474380808764528,0.09474380808764528,0.09834943509447387,0.12065067560497286,0.18545870926433178
32000,0.2,0,0.2284861804938569,0.1367716715563539,0.1367716715563539,0.1367716715563539,0.1426131622644195,0.17394648570772422,0.2602650667566919
32000,0.4,0,0.27099191935674477,0.21084125052435337,0.21084125052435337,0.21084125052435337,0.21929140380999376,0.26122596844483725,0.34794134728080317
