n_chains,n_components,design,seed,update,log_evidence,q_before,rho_score,abs_rho_score,max_param_change,rel_ll_increment,ll_increment,monotone_ok,rho,innovation_mean,innovation_var,innovation_excess_kurtosis,min_sd_over_dx,min_component_mass,max_component_mass,effective_components,q_after,seconds
256,4,uniform,0,26,-10400.901715309177,-6492.120569363861,0.0035290067860858716,0.0035290067860858716,0.0032413408362587937,4.5372287988358914e-05,0.47193412069646,1,0.83739959508609,-0.012649591231320666,0.30731016478856127,0.6409366888723649,5.145844964255697,0.17868302489359186,0.34117870871699485,3.846445138061339,-6491.879859498918,0.14004070707596838
256,4,uniform,0,27,-10400.487469439453,-6461.063245801432,0.0031592799177013156,0.0031592799177013156,0.0030507270066701397,3.982788041488004e-05,0.4142458697242546,1,0.8383792118999489,-0.012600485169974893,0.30494637630544386,0.6670034857655578,5.1081180176902645,0.17777252778286132,0.3422377084268571,3.8430392742287975,-6460.848563892305,0.1334608329925686
256,4,uniform,0,28,-10400.120255966247,-6432.7811239673065,0.002828352802288887,0.002828352802288887,0.0028795563762408216,3.530733288079088e-05,0.36721347320599307,1,0.8392470635965886,-0.012556807276617435,0.3028490382377949,0.6935392461371293,5.072268645064541,0.17689406665550222,0.3432597377522041,3.839726190850092,-6432.58793701727,0.14010171010158956
256,4,uniform,0,29,-10399.791605310147,-6406.974462481441,0.0025321579108520684,0.0025321579108520684,0.0030869007979983376,3.160065922423502e-05,0.3286506560998532,1,0.840016216557958,-0.012517911632183859,0.30098714581966696,0.7204910506426572,5.038152544820884,0.17604458600667333,0.34424838473296626,3.836496406957668,-6406.799157860431,0.13213565410114825
256,4,uniform,0,30,-10399.494781447054,-6383.375217618017,0.0022671002211518015,0.0022671002211518015,0.0032977083679869845,2.8541327976351898e-05,0.2968238630928681,1,0.8406981288644962,-0.012483234116645153,0.29933353164607096,0.7478051537622283,5.005641694502885,0.17522143433729712,0.3452067666957744,3.833341487090013,-6383.2149126115955,0.1406465598847717
256,4,uniform,0,31,-10399.224423817723,-6361.743648432837,0.0020299897242084825,0.0020299897242084825,0.003480309262437753,2.5997188807083285e-05,0.2703576293315564,1,0.8413028784888604,-0.012452280644003586,0.2978643165267872,0.7754276192103822,4.974622091516384,0.17442231259576568,0.34613758973505293,3.830253955435623,-6361.596039474816,0.13235901086591184
256,4,uniform,0,32,-10398.976263447617,-6341.865342290495,0.001817985544341555,0.001817985544341555,0.0036371093819563827,2.3863353649427337e-05,0.24816037010532455,1,0.8418393524085236,-0.012424617405429564,0.2965584545825008,0.8033048756676209,4.944991840086002,0.17364522977099633,0.347043199943373,3.827227216491683,-6341.7285853854,0.14085937687195837
256,4,uniform,0,33,-10398.746897511668,-6323.548595381359,0.0016285494708193002,0.0016285494708193002,0.0037702778392331715,2.205658808507319e-05,0.22936593594931765,1,0.8423154043838361,-0.01239986272227314,0.2953973540440087,0.8313841991796327,4.916659527638281,0.17288846440520736,0.3479256278229541,3.8242554815069387,-6323.421211135027,0.13272564904764295
256,4,uniform,0,34,-10398.533610097384,-6306.622094565233,0.0014594071443938688,0.0014594071443938688,0.003881783028404029,2.0510876587972428e-05,0.213287414284423,1,0.8427379874698314,-0.012377680198089209,0.2943645591717411,0.8596141271017124,4.889542843842961,0.17215053104927597,0.3487866270154875,3.8213337000605594,-6306.502892694771,0.14073014492169023
256,4,uniform,0,35,-10398.334229600392,-6290.93285645546,0.0013085154883591544,0.0013085154883591544,0.003973421730760263,1.917390513581393e-05,0.19938049699158,1,0.8431132660419681,-0.01235777292561752,0.2934454817681487,0.8879448077456016,4.863567403616237,0.1714301508810875,0.3496277082571483,3.818457496223178,-6290.820875760559,0.133431782014668
256,4,uniform,0,36,-10398.147015241562,-6276.344387465806,0.0011740352462358994,0.0011740352462358994,0.004046842562800912,1.8004264403895824e-05,0.18721435882980586,1,0.8434467111201052,-0.012339878556043491,0.29262717313027203,0.9163282896368683,4.838665741949687,0.1707262258610437,0.35045016928539496,3.8156231088401826,-6276.238848098868,0.140899300808087
256,4,uniform,0,37,-10397.970566781385,-6262.735034907377,0.0010543077043156217,0.0010543077043156217,0.004103564850006791,1.6969221527504934e-05,0.17644846017719829,1,0.84374318199992,-0.012323765077616478,0.2918981291465402,0.9447187543158013,4.814776453790519,0.17003781591890205,0.3512551212828534,3.8128273355635285,-6262.635300442507,0.13335499516688287
256,4,uniform,0,38,-10397.80375273936,-6249.996504405126,0.0009478348503588024,0.0009478348503588024,0.004144993824032883,1.6042942317724488e-05,0.16681404202427075,1,0.8440069965942791,-0.012309227181619193,0.29124812270122247,0.973072696774143,4.791843456603863,0.1693641187600408,0.35204351233267916,3.810067480333414,-6249.902051722554,0.14134059008210897
256,4,uniform,0,39,-10397.645653388969,-6238.032523116626,0.0008532623591686535,0.0008532623591686535,0.004172432885424571,1.5205071585477547e-05,0.15809935039214906,1,0.8442419924098102,-0.012296083117837772,0.2906680587022323,1.0013490578189943,4.769815356882362,0.16870445195297704,0.35281614827268915,3.807341304073977,-6237.942918524028,0.13474602601490915
256,4,uniform,0,40,-10397.49551555515,-6226.757631654308,0.0007693649086401173,0.0007693649086401173,0.0041870935429969,1.4439599003748714e-05,0.1501378338180075,1,0.8444515797069291,-0.012284171960641693,0.2901498479612664,1.0295093128313209,4.7486449048781525,0.16805823701804082,0.3535737112670589,3.804646978417645,nan,0.1153950011357665
