seed,n_chains,n_components,inits_tried,val_log_evidence_per_edge,test_log_evidence_per_edge,schedule_score_risk,hellinger_weighted_mean_sq,hellinger_weighted_mean,s_min_over_h,effective_n_components,em_iters_used,em_converged
5,128,8,2,-1.3478409874204655,-1.357058698698231,0.41475577932917873,0.08167981502424193,0.2697165948677182,4.567773730264525,6.976954751503909,401,False
5,128,16,2,-1.3480095444958398,-1.357310418352601,0.4173480205113262,0.08037385260837966,0.2670596597052006,4.151207035681153,12.395411400550637,401,False
5,512,1,2,-1.3125404792284223,-1.3197670531953865,0.22953297952549584,0.030198500632646917,0.16911353021543207,14.321323134042373,1.0,58,True
5,512,2,2,-1.3169181776767445,-1.324685952110505,0.284536972348994,0.03653271432859531,0.18699948179021542,9.370376119489558,1.6336186219207534,401,False
5,512,4,2,-1.3163970631584674,-1.324240735634047,0.28614022932577204,0.036124893380941075,0.18573551651285003,5.805036026899933,3.5849759477745096,401,False
5,512,8,2,-1.3172242653303685,-1.3251776862005642,0.30090141733638254,0.039034605184415636,0.19399339149319053,4.617360456592831,7.612246720125987,401,False
5,512,16,2,-1.3177797844987842,-1.325809927190364,0.31223025807628313,0.0407093865748456,0.1982777563080227,4.183667362318673,14.91699068371638,401,False
6,128,1,2,-1.3802690580808163,-1.3739603820543507,0.40178297174743205,0.08847718689595221,0.2923581613358384,20.026890843842732,1.0,37,True
6,128,2,2,-1.3810294173326851,-1.3732347997820689,0.31998293945638734,0.07222339599038222,0.2622518035684719,3.2104158719678324,1.3298496528473536,401,False
6,128,4,2,-1.3907082007824736,-1.3825816335867482,0.4352166746880907,0.12974372541381288,0.3577267203699241,3.8143231768261363,3.5779300847641826,401,False
6,128,8,2,-1.3905376540145182,-1.3824084994340229,0.4411504481835924,0.12846059200367604,0.35570097014509106,3.223031551987607,6.091520855878697,401,False
6,128,16,2,-1.3903269447786497,-1.3821889301843564,0.44023487423556845,0.1290595327339628,0.356631022041929,3.1604211381665572,8.893459274780328,401,False
6,512,1,2,-1.308490493482588,-1.3033368778539778,0.18222056833484634,0.018223705310226306,0.1337508723200263,12.588731601551745,1.0,71,True
