t,half_width,n_grid,spacing,n_chains,boundary_mass_max,boundary_mass_p99,boundary_mass_p90,boundary_mass_median,kernel_norm_residual_max,kernel_norm_residual_interior
0.9821,4.0,801,0.009999999999999787,256,8.729521409114898e-05,5.6347634589069174e-05,3.2294454683688e-05,1.3374843708551636e-05,0.09981236703104945,0.0010101432319229442
1.425,4.0,801,0.009999999999999787,256,3.313666694007158e-05,2.7138876021197348e-05,1.6286667882303905e-05,8.904057812512854e-06,0.09981236703104945,0.0010101432319229442
2.0676,4.0,801,0.009999999999999787,256,1.2006895949812555e-05,1.041144349176058e-05,7.887274906764915e-06,5.932254583983669e-06,0.09981236703104945,0.0010101432319229442
3.0,4.0,801,0.009999999999999787,256,5.618300068768192e-06,5.492154375502771e-06,5.057163796309321e-06,4.722595199642072e-06,0.09981236703104945,0.0010101432319229442
0.05,6.0,201,0.05999999999999961,256,0.00018578733015914636,2.6942958392441553e-05,2.4346140696801044e-06,3.276080426619655e-07,0.042567017877987,0.0021611264915581962
0.0725,6.0,201,0.05999999999999961,256,7.567912652415917e-05,4.706787375992249e-05,2.201431717768243e-06,3.904507299968698e-07,0.042567017877987,0.0021611264915581962
0.1053,6.0,201,0.05999999999999961,256,2.151480837892266e-05,1.3024253764618342e-05,3.339820804442731e-06,3.9215546204366554e-07,0.042567017877987,0.0021611264915581962
0.1527,6.0,201,0.05999999999999961,256,0.0004225023727991839,6.349374683121731e-05,4.235759819088604e-06,5.328670486940728e-07,0.042567017877987,0.0021611264915581962
0.2216,6.0,201,0.05999999999999961,256,7.875740263022327e-05,3.059102888241336e-05,3.916419885805637e-06,4.989756791182786e-07,0.042567017877987,0.0021611264915581962
0.3215,6.0,201,0.05999999999999961,256,0.00024119549926706745,2.6082660430408917e-05,4.718076652199233e-06,5.504304997968351e-07,0.042567017877987,0.0021611264915581962
0.4665,6.0,201,0.05999999999999961,256,0.00017646260020605674,2.281829876369524e-05,3.658161858585452e-06,7.707842565470267e-07,0.042567017877987,0.0021611264915581962
0.6769,6.0,201,0.05999999999999961,256,3.442273935360362e-05,1.1208792305681433e-05,3.309681018992639e-06,6.978578294056132e-07,0.042567017877987,0.0021611264915581962
0.9821,6.0,201,0.05999999999999961,256,1.9111327249432722e-05,7.067780272511953e-06,2.4628228894569792e-06,7.638331916465163e-07,0.042567017877987,0.0021611264915581962
1.425,6.0,201,0.05999999999999961,256,4.251020913578898e-06,2.8105574733313373e-06,1.2947779634531907e-06,5.510457294770526e-07,0.042567017877987,0.0021611264915581962
2.0676,6.0,201,0.05999999999999961,256,1.1066511190405396e-06,8.022324300637115e-07,5.02747809162689e-07,3.433057381566005e-07,0.042567017877987,0.0021611264915581962
3.0,6.0,201,0.05999999999999961,256,3.172645323439059e-07,2.8520733161419603e-07,2.515862225035845e-07,2.2464141319333508e-07,0.042567017877987,0.0021611264915581962
0.05,6.0,401,0.03000000000000025,256,6.62727472838615e-05,3.463190397359349e-05,1.8320115618840554e-06,2.1535806068415507e-07,0.04411542674282909,0.0005403810177404544
0.0725,6.0,401,0.03000000000000025,256,2.4696537500224842e-05,1.2429736867695451e-05,1.4745662126210751e-06,1.8480852062716824e-07,0.04411542674282909,0.0005403810177404544
0.1053,6.0,401,0.03000000000000025,256,1.1610541817875497e-05,9.40802557148471e-06,1.9518614170482894e-06,1.9623225464727905e-07,0.04411542674282909,0.0005403810177404544
0.1527,6.0,401,0.03000000000000025,256,0.00016244003603328396,1.7014172463307717e-05,1.7748619308549505e-06,2.621361807126835e-07,0.04411542674282909,0.0005403810177404544
0.2216,6.0,401,0.03000000000000025,256,5.613276326489566e-05,1.9668802883972423e-05,2.49865085692723e-06,2.725040755354177e-07,0.04411542674282909,0.0005403810177404544
0.3215,6.0,401,0.03000000000000025,256,6.03463142341789e-05,1.0006839872406646e-05,2.1537522462715556e-06,2.758768366618792e-07,0.04411542674282909,0.0005403810177404544
0.4665,6.0,401,0.03000000000000025,256,1.3738288330070405e-05,6.875930524019732e-06,2.5002887802096614e-06,3.746475003762623e-07,0.04411542674282909,0.0005403810177404544
0.6769,6.0,401,0.03000000000000025,256,4.545689723040089e-05,6.236580920059836e-06,1.5259326687171171e-06,3.682073289440334e-07,0.04411542674282909,0.0005403810177404544
0.9821,6.0,401,0.03000000000000025,256,1.2231722229596527e-05,4.77881490206528e-06,1.2038713487963584e-06,3.3713919165610483e-07,0.04411542674282909,0.0005403810177404544
1.425,6.0,401,0.03000000000000025,256,1.6162307448927393e-06,1.3106848662428553e-06,6.851166305230272e-07,2.7814576011548157e-07,0.04411542674282909,0.0005403810177404544
2.0676,6.0,401,0.03000000000000025,256,5.079882236792496e-07,4.738859571646913e-07,2.725146299741612e-07,1.654908462914708e-07,0.04411542674282909,0.0005403810177404544
3.0,6.0,401,0.03000000000000025,256,1.589603498183263e-07,1.3803602793312807e-07,1.2777443453707133e-07,1.1345492153190504e-07,0.04411542674282909,0.0005403810177404544
0.05,6.0,801,0.01499999999999968,256,7.1802204375700165e-06,4.1440872798578334e-06,1.2267152676473217e-06,1.1488547350762291e-07,0.044502685849997836,0.00013503042889140282
0.0725,6.0,801,0.01499999999999968,256,1.3916066451041008e-05,2.6743523331066185e-06,8.22695744152478e-07,1.0425823741134747e-07,0.044502685849997836,0.00013503042889140282
0.1053,6.0,801,0.01499999999999968,256,3.126857980995365e-05,1.733236863924386e-05,7.953818967620578e-07,1.1885988277484148e-07,0.044502685849997836,0.00013503042889140282
0.1527,6.0,801,0.01499999999999968,256,2.0350365099247347e-05,7.337396099384466e-06,6.966397701862321e-07,1.1174521253635707e-07,0.044502685849997836,0.00013503042889140282
0.2216,6.0,801,0.01499999999999968,256,0.00012893159268073233,2.8964526294164068e-05,1.092547502177236e-06,1.372872908329841e-07,0.044502685849997836,0.00013503042889140282
0.3215,6.0,801,0.01499999999999968,256,1.5134607464632037e-05,1.1596607273687207e-05,8.451830138418543e-07,1.3951031162573566e-07,0.044502685849997836,0.00013503042889140282
0.4665,6.0,801,0.01499999999999968,256,9.797327788200118e-06,4.577281014879119e-06,1.0104698444672081e-06,1.7994627005917128e-07,0.044502685849997836,0.00013503042889140282
0.6769,6.0,801,0.01499999999999968,256,8.833260959341675e-06,4.6236495716482305e-06,7.350919176506892e-07,1.5802055805687662e-07,0.044502685849997836,0.00013503042889140282
0.9821,6.0,801,0.01499999999999968,256,8.892508599947558e-06,3.0727256755131316e-06,6.588950271937195e-07,1.7802800050002304e-07,0.044502685849997836,0.00013503042889140282
1.425,6.0,801,0.01499999999999968,256,1.0811127975078569e-06,6.413871245065029e-07,3.3008859962791385e-07,1.3284650048375114e-07,0.044502685849997836,0.00013503042889140282
2.0676,6.0,801,0.01499999999999968,256,2.552778221290377e-07,2.043697200621322e-07,1.2664093139047765e-07,8.417494318754787e-08,0.044502685849997836,0.00013503042889140282
3.0,6.0,801,0.01499999999999968,256,8.269201087263569e-08,7.366709698483042e-08,6.30058579996648e-08,5.6105846032486146e-08,0.044502685849997836,0.00013503042889140282
0.05,8.0,201,0.08000000000000007,256,2.3516606686977086e-06,1.1364261390414174e-07,2.254865706328716e-08,2.514418751572116e-09,0.01618232729983471,0.0038408915859238224
0.0725,8.0,201,0.08000000000000007,256,1.000391061461291e-06,3.8529748043146186e-07,2.45746576760619e-08,2.6847692902002463e-09,0.01618232729983471,0.0038408915859238224
0.1053,8.0,201,0.08000000000000007,256,1.7027682138601917e-07,1.6060721748308896e-07,2.379433562734568e-08,2.910653165614097e-09,0.01618232729983471,0.0038408915859238224
0.1527,8.0,201,0.08000000000000007,256,1.8942467211978393e-06,3.63166905566858e-07,1.7328836609672395e-08,3.2118756002623496e-09,0.01618232729983471,0.0038408915859238224
0.2216,8.0,201,0.08000000000000007,256,4.2813283464594835e-07,1.700084606819007e-07,1.8776629908887407e-08,3.2309267289435264e-09,0.01618232729983471,0.0038408915859238224
0.3215,8.0,201,0.08000000000000007,256,5.835530243181502e-07,3.8629963251040866e-07,2.1836312332547105e-08,3.4888775035748716e-09,0.01618232729983471,0.0038408915859238224
0.4665,8.0,201,0.08000000000000007,256,6.211953432705684e-07,3.3321234640042026e-07,3.2863699449214364e-08,4.052177816905435e-09,0.01618232729983471,0.0038408915859238224
0.6769,8.0,201,0.08000000000000007,256,3.868809357261873e-06,4.1730830593431023e-07,2.6401270417259983e-08,4.9335662796928405e-09,0.01618232729983471,0.0038408915859238224
0.9821,8.0,201,0.08000000000000007,256,4.883968403821502e-07,8.180271423992158e-08,2.0334814689277862e-08,5.4304800296046655e-09,0.01618232729983471,0.0038408915859238224
1.425,8.0,201,0.08000000000000007,256,5.7690496006914854e-08,4.1509562349491616e-08,1.3409964223304461e-08,4.439192168064595e-09,0.01618232729983471,0.0038408915859238224
2.0676,8.0,201,0.08000000000000007,256,1.1654782557093008e-08,7.412794522250849e-09,4.847492020159113e-09,2.8276047068008795e-09,0.01618232729983471,0.0038408915859238224
3.0,8.0,201,0.08000000000000007,256,2.9760832808565646e-09,2.448910535995028e-09,2.0303951045065842e-09,1.7715882104297656e-09,0.01618232729983471,0.0038408915859238224
0.05,8.0,401,0.040000000000000036,256,6.806924348136049e-07,9.239021191828657e-08,9.945309078636494e-09,1.2880783776262114e-09,0.01900499450018034,0.0009607758514014186
0.0725,8.0,401,0.040000000000000036,256,2.2469136729045828e-07,8.083508890715035e-08,1.1399993531886726e-08,1.3019866437754437e-09,0.01900499450018034,0.0009607758514014186
0.1053,8.0,401,0.040000000000000036,256,7.538682315801848e-07,1.2940592856734528e-07,1.5248960605562357e-08,1.4100522698915662e-09,0.01900499450018034,0.0009607758514014186
0.1527,8.0,401,0.040000000000000036,256,1.3378994592339235e-07,7.141829273874684e-08,9.85284097493536e-09,1.5868661681153215e-09,0.01900499450018034,0.0009607758514014186
0.2216,8.0,401,0.040000000000000036,256,6.321213475332055e-07,1.474299634494882e-07,1.1592482596266147e-08,1.6391986493981401e-09,0.01900499450018034,0.0009607758514014186
0.3215,8.0,401,0.040000000000000036,256,7.471730518456568e-07,1.902268962582965e-07,1.2722019403407385e-08,1.784035912103346e-09,0.01900499450018034,0.0009607758514014186
0.4665,8.0,401,0.040000000000000036,256,1.1805248988542762e-06,1.600841955821545e-07,1.3799091105048893e-08,1.8489762886389357e-09,0.01900499450018034,0.0009607758514014186
0.6769,8.0,401,0.040000000000000036,256,1.057545179264041e-06,1.1715335058138538e-07,1.4619473432934779e-08,2.63005405392594e-09,0.01900499450018034,0.0009607758514014186
0.9821,8.0,401,0.040000000000000036,256,5.21510273138129e-08,3.838410986547609e-08,1.0437397084587758e-08,3.012770161482944e-09,0.01900499450018034,0.0009607758514014186
1.425,8.0,401,0.040000000000000036,256,3.501001578603517e-08,2.4421072395749278e-08,5.833462665589704e-09,2.182116083163948e-09,0.01900499450018034,0.0009607758514014186
2.0676,8.0,401,0.040000000000000036,256,6.0203780300852885e-09,4.40620153560043e-09,2.4917009158150132e-09,1.449403807503723e-09,0.01900499450018034,0.0009607758514014186
3.0,8.0,401,0.040000000000000036,256,1.281268157415425e-09,1.15523890889738e-09,1.0265922268797195e-09,8.824537833386069e-10,0.01900499450018034,0.0009607758514014186
0.05,8.0,801,0.019999999999999574,256,3.846010026835688e-07,2.8474631174002144e-08,4.391728383817138e-09,6.355772029592803e-10,0.01971116964470554,0.0002402282272147005
0.0725,8.0,801,0.019999999999999574,256,9.017872992801422e-08,3.496778768404272e-08,4.539331359662046e-09,6.740722732024888e-10,0.01971116964470554,0.0002402282272147005
0.1053,8.0,801,0.019999999999999574,256,1.2949020618233132e-07,5.292073650577062e-08,8.628768844231336e-09,8.106184266903249e-10,0.01971116964470554,0.0002402282272147005
0.1527,8.0,801,0.019999999999999574,256,1.8576384468257317e-07,8.788946775343878e-08,5.60119167572413e-09,7.065940185542645e-10,0.01971116964470554,0.0002402282272147005
0.2216,8.0,801,0.019999999999999574,256,2.9908988711956386e-07,2.6493057288056277e-08,4.686657536258381e-09,7.29039271527285e-10,0.01971116964470554,0.0002402282272147005
0.3215,8.0,801,0.019999999999999574,256,1.2662849748459895e-07,4.986369466096031e-08,5.137438609707106e-09,8.670418192093018e-10,0.01971116964470554,0.0002402282272147005
0.4665,8.0,801,0.019999999999999574,256,6.582515329683932e-07,6.077660445511139e-08,6.368869476647878e-09,9.9440522544147e-10,0.01971116964470554,0.0002402282272147005
