family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,rate_over_gaussian
gauss_mix_kappa0.6,-0.72,0.5,0.8,4,0.007256566299765373,0.4124379553434841,0.002266505907220081,1.0072844079151186
gauss_mix_kappa0.6,-0.72,0.5,0.8,5,0.0030894253770680238,0.4124379553434841,0.002266505907220081,1.0072844079151186
gauss_mix_kappa0.6,-0.72,0.5,0.8,6,0.0011689444320824424,0.4124379553434841,0.002266505907220081,1.0072844079151186
gauss_mix_kappa0.6,-0.72,0.5,0.8,7,0.0004946333199324719,0.4124379553434841,0.002266505907220081,1.0072844079151186
gauss_mix_kappa0.6,-0.72,0.5,0.8,8,0.0002202478612656125,0.4124379553434841,0.002266505907220081,1.0072844079151186
gauss_mix_kappa0.6,-0.72,0.5,1.6,1,0.08214279563239311,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,2,0.037157003876775986,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,3,0.018191159777722836,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,4,0.008898756010824849,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,5,0.0041087776785340546,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,6,0.0022110156615213023,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,7,0.0009910334739634049,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.6,-0.72,0.5,1.6,8,0.00044738985865469327,0.4797023150279215,0.0033362732370742503,1.0017247714536601
gauss_mix_kappa0.9,-1.62,0.5,0.05,1,0.046853702319163505,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,2,0.011672391796201425,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,3,0.004302025961269912,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,4,0.0010618873509362695,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,5,0.0003174285931051038,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,6,0.00010825150691930169,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,7,3.198947851246504e-05,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.05,8,8.572106362517757e-06,0.2969344748164567,0.004137537541756034,4.9424182179325244
gauss_mix_kappa0.9,-1.62,0.5,0.1,1,0.07117660739309241,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,2,0.023834367516730962,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,3,0.006857654225975217,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,4,0.002168832168606879,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,5,0.0007571625808995124,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,6,0.00028024281105287893,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,7,6.474996324507324e-05,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.1,8,2.585121703210478e-05,0.320312665222637,0.005233816165573211,2.9131357770912127
gauss_mix_kappa0.9,-1.62,0.5,0.2,1,0.07293936743169575,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,2,0.023163130440268374,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,3,0.007204737664995771,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,4,0.0016108441256855695,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,5,0.00047397745243094654,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,6,0.00014832160206027607,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,7,6.107760058874373e-05,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.2,8,1.317945731722659e-05,0.29377652246537833,0.0068818898387821995,1.5570489905006553
gauss_mix_kappa0.9,-1.62,0.5,0.4,1,0.09030260296298627,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,2,0.024771281432646258,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,3,0.007276046702516438,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,4,0.002750712240235483,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,5,0.0008432346895823306,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,6,0.0002579479939033245,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,7,8.879628417187523e-05,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.4,8,2.470099402114144e-05,0.31593962326973135,0.0039001365167409202,1.094366853230387
gauss_mix_kappa0.9,-1.62,0.5,0.8,1,0.10704550144732913,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,2,0.04434930019168139,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,3,0.018220721362517164,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,4,0.007937136889562628,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,5,0.002982182703379884,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,6,0.0012791768133350073,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,7,0.000540276700096351,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,0.8,8,0.00018673611029475123,0.4073158712086617,0.003652368591526833,0.9947749009257845
gauss_mix_kappa0.9,-1.62,0.5,1.6,1,0.07659990144968364,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,2,0.03533621198038041,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,3,0.016197589054650772,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,4,0.00902272784124202,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,5,0.004226351432476687,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,6,0.001962739213848087,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,7,0.0009203362147955688,0.48420091389840497,0.003655377468654732,1.0111188431189897
gauss_mix_kappa0.9,-1.62,0.5,1.6,8,0.00047428118304719406,0.48420091389840497,0.003655377468654732,1.0111188431189897
gaussian,0.0,0.85,0.05,1,0.03095547698190504,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,2,0.006131497583911857,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,3,0.0012708821712788185,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,4,0.00025009664228910254,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,5,4.773260130587757e-05,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,6,9.901308750782494e-06,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,7,2.1083128369021678e-06,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.05,8,4.000394891126562e-07,0.2007158995385503,0.0009117276573912012,1.0
gaussian,0.0,0.85,0.1,1,0.07129747242516601,0.31307366936133796,0.0021080337845867524,1.0
