t,radius,frames,total_relative_error,radial_relative_error,tangential_relative_error
0.7,5,11,0.17286736762291152,0.13073207487665855,0.2026473345460971
0.7,6,13,0.15076545862131827,0.11511759997035916,0.17611333267808463
0.7,7,15,0.09344730391828841,0.059378416481290185,0.1152559795054863
0.7,8,17,0.0724603456154786,0.04908120218617882,0.08794620882354398
0.7,9,19,0.03691417126908628,0.022887140589557032,0.04578159299669171
0.7,10,20,0.0,0.0,0.0
1.0,0,1,0.21062452087396888,0.2588559749999832,0.14193567163114057
1.0,1,3,0.1942549647867216,0.21583499467350079,0.16813797916133075
1.0,2,5,0.17511882588185218,0.19742978032758432,0.14757099338514856
1.0,3,7,0.14949728890947536,0.15776073483181297,0.14012146713176937
1.0,4,9,0.1384515089522254,0.12926507862247383,0.14764501344249578
1.0,5,11,0.1184629149319362,0.10535957362990465,0.1310345355413889
1.0,6,13,0.10174649960060285,0.09553866329897763,0.107991453834941
1.0,7,15,0.07894334438025154,0.07632706427211232,0.08164867642748956
1.0,8,17,0.0515270010036662,0.045283541955237885,0.057458323094237665
1.0,9,19,0.030325185419308058,0.023032015820792198,0.036548551741944664
1.0,10,20,0.0,0.0,0.0
1.5,0,1,0.09983970978863324,0.09057007537213382,0.12234650291629928
1.5,1,3,0.09148931122819338,0.08330259174003184,0.11146542009560238
1.5,2,5,0.08046934420574518,0.07094596105826428,0.10276558403704128
1.5,3,7,0.07123891713717888,0.06311705679084957,0.09036946755194016
1.5,4,9,0.06733711247681703,0.05880541628979867,0.08708280841704642
1.5,5,11,0.050758521756683786,0.042397740207211126,0.06915995617225457
1.5,6,13,0.043412620439557514,0.038484805788379324,0.05502789774512861
1.5,7,15,0.03830239729746559,0.033687842277353004,0.04907417317259337
1.5,8,17,0.029773397386780615,0.025704787326479184,0.03906360117697181
1.5,9,19,0.01809890775205867,0.015906004618742146,0.02321295971700404
1.5,10,20,0.0,0.0,0.0
2.0,0,1,0.03809291036617334,0.04601422099816166,0.03305897854932425
2.0,1,3,0.03749536816320884,0.043237107894042046,0.03401026687478248
2.0,2,5,0.03417270411062879,0.04108041271949035,0.029804562405343182
2.0,3,7,0.031848264139947104,0.03962507581603537,0.026748682219121973
2.0,4,9,0.028001975162531716,0.03339760376472348,0.024617221012612985
2.0,5,11,0.027217684334313715,0.031168072434484242,0.02483556950059473
2.0,6,13,0.025994437381185606,0.028414217357754498,0.0245953497654988
2.0,7,15,0.02147511198038976,0.022427983221161008,0.02094493346192226
2.0,8,17,0.01493624928208001,0.01684704261965508,0.013800074122410563
2.0,9,19,0.008584435215458432,0.0099143368548966,0.007776026935486385
2.0,10,20,0.0,0.0,0.0
