t,lag,rr_rms,tt_rms,rt_rms,tr_rms,fro_rms,rr_signed_mean,tt_signed_mean,rr_linear,tt_linear
0.2,8,0.005022891966952596,0.13016469448886098,0.019132584619279448,0.021440791942238947,0.13339355489833254,0.0037887388832083843,0.1288382793765052,0.00026197318918517716,0.06391384396464446
0.2,9,0.004839732018426657,0.1288559887375873,0.018974472292380955,0.021406949104686466,0.132081705426211,0.003563137116471287,0.1274754893127641,0.000137672560214536,0.059005733319336055
0.2,10,0.005078100808136014,0.12531620380569483,0.018403430984596514,0.023023573897692298,0.12883597817036724,0.0037818907363917987,0.12383746188532725,7.234989922051722e-05,0.05447452928161513
0.4,0,1.797147846630774,1.725582979698387,0.0189633652308536,0.018963365230853575,2.4916051494801796,-1.797132953957173,-1.7254147144158316,0.010992904208904924,0.04595678939728868
0.4,1,0.015722187056616165,0.09122177086757748,0.019659899665376474,0.019692212392964776,0.09665864436170384,0.0139114949541897,0.08798711026846504,0.0058289974017709245,0.04368813867434455
0.4,2,0.013749065271895598,0.08895648694787442,0.019550627392217496,0.020813785540263557,0.09443375490736142,0.011410256745628697,0.08568552354598757,0.0030908311456337963,0.04153147958898463
0.4,3,0.01217821546400607,0.08749241912390854,0.019719700171181933,0.020193837104683372,0.09273559169969874,0.00972607056094953,0.08410484849051166,0.001638916011168152,0.03948128368909332
0.4,4,0.011263659942789887,0.08623817678297538,0.01969627152763194,0.019474061240081452,0.09127472455960177,0.008734060295474128,0.08271779594250876,0.0008690366976072818,0.03753229543384962
0.4,5,0.010501445657699122,0.08535034211454941,0.019735419127560033,0.018098775347803374,0.09006671803281693,0.007847688971430287,0.08178367420523079,0.0004608074951015197,0.03567951872149776
0.4,6,0.0101060982716283,0.08438063117178932,0.019654276028624906,0.018464442155436987,0.08915969004850909,0.007432036016504527,0.08075087691684309,0.00024434359115832786,0.03391820408217267
0.4,7,0.010062470103831158,0.08350808350270567,0.019448656216746272,0.018998164244569255,0.0883970236387299,0.007234769808290805,0.07988322284577101,0.00012956341026309655,0.03224383650294992
0.4,8,0.01011578637301541,0.08276044221366628,0.01925595653963792,0.019648977399079084,0.08779803018537505,0.0071949682009565,0.07911464276448679,6.870111550470822e-05,0.030652123853910408
0.4,9,0.009457750862847536,0.08256967392950688,0.019479022079289903,0.01907195070526154,0.08746640331623436,0.006858885266387771,0.0788446627379791,3.642882864851243e-05,0.029138985885550736
0.4,10,0.00905795706521125,0.08121299691613024,0.019183793968001368,0.020148982358870728,0.0863226325791759,0.006634615224722774,0.0773041974727707,1.9316419347102635e-05,0.027700543769335072
0.7,0,1.304627429013691,1.2648010640258196,0.019347050461051302,0.019347050461051302,1.8172845338082873,-1.3044187586173799,-1.2646609130363433,0.0032440455509922623,0.021278545564417564
0.7,1,0.03163496490351375,0.06468272956714283,0.019857583301710592,0.019149948324958227,0.07710817495010257,0.021389676171621925,0.061796988637195,0.0017264257057060593,0.020607063920556088
