t,grid_size,half_width,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.4,201,5.0,4.658924480072606e-14,6.826629008737767e-14,6.00175018659034e-14,1.2308912508413499,1.0
0.4,201,6.0,4.788081628498694e-16,1.0228006710006125e-16,7.512683724537038e-16,1.2980511321893289,1.0
0.4,201,7.0,4.837451437791046e-16,8.557199635502438e-17,7.004176071442454e-16,1.3207428209109615,1.0
0.4,201,8.0,6.865613751424456e-16,2.1168163872807869e-16,1.1446267669222969e-15,1.2789590574693093,1.0
0.4,401,4.0,6.419369420150251e-08,1.0809189181203725e-07,5.390927098163926e-08,0.00024668046224594724,1.0
0.4,401,5.0,4.494768963778445e-14,6.609991146082351e-14,5.80622353834535e-14,1.259073669544743,1.0
0.4,401,6.0,4.777724800360453e-16,9.966804670509672e-17,7.088891547542536e-16,1.3547388438656542,1.0
0.4,401,7.0,4.49416101838068e-16,1.0389689024656539e-16,6.854897346780438e-16,1.357704585665498,1.0
0.4,401,8.0,5.753475383819714e-16,9.322958804597136e-17,9.411776686195284e-16,1.2338378832012895,1.0
0.4,801,4.0,6.395780126038619e-08,1.0769093748850512e-07,5.371583484944522e-08,0.00026248656558484055,1.0
0.4,801,5.0,4.458751839936628e-14,6.559673764685087e-14,5.759878889098215e-14,1.259915359955081,1.0
0.4,801,6.0,4.75117806462485e-16,1.0130802885047901e-16,6.864822634884493e-16,1.3446418680237697,1.0
0.4,801,7.0,4.462563919864733e-16,1.0636021428956087e-16,6.366901070240438e-16,1.3674918842026402,1.0
0.4,801,8.0,4.552826091853693e-16,8.44321092927657e-17,7.041648488554265e-16,1.3871105769277314,1.0
