rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.8,0.2,2,8.0,201,0.08,7.903526021591174e-16,6.149516517966264e-16,1.0771963501284598,1.0
0.8,0.2,3,8.0,201,0.08,6.756485386686397e-16,4.521338326102889e-16,1.1309967974460726,1.0
0.8,0.2,4,8.0,201,0.08,7.302786644695994e-16,6.104000183508441e-16,1.1912323712460635,1.0
0.8,0.4,0,8.0,201,0.08,5.837336096235521e-16,8.514634687725268e-16,1.0320456012830732,1.0
0.8,0.4,1,8.0,201,0.08,5.306699747909661e-16,1.5258251948240677e-15,0.9561358237800545,1.0
0.8,0.4,2,8.0,201,0.08,4.650536384141682e-16,6.824106963417782e-16,1.0573562113269932,1.0
0.8,0.4,3,8.0,201,0.08,7.513389795033143e-16,5.629118488100988e-16,0.781638368945589,1.0
0.8,0.4,4,8.0,201,0.08,6.472021737866859e-16,9.368482841729055e-16,0.891688548994619,1.0
0.8,0.8,0,8.0,201,0.08,3.9472106455734075e-16,9.506452526683017e-16,0.7625893172959965,1.0
0.8,0.8,1,8.0,201,0.08,3.5691742856538334e-16,4.909882751024303e-16,1.1871009726047599,1.0
0.8,0.8,2,8.0,201,0.08,4.894546103155863e-16,1.3164828606801018e-15,0.8444708485093457,1.0
0.8,0.8,3,8.0,201,0.08,3.795981895715043e-16,7.638550827740454e-16,1.0651271213281592,1.0
0.8,0.8,4,8.0,201,0.08,3.0655993115894115e-16,1.0139953622118559e-15,1.238566126040113,1.0
0.8,1.6,0,8.0,201,0.08,3.94587359197102e-16,5.8316894268525e-15,0.73294876123671,1.0
0.8,1.6,1,8.0,201,0.08,1.8383025030285763e-14,2.253724931194571e-13,0.017971044701513866,1.0
0.8,1.6,2,8.0,201,0.08,5.4492915456896e-16,6.983202384046544e-15,0.5603647246319048,1.0
0.8,1.6,3,8.0,201,0.08,5.397063992378756e-15,5.1546939673803725e-14,0.04862551389027942,1.0
0.8,1.6,4,8.0,201,0.08,2.4140655976626405e-14,2.0854750254754887e-13,0.009414796092338923,1.0
0.8,2.4,0,8.0,201,0.08,3.261495149083445e-15,2.7767046829546893e-13,0.0809412550312247,1.0
0.8,2.4,1,8.0,201,0.08,4.932826271072896e-15,3.738300768832697e-13,0.07259346348689999,1.0
0.8,2.4,2,8.0,201,0.08,1.7080225634773626e-15,1.490404875329401e-13,0.18431084838362155,1.0
0.8,2.4,3,8.0,201,0.08,4.863049172328082e-15,3.1063899993189846e-13,0.06189084700991304,1.0
0.8,2.4,4,8.0,201,0.08,1.482127316350919e-15,1.8590092534922918e-13,0.256918720773087,1.0
0.8,0.005,0,8.0,401,0.04,7.539384523737418e-15,6.089044347790412e-16,3.569532936372187,0.0
0.8,0.005,1,8.0,401,0.04,6.772361801568959e-15,8.800699347756727e-16,4.2182080310273316,0.0
0.8,0.005,2,8.0,401,0.04,7.560510895270762e-15,5.857903736682271e-16,3.8337503622007074,0.0
0.8,0.005,3,8.0,401,0.04,1.1033756154783672e-14,6.132195405082998e-16,3.315972245883345,0.0
0.8,0.005,4,8.0,401,0.04,7.740893182661196e-15,8.249181134924163e-16,5.19417817447538,0.0
0.8,0.01,0,8.0,401,0.04,6.689579671570487e-15,9.51637563471711e-16,2.541138683372017,1.0
