rho,grid_size,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.2,801,0.05,1.229879542693357e-15,3.210021540856076e-16,2.732015072554833e-16,3.4525458661532995,1.0
0.2,801,0.1,7.641458654567847e-16,1.0919391305591721e-16,3.27067651380032e-16,2.9869395133910674,1.0
0.2,801,0.2,4.443929864053298e-16,5.1785377124403903e-17,3.130628655528553e-16,2.104216742503302,1.0
0.2,801,0.4,3.0075635590302677e-16,3.4494238253760874e-17,2.9350856883840653e-16,1.761385986813713,1.0
0.2,801,0.8,1.443445197181828e-14,1.768746822227179e-14,5.081878563224178e-14,0.928956392991934,1.0
0.2,801,1.6,7.328831195599695e-15,1.0047075411361552e-14,1.6197141466051753e-13,0.19596832413010193,1.0
0.2,801,2.4,9.323546904970045e-16,1.5916814064451678e-16,9.341583517676033e-14,0.40476253014371866,1.0
0.5,101,0.005,0.024235329127444808,0.003943985374415619,0.0003088260488375021,1.2061279216193886e-12,0.0
0.5,101,0.01,1.2416310652179742e-05,2.6064179373992277e-06,2.8808581799722576e-07,1.4428298612206463e-09,0.0
0.5,101,0.02,7.2179645337959655e-12,1.532767844014614e-12,3.9298490042850264e-13,0.0013878267716670733,0.0
0.5,101,0.05,1.895543070601396e-15,5.183145478969635e-16,4.925218547691475e-16,2.417710437389506,0.0
0.5,101,0.1,1.005205699694891e-15,3.3809466497057745e-16,3.909997555225632e-16,1.99209229267668,0.0
0.5,101,0.2,5.631692379385756e-16,1.5326826727092072e-16,4.570651235931826e-16,1.8450088552654347,1.0
0.5,101,0.4,3.852817899464391e-16,6.216092161066734e-17,4.038330288880691e-16,1.4254970644831721,1.0
0.5,101,0.8,2.0603058216637953e-15,2.5378410144225728e-15,6.381888017662696e-15,1.2261214729261571,1.0
0.5,101,1.6,6.917652727189068e-15,5.080761613497842e-15,1.34067358256629e-13,0.13412256015547183,1.0
0.5,101,2.4,1.8406800730945922e-15,7.114087798693834e-16,1.8281645363628912e-13,0.3015338213492354,1.0
0.5,201,0.005,5.81350079695262e-12,1.0105481167225073e-12,7.383748842106294e-14,0.006279795778103304,0.0
0.5,201,0.01,8.028113002917344e-15,1.6268130356270402e-15,3.7895367459607635e-16,2.855528044433764,0.0
0.5,201,0.02,4.313662908891807e-15,7.141578303772246e-16,4.421484507407573e-16,1.9661481787188855,0.0
0.5,201,0.05,1.9600668772949807e-15,3.047383873862722e-16,4.720284878478973e-16,1.9782840682110994,1.0
0.5,201,0.1,9.536639371704079e-16,2.4112627544088654e-16,4.055932060555305e-16,2.021371776298961,1.0
0.5,201,0.2,6.074413563755218e-16,1.2520444949998498e-16,4.412658117042352e-16,2.0196201316132742,1.0
0.5,201,0.4,3.7608140163399795e-16,5.71669343956545e-17,3.994762051546299e-16,1.4412437735648194,1.0
0.5,201,0.8,1.8416137725359477e-15,2.254504561080573e-15,5.730685388192484e-15,1.1521511474927915,1.0
0.5,201,1.6,6.3328707934803815e-15,4.646170543913496e-15,1.2254672022806461e-13,0.1336324220348899,1.0
0.5,201,2.4,1.6805942398408422e-15,6.375349274698197e-16,1.6736026162285393e-13,0.3233033029518607,1.0
0.5,401,0.005,1.4681435121162965e-14,1.7312451847834168e-15,3.714857639466185e-16,2.1967363327204397,0.0
0.5,401,0.01,7.589570895404837e-15,1.907793153425515e-15,3.9692552178850445e-16,2.687618450752199,1.0
0.5,401,0.02,3.73455859717457e-15,7.461548865587782e-16,4.1048088431675106e-16,2.9273576122027616,1.0
0.5,401,0.05,1.4910032758631753e-15,2.1278130704125672e-16,4.3296453464422537e-16,2.6610094770001465,1.0
0.5,401,0.1,7.96089863622982e-16,1.0639627281845328e-16,3.605311115440575e-16,2.6275982286336625,1.0
0.5,401,0.2,4.917604630789645e-16,1.742004561574575e-16,4.1252117928359654e-16,2.045997154557436,1.0
0.5,401,0.4,3.3798888718250493e-16,4.4444182271524675e-17,3.4995263852198164e-16,1.671727128960698,1.0
0.5,401,0.8,1.8184064715894014e-15,2.193480575990098e-15,5.6121746145576255e-15,1.2819605225303008,1.0
0.5,401,1.6,6.200115020474649e-15,4.5433194290813115e-15,1.2006626285371662e-13,0.12994826292388728,1.0
0.5,401,2.4,1.6462963662568726e-15,6.289013299832511e-16,1.644830681577377e-13,0.343471298206423,1.0
0.5,801,0.005,1.3704637354648244e-14,3.067249632612787e-15,3.438446384687208e-16,2.85082278049191,1.0
0.5,801,0.01,6.742629264852402e-15,1.999347738837593e-15,3.7932963108172134e-16,3.611607955710624,1.0
0.5,801,0.02,3.727746149474377e-15,7.651418063034177e-16,4.1006519947636537e-16,2.580962943507,1.0
0.5,801,0.05,1.3254777809263195e-15,2.1466604417444377e-16,4.269013352265714e-16,3.2784352076943613,1.0
0.5,801,0.1,7.514452753344053e-16,2.499846036278988e-16,3.4632685399136045e-16,2.7100129609157593,1.0
0.5,801,0.2,4.949571062350909e-16,1.2509930604031503e-16,3.8656153686071184e-16,2.0078450534505445,1.0
0.5,801,0.4,3.4074932339547515e-16,6.246779677898915e-17,3.426433927678562e-16,1.728470855202667,1.0
0.5,801,0.8,1.8087276891864704e-15,2.176513213344688e-15,5.583717227668367e-15,1.2606602371921014,1.0
0.5,801,1.6,6.14786328343063e-15,4.528662106323402e-15,1.1925492632375847e-13,0.13396316831678992,1.0
0.5,801,2.4,1.634118713036658e-15,6.182027758575786e-16,1.6326995263569954e-13,0.34084755085662777,1.0
0.8,101,0.005,0.015818177578552903,0.000951420579831549,0.00034653760611794994,2.3999208007593035e-12,0.0
