rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.95,0.05,2,5.0,801,0.0125,1.9916043895035385e-15,3.980325341908552e-15,3.1978299615332224,1.0
0.95,0.05,3,5.0,801,0.0125,1.6349732687348993e-15,1.2981649073933733e-15,3.219982717389752,1.0
0.95,0.05,4,5.0,801,0.0125,1.8495968616548137e-15,3.8039759402805426e-16,2.378657323258056,1.0
0.95,0.05,0,6.0,801,0.015,2.110666453494043e-15,1.0906526678295257e-15,1.9279624894778056,1.0
0.95,0.05,1,6.0,801,0.015,1.9360550362129622e-15,2.735680328917904e-15,3.1819229666168365,1.0
0.95,0.05,2,6.0,801,0.015,2.0141867901478987e-15,3.940717134230362e-15,3.1579150508551916,1.0
0.95,0.05,3,6.0,801,0.015,1.664891568649633e-15,1.3557174558619612e-15,3.161829636096976,1.0
0.95,0.05,4,6.0,801,0.015,2.082940582132158e-15,4.4096236077419715e-16,2.094465139390637,1.0
0.95,0.05,0,7.0,801,0.0175,2.170280438207938e-15,1.0713892721098615e-15,1.8825096673711852,1.0
0.95,0.05,1,7.0,801,0.0175,1.7992669523607746e-15,2.7607503524004005e-15,3.411780846985491,1.0
0.95,0.05,2,7.0,801,0.0175,1.9761751257432563e-15,3.9191478966593154e-15,3.2195673749225024,1.0
0.95,0.05,3,7.0,801,0.0175,1.713280711193217e-15,1.2656134918838133e-15,3.0672349334112776,1.0
0.95,0.05,4,7.0,801,0.0175,1.871444582780957e-15,4.252593626853654e-16,2.3224067489132256,1.0
0.95,0.05,0,8.0,801,0.02,2.0040592797421957e-15,1.1665659526460344e-15,2.027592721124275,1.0
0.95,0.05,1,8.0,801,0.02,1.889000825570412e-15,2.8011463651625977e-15,3.2538607488699447,1.0
0.95,0.05,2,8.0,801,0.02,1.9513497513811835e-15,3.95588906165417e-15,3.2653076915649266,1.0
0.95,0.05,3,8.0,801,0.02,1.5957434893293477e-15,1.2941349076743642e-15,3.3115884613494746,1.0
0.95,0.05,4,8.0,801,0.02,1.7733661862840216e-15,4.0657110682195755e-16,2.432508682035985,1.0
0.95,0.4,0,4.0,101,0.08,2.739454332144448e-07,2.0002484949824688e-07,1.7772542061343567e-09,1.0
0.95,0.4,1,4.0,101,0.08,2.9973416791440884e-12,5.726591651638242e-12,0.00022152616738565478,1.0
0.95,0.4,2,4.0,101,0.08,3.285323139730853e-08,3.0250259508206477e-08,2.4239561311732695e-08,1.0
0.95,0.4,3,4.0,101,0.08,3.743014623206618e-08,5.8335519340698465e-08,1.3739074850204861e-08,1.0
0.95,0.4,4,4.0,101,0.08,3.287904778772756e-12,1.3172256416122681e-11,0.00014545256900556604,1.0
0.95,0.4,0,5.0,101,0.1,8.845716192105992e-14,6.476457997617831e-14,0.006015866254338408,1.0
0.95,0.4,1,5.0,101,0.1,5.193629042329418e-16,8.730586933554957e-16,1.2579245370928254,1.0
0.95,0.4,2,5.0,101,0.1,2.744032192937112e-15,2.6450192358011745e-15,0.294431823425995,1.0
0.95,0.4,3,5.0,101,0.1,1.7208263836364708e-13,2.679160234892471e-13,0.0028685382545408766,1.0
0.95,0.4,4,5.0,101,0.1,3.6574055621254203e-16,1.5633373679666033e-15,1.2044139734076875,1.0
0.95,0.4,0,6.0,101,0.12,4.597937751289145e-16,3.406825574115599e-16,1.1397927506047767,1.0
0.95,0.4,1,6.0,101,0.12,5.397603527510083e-16,8.942325412203584e-16,1.2229240662970595,1.0
0.95,0.4,2,6.0,101,0.12,7.427170340154723e-16,4.209658064519105e-16,1.11261845645525,1.0
0.95,0.4,3,6.0,101,0.12,5.258139562916878e-16,7.140021732528498e-16,0.9726808135114349,1.0
0.95,0.4,4,6.0,101,0.12,5.024345805044771e-16,2.167399781367534e-15,0.9078767306045189,1.0
0.95,0.4,0,7.0,101,0.14,4.565790300950412e-16,3.0932761675103783e-16,1.1586104434430071,1.0
0.95,0.4,1,7.0,101,0.14,5.489607383003616e-16,8.0261950967913655e-16,1.1729093444216467,1.0
0.95,0.4,2,7.0,101,0.14,6.153066958929456e-16,4.229219777981012e-16,1.2892607375445362,1.0
0.95,0.4,3,7.0,101,0.14,4.710562674307485e-16,4.959893675883356e-16,1.1158007069835951,1.0
0.95,0.4,4,7.0,101,0.14,3.8356727270173953e-16,1.6062343672157755e-15,1.1818305836699803,1.0
0.95,0.4,0,8.0,101,0.16,4.731778321783148e-16,3.5244434610349805e-16,1.1278826890136129,1.0
0.95,0.4,1,8.0,101,0.16,9.494357111842044e-16,1.7894380557596337e-15,0.6645756374512062,1.0
0.95,0.4,2,8.0,101,0.16,5.428785320286312e-16,4.2516044826988595e-16,1.4407844626377226,1.0
0.95,0.4,3,8.0,101,0.16,8.82356940255797e-16,1.2930739606342722e-15,0.581609355892082,1.0
0.95,0.4,4,8.0,101,0.16,5.146201407455843e-16,1.8381469242865947e-15,0.9037502913172608,1.0
