rho,half_width,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.5,6.0,0.005,1.2556154055823673e-14,1.7456504130492298e-15,3.4413477980920162e-16,2.645703385677052,1.0
0.5,6.0,0.01,7.342389698046394e-15,1.5763536317411959e-15,3.7603091748584365e-16,2.6225270064522896,1.0
0.5,6.0,0.02,2.9765896633971993e-15,1.2093336461622919e-15,4.3018232241732205e-16,3.6506348805034623,1.0
0.5,6.0,0.05,1.1646856162981266e-15,4.733451576800168e-16,4.1916513976982735e-16,5.50632991129152,1.0
0.5,6.0,0.1,6.365115505304195e-16,1.4126127315403072e-16,3.1678324854834127e-16,2.912665061268091,1.0
0.5,6.0,0.2,7.89198621787914e-12,1.764465181105294e-11,3.832343740008481e-12,2.077875492870368,1.0
0.5,6.0,0.4,2.0445761366999905e-10,2.914875164112373e-10,2.5753858867878623e-10,0.00221422827613644,1.0
0.5,6.0,0.8,1.1536850921186726e-08,1.21786375227965e-08,3.6551114574243145e-08,7.404351219541253e-07,1.0
0.5,6.0,1.6,6.2742038972640465e-09,3.725674869735603e-09,1.227345183897506e-07,8.249874822141096e-08,1.0
0.5,6.0,2.4,1.5696142419165793e-09,5.504519876065765e-10,1.5336589022226353e-07,4.339814771392561e-07,1.0
0.5,7.0,0.005,1.122697646351485e-14,1.9191096589589965e-15,3.476220418054763e-16,3.6039921120059297,1.0
0.5,7.0,0.01,7.472136150209626e-15,2.623181032232109e-15,3.708112427974596e-16,3.2920856805999317,1.0
0.5,7.0,0.02,2.5930850188765455e-15,4.814244683752515e-16,3.9665144738658417e-16,3.376376407472326,1.0
0.5,7.0,0.05,1.4821953195174537e-15,5.145133143926627e-16,4.003429927706647e-16,3.4636381451155756,1.0
0.5,7.0,0.1,5.863532902319609e-16,1.9693743365640116e-16,3.623840492595604e-16,3.085347311038024,1.0
0.5,7.0,0.2,4.065546671417581e-16,1.0537412299033726e-16,4.030175845275495e-16,3.3994023105858964,1.0
0.5,7.0,0.4,1.377814384394289e-14,2.4953574197676613e-14,1.7395107162536476e-14,1.514058306740204,1.0
0.5,7.0,0.8,8.753509327472412e-12,1.031499352572644e-11,2.7583909244456665e-11,0.0023895639813676177,1.0
0.5,7.0,1.6,1.0503706265438368e-11,6.907464754210876e-12,2.039004350990746e-10,5.8815404970381494e-05,1.0
0.5,7.0,2.4,2.7099886052706832e-12,1.008978499523359e-12,2.638914098281706e-10,0.00027776425825568464,1.0
