family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
gaussian,0.0,3,7,eps,0.2,4929,0.09682214376907995,0.07170674719965657,83.89972036000108
gaussian,0.0,3,7,eps,0.4,4929,0.09956543704233774,0.09417113593580648,83.89972036000108
gaussian,0.0,3,7,eps,0.8,4929,0.09729334306372074,0.09915580297247369,83.89972036000108
gaussian,0.0,3,7,eps,1.6,4929,0.0511290135624143,0.052081006885418876,83.89972036000108
gaussian,0.0,3,7,x0,0.1,4929,0.18337426044850608,0.13808432959103895,87.83279647300151
gaussian,0.0,3,7,x0,0.2,4929,0.12810606666247418,0.10020158931444023,87.83279647300151
gaussian,0.0,3,7,x0,0.4,4929,0.10695584283844535,0.10020125234164236,87.83279647300151
gaussian,0.0,3,7,x0,0.8,4929,0.09640512172394065,0.09782645741859539,87.83279647300151
gaussian,0.0,3,7,x0,1.6,4929,0.03950300899558031,0.0407949337359636,87.83279647300151
gaussian,0.0,4,9,eps,0.1,5057,0.12834423473715284,0.08731636380096404,91.14740909399916
gaussian,0.0,4,9,eps,0.2,5057,0.10025604523163191,0.07342126868175677,91.14740909399916
gaussian,0.0,4,9,eps,0.4,5057,0.08645571310893385,0.07640858284468299,91.14740909399916
gaussian,0.0,4,9,eps,0.8,5057,0.08492437469537484,0.08580153649894277,91.14740909399916
gaussian,0.0,4,9,eps,1.6,5057,0.05887630113417176,0.06050962177571277,91.14740909399916
gaussian,0.0,4,9,x0,0.1,5057,0.20009823657100792,0.19628542087602005,92.27152871900034
gaussian,0.0,4,9,x0,0.2,5057,0.10858187362613644,0.10072822453453922,92.27152871900034
gaussian,0.0,4,9,x0,0.4,5057,0.07762351950151716,0.07275663743855129,92.27152871900034
gaussian,0.0,4,9,x0,0.8,5057,0.0699842240988239,0.07163156173036353,92.27152871900034
gaussian,0.0,4,9,x0,1.6,5057,0.033287582816279214,0.03442896509190352,92.27152871900034
gaussian,0.0,6,13,eps,0.1,5313,0.11979548075695858,0.08739002241100692,88.80977610899936
gaussian,0.0,6,13,eps,0.2,5313,0.09274068980326974,0.07328198186760143,88.80977610899936
gaussian,0.0,6,13,eps,0.4,5313,0.06776191261974836,0.057390732390992134,88.80977610899936
gaussian,0.0,6,13,eps,0.8,5313,0.05577529314083542,0.05546457435266165,88.80977610899936
gaussian,0.0,6,13,eps,1.6,5313,0.04249888281590789,0.04394478074566539,88.80977610899936
gaussian,0.0,6,13,x0,0.1,5313,0.1689851609521189,0.12839968332003476,89.76725066200015
gaussian,0.0,6,13,x0,0.2,5313,0.10336910083852369,0.06728373326803057,89.76725066200015
gaussian,0.0,6,13,x0,0.4,5313,0.06239580330635585,0.043942316679586285,89.76725066200015
gaussian,0.0,6,13,x0,0.8,5313,0.04397713720761511,0.04261439353123818,89.76725066200015
gaussian,0.0,6,13,x0,1.6,5313,0.024425941181401366,0.02525003035814803,89.76725066200015
gaussian,0.0,8,17,eps,0.1,5569,0.1258222977239889,0.09376394694045556,97.33284797200031
gaussian,0.0,8,17,eps,0.2,5569,0.09217132336867304,0.07154173875727746,97.33284797200031
gaussian,0.0,8,17,eps,0.4,5569,0.06648218335345978,0.05814516052725614,97.33284797200031
gaussian,0.0,8,17,eps,0.8,5569,0.05355935738824102,0.05526046005762423,97.33284797200031
gaussian,0.0,8,17,eps,1.6,5569,0.06782023442289152,0.06719544288463379,97.33284797200031
gaussian,0.0,8,17,x0,0.1,5569,0.20474814321275603,0.18868273590421022,95.14203567199911
gaussian,0.0,8,17,x0,0.2,5569,0.11252462290835617,0.09805256182652013,95.14203567199911
