init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01_exact,student_t_nu5,6.0,0.85,0.1,2,0.02936873015474414,0.3251297195293901,0.011108017145423602,77,1.0766340584446075
n01_exact,student_t_nu5,6.0,0.85,0.1,3,0.007654833764778595,0.3251297195293901,0.011108017145423602,77,1.0766340584446075
n01_exact,student_t_nu5,6.0,0.85,0.1,4,0.003151095669261249,0.3251297195293901,0.011108017145423602,77,1.0766340584446075
n01_exact,student_t_nu5,6.0,0.85,0.1,5,0.0009460203274337093,0.3251297195293901,0.011108017145423602,77,1.0766340584446075
n01_exact,student_t_nu5,6.0,0.85,0.4,1,0.3168031774291412,0.5650987879250723,0.01046024451273997,77,0.9829300405565653
n01_exact,student_t_nu5,6.0,0.85,0.4,2,0.17087309973973447,0.5650987879250723,0.01046024451273997,77,0.9829300405565653
n01_exact,student_t_nu5,6.0,0.85,0.4,3,0.08980063222469034,0.5650987879250723,0.01046024451273997,77,0.9829300405565653
n01_exact,student_t_nu5,6.0,0.85,0.4,4,0.05758889530640093,0.5650987879250723,0.01046024451273997,77,0.9829300405565653
n01_exact,student_t_nu5,6.0,0.85,0.4,5,0.03144697552966224,0.5650987879250723,0.01046024451273997,77,0.9829300405565653
invariant,student_t_nu5,6.0,0.85,0.1,1,0.07051646656442154,0.340978206711322,0.018151285043818032,77,1.1415238807660761
invariant,student_t_nu5,6.0,0.85,0.1,2,0.029160518770760716,0.340978206711322,0.018151285043818032,77,1.1415238807660761
invariant,student_t_nu5,6.0,0.85,0.1,3,0.011730984460728705,0.340978206711322,0.018151285043818032,77,1.1415238807660761
invariant,student_t_nu5,6.0,0.85,0.1,4,0.003269230771587473,0.340978206711322,0.018151285043818032,77,1.1415238807660761
invariant,student_t_nu5,6.0,0.85,0.1,5,0.0009707300823129444,0.340978206711322,0.018151285043818032,77,1.1415238807660761
invariant,student_t_nu5,6.0,0.85,0.4,1,0.254224214863644,0.5670499495276595,0.020703987387238987,77,1.0084657513762267
invariant,student_t_nu5,6.0,0.85,0.4,2,0.17841351657647403,0.5670499495276595,0.020703987387238987,77,1.0084657513762267
invariant,student_t_nu5,6.0,0.85,0.4,3,0.10192278669843031,0.5670499495276595,0.020703987387238987,77,1.0084657513762267
invariant,student_t_nu5,6.0,0.85,0.4,4,0.048421648465957444,0.5670499495276595,0.020703987387238987,77,1.0084657513762267
invariant,student_t_nu5,6.0,0.85,0.4,5,0.028609982147149812,0.5670499495276595,0.020703987387238987,77,1.0084657513762267
n01,uniform,-1.2,0.85,0.1,1,0.06286380252429799,0.2975947930346361,0.010286916149439277,75,0.958369318109791
n01,uniform,-1.2,0.85,0.1,2,0.020412466134065194,0.2975947930346361,0.010286916149439277,75,0.958369318109791
n01,uniform,-1.2,0.85,0.1,3,0.006228118779048526,0.2975947930346361,0.010286916149439277,75,0.958369318109791
n01,uniform,-1.2,0.85,0.1,4,0.0014804926288286395,0.2975947930346361,0.010286916149439277,75,0.958369318109791
n01,uniform,-1.2,0.85,0.1,5,0.0005448436603313874,0.2975947930346361,0.010286916149439277,75,0.958369318109791
n01,uniform,-1.2,0.85,0.4,1,0.24263325885618994,0.6012801565491107,0.024863542610396343,75,0.971898172454277
n01,uniform,-1.2,0.85,0.4,2,0.12294908228450634,0.6012801565491107,0.024863542610396343,75,0.971898172454277
n01,uniform,-1.2,0.85,0.4,3,0.09797136995474741,0.6012801565491107,0.024863542610396343,75,0.971898172454277
n01,uniform,-1.2,0.85,0.4,4,0.054963588684899777,0.6012801565491107,0.024863542610396343,75,0.971898172454277
n01,uniform,-1.2,0.85,0.4,5,0.02852067462506958,0.6012801565491107,0.024863542610396343,75,0.971898172454277
n01_exact,uniform,-1.2,0.85,0.1,1,0.08854234527156127,0.32513104596857245,0.01811489468800257,75,1.0766384508132971
n01_exact,uniform,-1.2,0.85,0.1,2,0.02589052777206602,0.32513104596857245,0.01811489468800257,75,1.0766384508132971
n01_exact,uniform,-1.2,0.85,0.1,3,0.006426410643391166,0.32513104596857245,0.01811489468800257,75,1.0766384508132971
n01_exact,uniform,-1.2,0.85,0.1,4,0.002891210282935235,0.32513104596857245,0.01811489468800257,75,1.0766384508132971
n01_exact,uniform,-1.2,0.85,0.1,5,0.0009626620224785962,0.32513104596857245,0.01811489468800257,75,1.0766384508132971
n01_exact,uniform,-1.2,0.85,0.4,1,0.22832781127631743,0.6156038895542252,0.013223479740988305,75,1.0707783648733376
n01_exact,uniform,-1.2,0.85,0.4,2,0.12712335766660804,0.6156038895542252,0.013223479740988305,75,1.0707783648733376
n01_exact,uniform,-1.2,0.85,0.4,3,0.07841560155701019,0.6156038895542252,0.013223479740988305,75,1.0707783648733376
