family,rho,t,rep,n,n_trials,grid_size,grid_halfwidth,rel_score_gap_mean,rel_score_gap_std,score_cosine_mean,worst_boundary_mass
uniform,0.5,2.4,0,40,200,1201,12.0,0.00011749234948169543,1.938439677251229e-05,0.9999999934731233,1.858538554592118e-32
laplace,0.85,0.3,0,40,200,801,12.0,0.05971289811309673,0.035844064451054786,0.9979883179954903,1.2573071296201965e-11
gaussian,0.5,0.5,0,40,200,801,12.0,1.5965831878471602e-16,3.584650990653965e-17,1.0,3.4588455392355764e-30
student,0.95,0.15,0,40,200,801,20.0,0.0538823304504497,0.12176877995172633,0.9952286323250168,8.391165749953874e-10
student,0.7,0.3,0,40,200,801,20.0,0.10511612037139556,0.11440458218866509,0.9918047066273118,4.30542006906243e-08
student,0.85,0.15,0,40,200,801,20.0,0.10766393173312179,0.08468310048617436,0.9926079568109563,3.608335540168555e-09
gaussian,0.7,0.08,0,40,200,801,12.0,8.154060427936361e-16,2.1952964356119473e-16,1.0,1.389467157385892e-36
uniform,0.95,0.3,0,40,200,1201,12.0,0.011324220663338427,0.005466723422777747,0.9999299712111719,1.2699721523677588e-108
mixture,0.5,0.8,0,40,200,801,12.0,0.012023483493217206,0.0037148273587214154,0.9999316062681638,4.8564082530155083e-32
gaussian,0.7,0.15,0,40,200,801,12.0,4.447097929960729e-16,1.195938967720119e-16,1.0,3.784874811247942e-34
uniform,0.5,0.8,0,40,200,1201,12.0,0.015512602204365199,0.005431389826536372,0.9998841238151676,1.1698263997844378e-32
laplace,0.7,1.2,0,40,200,801,12.0,0.006294754240312528,0.00352519988825884,0.9999786958065633,6.281178014199621e-09
uniform,0.5,0.3,0,40,200,1201,12.0,0.12596645914745747,0.020387071310226386,0.9924340752042727,1.333831026410516e-50
gaussian,0.95,1.2,0,40,200,801,12.0,1.1809842807368418e-16,3.428552332781887e-17,1.0,3.6333748877488113e-31
mixture,0.85,0.15,0,40,200,801,12.0,0.06907425198850276,0.014831967685126827,0.9977046373817368,1.1308135401036266e-67
laplace,0.95,1.8,0,40,200,801,12.0,0.0005025193705692929,0.0005221722767334027,0.9999997795473209,4.88653041083458e-16
uniform,0.85,2.4,0,40,200,1201,12.0,3.7777709021694676e-05,2.6217220691011933e-05,0.9999999991193578,4.757479196684127e-32
student,0.5,0.08,0,40,200,801,20.0,0.2798714213194646,0.09474071616926917,0.9624369014432292,3.8773149721645506e-08
uniform,0.85,1.8,0,40,200,1201,12.0,0.00035069971916489517,0.000390626661558061,0.9999999031019801,6.0927368164954535e-31
uniform,0.95,2.4,0,40,200,1201,12.0,2.8182143966146823e-05,4.217661222340963e-05,0.9999999989911496,2.751128540494191e-31
uniform,0.7,1.8,0,40,200,1201,12.0,0.00033552417347715253,0.00018796200863967054,0.9999999399294762,2.6955495068983724e-32
laplace,0.95,0.5,0,40,200,801,12.0,0.01159478854779067,0.006205580637184353,0.9999262155202302,5.1563734726400925e-18
gaussian,0.95,0.5,0,40,200,801,12.0,2.0129070524560056e-16,7.329445449764818e-17,1.0,5.756452807532082e-36
uniform,0.85,0.8,0,40,200,1201,12.0,0.006239677192414175,0.0030542252431935463,0.9999791282744765,3.2403328194784756e-35
uniform,0.7,0.08,0,40,200,1201,12.0,0.3283585312078586,0.047888276370951846,0.9483697463794932,1.704565624599997e-188
mixture,0.5,1.2,0,40,200,801,12.0,0.0026114680385569476,0.0010235729148204845,0.9999966226914642,1.0177752780712494e-30
student,0.85,1.2,0,40,200,801,20.0,0.005642761210683134,0.0037528184114954135,0.9999805717660938,3.0349535644586494e-09
laplace,0.7,0.5,0,40,200,801,12.0,0.056708892396959934,0.029392216769265234,0.9982786642933512,3.276407658464072e-09
mixture,0.7,1.2,0,40,200,801,12.0,0.0021952193105975078,0.0009027980182641486,0.9999975379134276,8.40209908886647e-32
laplace,0.95,1.2,0,40,200,801,12.0,0.0022876754262034847,0.0013035289834082244,0.9999968760056436,2.146310021154157e-16
laplace,0.5,1.2,0,40,200,801,12.0,0.00745785950826962,0.004301465185539497,0.9999696231595407,6.813517274515383e-07
student,0.95,2.4,0,40,200,801,20.0,0.000133119711101382,0.00011827197239195192,0.9999999865977839,8.932556262658118e-09
gaussian,0.85,1.2,0,40,200,801,12.0,8.415007549356105e-17,2.272497779593243e-17,1.0,2.13292343476696e-29
laplace,0.95,0.8,0,40,200,801,12.0,0.005568063292020583,0.003525609356233707,0.9999813452446769,5.119169139479467e-16
mixture,0.85,1.8,0,40,200,801,12.0,0.00025848059103438924,0.00016563325074441516,0.9999999605522488,4.617475686092739e-32
student,0.7,1.8,0,40,200,801,20.0,0.001159570097735894,0.0008496661315488238,0.9999991996338613,6.3123376532294525e-06
laplace,0.7,2.4,0,40,200,801,12.0,7.7427765276186e-05,4.3746692018280554e-05,0.9999999967233726,1.3362754530965106e-09
laplace,0.7,0.15,0,40,200,801,12.0,0.21068794233710889,0.07500073030279968,0.9788288245775694,3.781624770377419e-09
student,0.85,2.4,0,40,200,801,20.0,0.00015024225541819005,0.00012522687177094724,0.9999999849308888,5.967364935090006e-06
uniform,0.5,1.8,0,40,200,1201,12.0,0.000402438704527202,0.00011630691757770958,0.9999999262569801,4.9148382273277895e-32
mixture,0.5,2.4,0,40,200,801,12.0,2.494364634384869e-05,1.3829573594941822e-05,0.9999999996733748,3.4294768670940704e-32
mixture,0.95,1.8,0,40,200,801,12.0,0.00016604091657456996,0.0001464260795464113,0.9999999791533422,9.194258958155909e-32
student,0.7,1.2,0,40,200,801,20.0,0.007886816231817558,0.0072565196320182514,0.9999551213127981,1.2189227414871459e-08
gaussian,0.85,0.8,0,40,200,801,12.0,1.2174914878442425e-16,3.411451121767458e-17,1.0,6.836363954402376e-31
mixture,0.5,0.3,0,40,200,801,12.0,0.10024996138600026,0.015032057645818806,0.995387853137497,3.525998709017608e-52
