family,rho,n,t,n_chains,rep,rho_true,q_true,rho_hat,q_hat,rho_abs_err,q_rel_err,loglik,em_iters,em_converged,restart_rho_std,restart_rho_range,restart_loglik_range,ridge_width,ridge_width_censored,profile_curvature,profile_peak_at_edge,profile_scan_lo,profile_scan_hi,profile_peak_rho
mixture,0.95,40,0.08,1000,1,0.95,0.09750000000000003,0.9501914359343696,0.09948167885600914,0.00019143593436965478,0.020324911343683187,-33.33675354604547,51,1,2.6859591238162747e-07,7.377344511949602e-07,1.8541399526839086e-08,0.08662500000000006,0,399.87675315023034,0,0.49999999999999994,0.995,0.9455
mixture,0.85,80,0.15,1000,0,0.85,0.2775000000000001,0.84877306198549,0.27569668348871906,0.001226938014510015,0.006498437878490149,-90.91746528885923,38,1,3.7106187312808757e-06,9.419176642988525e-06,2.056417258700094e-08,0.13387499999999997,0,179.4325522524888,0,0.39999999999999997,0.995,0.84625
gaussian,0.7,20,0.08,1000,2,0.7,0.51,0.6916928411383558,0.5173549808520408,0.008307158861644126,0.014421531082432906,-24.212843576308167,12,1,5.974721020895963e-05,0.00016253310189673353,1.734711521095278e-06,0.3538750000000001,0,29.007523232415657,0,0.24999999999999994,0.995,0.6970000000000001
mixture,0.5,80,0.5,1000,0,0.5,0.75,0.4862216032361996,0.7518986212120833,0.013778396763800382,0.0025314949494443795,-111.86990037447563,85,1,0.0002550786542837281,0.0005433799150917906,1.0840756630159376e-06,0.4724999999999999,0,15.40643821331123,0,0.04999999999999999,0.95,0.4775
student,0.85,80,0.08,250,2,0.85,0.2775000000000001,0.8558937707367981,0.28228458933497735,0.005893770736798087,0.01724176336928747,-82.87705764579182,32,1,1.2916532893553042e-07,3.8079741582208726e-07,4.1727176380845776e-08,0.11899999999999988,0,246.77960327041146,0,0.39999999999999997,0.995,0.8611249999999999
laplace,0.85,80,0.5,250,1,0.85,0.2775000000000001,0.8533398320283734,0.2564169796145188,0.0033398320283734018,0.0759748482359685,-106.71434736958506,219,1,2.869987866662347e-07,7.342972636603662e-07,6.499942628579447e-08,0.22312500000000002,0,72.07617711970245,0,0.39999999999999997,0.995,0.84625
mixture,0.7,80,0.8,4000,0,0.7,0.51,0.699120022646637,0.5095285839536093,0.0008799773533629818,0.0009243451890013164,-112.40749435219914,24,1,0.001301018100719642,0.004062227291374176,6.381808125865973e-05,0.5960000000000001,0,11.360814183492575,0,0.24999999999999994,0.995,0.6970000000000001
student,0.7,40,2.4,250,2,0.7,0.51,0.11615603993928976,0.42464142509557795,0.5838439600607102,0.16736975471455307,-56.35834911245185,300,0,0.178759330892139,0.5065978669982208,0.006005951194744341,0.7450000000000001,1,nan,1,0.24999999999999994,0.995,0.24999999999999994
uniform,0.7,80,0.3,1000,2,0.7,0.51,0.7006888441612447,0.5140916086413986,0.000688844161244706,0.00802276204195798,-106.40115161193613,15,1,9.985294838161074e-05,0.00026942924054706996,3.4627153837618607e-06,0.24212500000000015,0,55.79470154508504,0,0.24999999999999994,0.995,0.6970000000000001
gaussian,0.95,80,0.3,1000,1,0.95,0.09750000000000003,0.9482834831440298,0.0978989396002315,0.0017165168559701849,0.00409168820750218,-94.14320508628137,144,1,3.29307201780102e-07,1.0206101122012257e-06,6.42174029508169e-08,0.08662500000000006,0,464.05116511639307,0,0.49999999999999994,0.995,0.9455
laplace,0.7,40,0.08,250,1,0.7,0.51,0.7002634455814564,0.5031876887050534,0.00026344558145641184,0.013357473127346349,-47.80301716406527,15,1,1.9975549501594558e-07,5.019809681261478e-07,1.3507097662568412e-08,0.24212500000000015,0,57.46649716756663,0,0.24999999999999994,0.995,0.6970000000000001
uniform,0.85,80,0.8,4000,1,0.85,0.2775000000000001,0.8473319971323389,0.2885023026739975,0.0026680028676611123,0.039647937563954704,-111.34526982255983,300,0,0.00030084315012571873,0.0009536417857811674,8.199473722925177e-05,0.342125,0,37.38389358144967,0,0.39999999999999997,0.995,0.84625
laplace,0.5,80,0.15,4000,2,0.5,0.75,0.5019860152911116,0.754665902353026,0.0019860152911116424,0.006221203137367996,-107.7457135330268,18,1,2.5344826585090674e-05,5.889327969377245e-05,4.7450981810470694e-08,0.2250000000000001,0,59.525640687393036,0,0.04999999999999999,0.95,0.49999999999999994
gaussian,0.85,80,0.3,4000,0,0.85,0.2775000000000001,0.8495514602436285,0.277389796311192,0.000448539756371491,0.00039713041011926856,-100.97432146185827,72,1,5.940646254757214e-06,1.4738348474430119e-05,3.7129709085093054e-08,0.16362500000000013,0,122.27978847326371,0,0.39999999999999997,0.995,0.84625
uniform,0.95,40,2.4,250,0,0.95,0.09750000000000003,0.821410578496314,0.6959288337576973,0.1285894215036859,6.137731628284072,-56.74289426167842,300,0,0.24401311539215992,0.6792772761542242,0.00898872024041708,0.49500000000000005,1,25.829532797991774,0,0.49999999999999994,0.995,0.957875
uniform,0.95,40,0.3,4000,1,0.95,0.09750000000000003,0.9496166827073891,0.0981747705198355,0.0003833172926108741,0.006920723280363807,-47.370206925635465,151,1,2.497773728224547e-07,7.36909236631611e-07,2.301162282947189e-08,0.111375,0,241.20197995099568,0,0.49999999999999994,0.995,0.9455
laplace,0.85,80,2.4,1000,0,0.85,0.2775000000000001,0.7355178125452494,0.7061602341877721,0.11448218745475058,1.5447215646406194,-113.52335846595987,300,0,0.2160388214677256,0.6083895718913229,0.003378435435010374,0.580125,1,0.7677539014594081,0,0.39999999999999997,0.995,0.831375
student,0.7,20,1.2,4000,0,0.7,0.51,0.6837827116721882,0.5643425960482347,0.016217288327811774,0.10655410989849932,-28.338133339366557,300,0,0.01919219872148255,0.060079687053248954,0.0009902409757494013,0.726375,1,0.7510188495413427,0,0.24999999999999994,0.995,0.6970000000000001
mixture,0.85,40,2.4,250,2,0.85,0.2775000000000001,0.7710708288224906,0.7405957769996909,0.07892917117750942,1.6688136108096963,-56.498865632403714,300,0,0.222908202553254,0.6222763767883427,0.0033592242379114623,0.595,1,0.9463866570036958,0,0.39999999999999997,0.995,0.84625
student,0.85,20,0.5,1000,2,0.85,0.2775000000000001,0.8407711630428552,0.304958774799639,0.009228836957144826,0.09895053981851863,-27.076609755998245,139,1,5.059951017265611e-06,1.4489734401101906e-05,7.796803203063973e-09,0.49087499999999995,0,18.906223987096766,0,0.39999999999999997,0.995,0.84625
mixture,0.5,40,1.2,250,0,0.5,0.75,0.6312801862868662,0.4917109738266928,0.13128018628686622,0.34438536823107624,-56.19871799604301,240,1,0.0278172671600484,0.08631369437899161,0.003245417108210802,0.8999999999999999,1,0.7870892394563564,0,0.04999999999999999,0.95,0.6125
student,0.95,40,1.2,250,1,0.95,0.09750000000000003,0.9399435053571893,0.13557994319528446,0.010056494642810665,0.3905635199516351,-56.37648452622477,300,0,0.004007302265272165,0.012308177156940103,0.011661468444174261,0.4455,1,85.32877008817854,0,0.49999999999999994,0.995,0.957875
uniform,0.5,80,2.4,250,2,0.5,0.75,0.28544523364511404,0.5178627728102861,0.21455476635488596,0.30951630291961846,-113.01615713479084,2,1,0.17172347559636503,0.4875016344920007,0.005295995172474477,0.8999999999999999,1,0.03452898622695264,0,0.04999999999999999,0.95,0.27499999999999997
uniform,0.5,40,0.3,1000,2,0.5,0.75,0.5021960785589632,0.7632121284886673,0.0021960785589631993,0.017616171318223017,-55.32824680851105,30,1,0.00024577108323924594,0.0005100655106580199,4.356780408443228e-06,0.44999999999999996,0,16.809239637616592,0,0.04999999999999999,0.95,0.49999999999999994
laplace,0.7,40,1.2,1000,2,0.7,0.51,0.6780807504009939,0.5372812140217189,0.02191924959900604,0.053492576513174316,-56.64812102096879,300,0,0.020029117819772062,0.06235936343055348,0.001953554018058412,0.726375,1,1.29564887197171,0,0.24999999999999994,0.995,0.6597500000000001
mixture,0.95,40,0.15,4000,2,0.95,0.09750000000000003,0.9508719402994372,0.0969969862244778,0.0008719402994372683,0.005159115646381807,-40.00742658202318,84,1,2.50366465149815e-07,6.45991077075081e-07,1.963395135362589e-08,0.09900000000000009,0,330.1541160380412,0,0.49999999999999994,0.995,0.9455
uniform,0.5,40,2.4,1000,2,0.5,0.75,0.2854380092282672,0.5179198777302911,0.21456199077173282,0.30944016302627847,-56.887847414456274,2,1,0.195571715589581,0.552739045419848,0.0011715308483744025,0.8999999999999999,1,nan,1,0.04999999999999999,0.95,0.04999999999999999
