stage,seed,n_chains,method,region,checkpoint,at_cap,n_params,sq_err,sq_ref,risk,val_bundle,test_bundle
confirm,1,128,em_bp,all,40,False,25,5398.486878149374,1421627.3830669338,0.06162304223541773,3ad66b391c64,bedc89aa8bfb
confirm,1,128,em_bp,bulk,40,False,25,4192.679270864725,1079318.075334318,0.06232626408459894,3ad66b391c64,bedc89aa8bfb
confirm,1,128,em_bp,centre,40,False,25,179.8872992390655,44998.99968852141,0.06322645333659865,3ad66b391c64,bedc89aa8bfb
confirm,1,128,window,all,8000,False,4801,36873.23224944927,1421627.3830669338,0.16105073617103166,3ad66b391c64,bedc89aa8bfb
confirm,1,128,window,bulk,8000,False,4801,19297.817551789656,1079318.075334318,0.13371476731736623,3ad66b391c64,bedc89aa8bfb
confirm,1,128,window,centre,8000,False,4801,838.5626017279513,44998.99968852141,0.13651058100390964,3ad66b391c64,bedc89aa8bfb
confirm,1,512,em_bp,all,1200,True,25,5031.893267573459,1421627.3830669338,0.059493952206655716,3ad66b391c64,bedc89aa8bfb
confirm,1,512,em_bp,bulk,1200,True,25,3918.416924661501,1079318.075334318,0.06025326656463278,3ad66b391c64,bedc89aa8bfb
confirm,1,512,em_bp,centre,1200,True,25,167.6384665283717,44998.99968852141,0.0610359080233953,3ad66b391c64,bedc89aa8bfb
confirm,1,512,window,all,8000,False,4801,31299.580516672275,1421627.3830669338,0.1483803422443183,3ad66b391c64,bedc89aa8bfb
confirm,1,512,window,bulk,8000,False,4801,15497.682761868302,1079318.075334318,0.11982809586392831,3ad66b391c64,bedc89aa8bfb
confirm,1,512,window,centre,8000,False,4801,666.7229846829134,44998.99968852141,0.12172261779176324,3ad66b391c64,bedc89aa8bfb
confirm,1,2048,em_bp,all,1200,True,25,594.0795907308222,1421627.3830669338,0.020442284410331475,3ad66b391c64,bedc89aa8bfb
confirm,1,2048,em_bp,bulk,1200,True,25,446.8705358126295,1079318.075334318,0.02034773791642725,3ad66b391c64,bedc89aa8bfb
confirm,1,2048,em_bp,centre,1200,True,25,22.22905432439327,44998.99968852141,0.022225885043358554,3ad66b391c64,bedc89aa8bfb
confirm,1,2048,window,all,8000,False,4801,30028.83717718136,1421627.3830669338,0.14533705892902207,3ad66b391c64,bedc89aa8bfb
confirm,1,2048,window,bulk,8000,False,4801,14660.610462507579,1079318.075334318,0.11654705452719438,3ad66b391c64,bedc89aa8bfb
confirm,1,2048,window,centre,8000,False,4801,613.606180354882,44998.99968852141,0.11677326754567455,3ad66b391c64,bedc89aa8bfb
confirm,2,32,em_bp,all,60,False,25,27912.990173216298,1420362.985784453,0.14018563339898216,8556872c518b,e385cb673fff
confirm,2,32,em_bp,bulk,60,False,25,21333.731290072126,1077135.1942187117,0.140733763655074,8556872c518b,e385cb673fff
confirm,2,32,em_bp,centre,60,False,25,879.3270202634029,44488.78482785312,0.1405885453883111,8556872c518b,e385cb673fff
confirm,2,32,window,all,8000,False,4801,55932.17208426148,1420362.985784453,0.19844089151559702,8556872c518b,e385cb673fff
confirm,2,32,window,bulk,8000,False,4801,29180.035755110155,1077135.1942187117,0.16459165104963863,8556872c518b,e385cb673fff
confirm,2,32,window,centre,8000,False,4801,1198.291346146442,44488.78482785312,0.16411789563839616,8556872c518b,e385cb673fff
confirm,2,128,em_bp,all,60,False,25,9457.264866196643,1420362.985784453,0.08159867431134502,8556872c518b,e385cb673fff
confirm,2,128,em_bp,bulk,60,False,25,7319.309897085176,1077135.1942187117,0.08243278249995209,8556872c518b,e385cb673fff
confirm,2,128,em_bp,centre,60,False,25,306.7296436522328,44488.78482785312,0.0830333582741151,8556872c518b,e385cb673fff
confirm,2,128,window,all,8000,False,4801,37394.620107881005,1420362.985784453,0.162257540887209,8556872c518b,e385cb673fff
confirm,2,128,window,bulk,8000,False,4801,19826.81951216865,1077135.1942187117,0.1356723721530509,8556872c518b,e385cb673fff
confirm,2,128,window,centre,8000,False,4801,815.3168295647341,44488.78482785312,0.1353748323315424,8556872c518b,e385cb673fff
confirm,2,512,em_bp,all,400,False,25,5147.67579222365,1420362.985784453,0.06020130701461019,8556872c518b,e385cb673fff
confirm,2,512,em_bp,bulk,400,False,25,3982.7432162500827,1077135.1942187117,0.06080734552162145,8556872c518b,e385cb673fff
confirm,2,512,em_bp,centre,400,False,25,164.34310965466258,44488.78482785312,0.06077857008652065,8556872c518b,e385cb673fff
confirm,2,512,window,all,64000,True,4801,22405.807517101177,1420362.985784453,0.12559739367564723,8556872c518b,e385cb673fff
confirm,2,512,window,bulk,64000,True,4801,15959.680256283698,1077135.1942187117,0.12172421571492913,8556872c518b,e385cb673fff
confirm,2,512,window,centre,64000,True,4801,670.889766381057,44488.78482785312,0.12280054998390079,8556872c518b,e385cb673fff
confirm,2,2048,em_bp,all,220,False,25,813.2690184829142,1420362.985784453,0.02392860832284709,8556872c518b,e385cb673fff
confirm,2,2048,em_bp,bulk,220,False,25,623.648372881685,1077135.1942187117,0.02406216988436126,8556872c518b,e385cb673fff
confirm,2,2048,em_bp,centre,220,False,25,25.37896156966621,44488.78482785312,0.023884252415724158,8556872c518b,e385cb673fff
confirm,2,2048,window,all,32000,False,4801,26791.736278613018,1420362.985784453,0.13734117440026317,8556872c518b,e385cb673fff
confirm,2,2048,window,bulk,32000,False,4801,15198.977375628456,1077135.1942187117,0.11878786484201538,8556872c518b,e385cb673fff
