seed,n_obs,t,arm,omega_hat_deg,omega_err_deg,tv_to_truth,mass_near_pm_omega,spread,moved_from_uniform,is_flat,mode_psi_deg,n_iters,min_loglik_increase,final_loglik
239607113,1024,1.425,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-12320.791156000814
239607113,1024,2.0676,joint,76.2926360022241,46.29263600222411,0.9364192256700175,0.22883472026051205,0.734196771403607,0.39274026113924254,False,28.125000000000007,200,0.012453829900550772,-12258.547962488874
239607113,1024,2.0676,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-12263.364295856692
239607113,1024,3.0,joint,87.47532888747887,57.47532888747886,0.9827684145107678,0.07015869901819988,0.9491931163920986,0.0552812627415053,False,-22.5,200,0.0004884987247351091,-12187.188132645922
239607113,1024,3.0,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-12187.285532652471
239607113,2048,0.05,joint,29.821804416199413,0.17819558380058417,0.3955540368761586,0.9987618355499255,0.1327834873020689,0.9617252224140556,False,-30.937499999999996,200,6.031073280610144e-05,7911.758694393528
239607113,2048,0.05,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-24641.391780253824
239607113,2048,0.0725,joint,29.82262237443883,0.1773776255611688,0.39644853040613137,0.9999999999999725,0.13268105680725428,0.9687129271209831,False,-30.937499999999996,200,0.00011391121961423778,3248.658331744683
239607113,2048,0.0725,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-24908.52715532921
239607113,2048,0.1053,joint,29.87903795894989,0.12096204105010759,0.36880227187996467,0.9989313036439098,0.13321263361461577,0.9572125497000407,False,-30.937499999999996,200,0.0006313936598871805,-1583.8074720352888
239607113,2048,0.1053,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-24956.83745408502
239607113,2048,0.1527,joint,29.791348175081232,0.2086518249187663,0.4098653167010516,0.9998844350681539,0.13249550497080764,0.9634605295955108,False,-30.937499999999996,200,0.0007543672309111571,-6559.703492008168
239607113,2048,0.1527,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-25131.79086182766
239607113,2048,0.2216,joint,29.922360289943388,0.07763971005661034,0.3752347152350647,0.9993110960141389,0.13357928947788655,0.9594590511445305,False,-30.937499999999996,200,0.0019806768195849145,-11360.553869251686
239607113,2048,0.2216,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-25221.413136133015
239607113,2048,0.3215,joint,29.825468614094685,0.17453138590531095,0.4091134361872216,0.9992861346346912,0.13273142305755803,0.9545944794893646,False,-30.937499999999996,200,0.002548390497395303,-15744.550749975773
239607113,2048,0.3215,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-25206.20571183785
239607113,2048,0.4665,joint,30.09372096392311,0.09372096392311492,0.44962129717247906,0.9933402334473893,0.1371034511314435,0.9393594493705458,False,-30.937499999999996,200,0.004891243374004262,-19698.501876837472
239607113,2048,0.4665,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-25274.229926349573
239607113,2048,0.6769,joint,30.289737740404277,0.28973774040428024,0.5456106168714752,0.9782192523281169,0.13899121814818982,0.9204301868978766,False,30.937499999999996,200,0.004958336110576056,-22535.544109537477
239607113,2048,0.6769,marginal,90.0,60.00000000000001,0.984375,0.0625,0.9999999999999999,0.0,True,,1,0.0,-25055.587062726296
