t,arm,n_obs,seed,psi,p_hat,p_true
0.05,marginal,4096,123393400,0.9817477042468106,0.0078125,0.0
0.05,marginal,4096,123393400,1.030835089459151,0.0078125,0.0
0.05,marginal,4096,123393400,1.0799224746714913,0.0078125,0.0
0.05,marginal,4096,123393400,1.1290098598838316,0.0078125,0.0
0.05,marginal,4096,123393400,1.178097245096172,0.0078125,0.0
0.05,marginal,4096,123393400,1.2271846303085132,0.0078125,0.0
0.05,marginal,4096,123393400,1.2762720155208536,0.0078125,0.0
0.05,marginal,4096,123393400,1.325359400733194,0.0078125,0.0
0.05,marginal,4096,123393400,1.3744467859455343,0.0078125,0.0
0.05,marginal,4096,123393400,1.4235341711578746,0.0078125,0.0
0.05,marginal,4096,123393400,1.4726215563702159,0.0078125,0.0
0.05,marginal,4096,123393400,1.5217089415825562,0.0078125,0.0
0.05,marginal,4096,123393400,1.5707963267948966,0.0078125,0.0
0.05,marginal,4096,123393400,1.619883712007237,0.0078125,0.0
0.05,marginal,4096,123393400,1.6689710972195773,0.0078125,0.0
0.05,marginal,4096,123393400,1.7180584824319185,0.0078125,0.0
0.05,marginal,4096,123393400,1.7671458676442588,0.0078125,0.0
0.05,marginal,4096,123393400,1.8162332528565992,0.0078125,0.0
0.05,marginal,4096,123393400,1.8653206380689396,0.0078125,0.0
0.05,marginal,4096,123393400,1.91440802328128,0.0078125,0.0
0.05,marginal,4096,123393400,1.9634954084936211,0.0078125,0.0
0.05,marginal,4096,123393400,2.0125827937059615,0.0078125,0.0
0.05,marginal,4096,123393400,2.061670178918302,0.0078125,0.0
0.05,marginal,4096,123393400,2.110757564130642,0.0078125,0.0
0.05,marginal,4096,123393400,2.1598449493429825,0.0078125,0.0
0.05,marginal,4096,123393400,2.208932334555323,0.0078125,0.0
0.05,marginal,4096,123393400,2.258019719767664,0.0078125,0.0
0.05,marginal,4096,123393400,2.3071071049800045,0.0078125,0.0
0.05,marginal,4096,123393400,2.356194490192345,0.0078125,0.0
0.05,marginal,4096,123393400,2.405281875404685,0.0078125,0.0
0.05,marginal,4096,123393400,2.4543692606170255,0.0078125,0.0
0.05,marginal,4096,123393400,2.5034566458293668,0.0078125,0.0
0.05,marginal,4096,123393400,2.552544031041707,0.0078125,0.0
0.05,marginal,4096,123393400,2.6016314162540475,0.0078125,0.0
0.05,marginal,4096,123393400,2.650718801466388,0.0078125,0.0
0.05,marginal,4096,123393400,2.699806186678728,0.0078125,0.0
0.05,marginal,4096,123393400,2.7488935718910685,0.0078125,0.0
0.05,marginal,4096,123393400,2.7979809571034098,0.0078125,0.0
0.05,marginal,4096,123393400,2.84706834231575,0.0078125,0.0
0.05,marginal,4096,123393400,2.8961557275280905,0.0078125,0.0
0.05,marginal,4096,123393400,2.945243112740431,0.0078125,0.0
0.05,marginal,4096,123393400,2.994330497952771,0.0078125,0.0
0.05,marginal,4096,123393400,3.0434178831651124,0.0078125,0.0
0.05,marginal,4096,123393400,3.0925052683774528,0.0078125,0.0
0.4665,joint,4096,123393400,-3.141592653589793,6.868974042615166e-51,0.0
0.4665,joint,4096,123393400,-3.0925052683774528,4.588636200531347e-50,0.0
0.4665,joint,4096,123393400,-3.043417883165112,3.2842671890973807e-47,0.0
0.4665,joint,4096,123393400,-2.9943304979527716,1.9417548531394944e-43,0.0
0.4665,joint,4096,123393400,-2.945243112740431,1.072993223080055e-39,0.0
0.4665,joint,4096,123393400,-2.8961557275280905,6.683545842631563e-37,0.0
0.4665,joint,4096,123393400,-2.84706834231575,7.487017230948198e-36,0.0
0.4665,joint,4096,123393400,-2.7979809571034093,5.875077757595277e-37,0.0
0.4665,joint,4096,123393400,-2.748893571891069,3.2275338780274493e-40,0.0
0.4665,joint,4096,123393400,-2.6998061866787286,2.363763973965749e-45,0.0
0.4665,joint,4096,123393400,-2.650718801466388,9.048046469964416e-52,0.0
0.4665,joint,4096,123393400,-2.6016314162540475,2.132786876509715e-58,0.0
0.4665,joint,4096,123393400,-2.552544031041707,6.814672556147745e-64,0.0
0.4665,joint,4096,123393400,-2.5034566458293663,1.8461279374614118e-67,0.0
0.4665,joint,4096,123393400,-2.454369260617026,2.2904046216097293e-69,0.0
0.4665,joint,4096,123393400,-2.405281875404685,3.113857471020443e-70,0.0
