seed,n_obs,t,arm,psi_hat_deg,psi_true_deg,psi_err_deg,is_flat,profile_range_nats
325160077,128,0.4665,joint,30.835161951530168,29.999999999999996,0.8351619515301694,False,889.9224566340281
325160077,128,0.4665,marginal,,29.999999999999996,,True,0.0
325160077,128,0.9821,joint,28.791910258866366,29.999999999999996,1.20808974113363,False,146.67752789106567
325160077,128,0.9821,marginal,,29.999999999999996,,True,0.0
325160077,128,2.0676,joint,150.9209749580399,29.999999999999996,120.9209749580399,False,7.211394011435232
325160077,128,2.0676,marginal,,29.999999999999996,,True,0.0
325160077,512,0.05,joint,30.014516558775245,29.999999999999996,0.014516558775246708,False,48201.71729054686
325160077,512,0.05,marginal,,29.999999999999996,,True,0.0
325160077,512,0.1053,joint,29.926617426419487,29.999999999999996,0.07338257358050948,False,24253.722861275695
325160077,512,0.1053,marginal,,29.999999999999996,,True,0.0
325160077,512,0.2216,joint,30.106346358785487,29.999999999999996,0.10634635878549004,False,10245.768535596568
325160077,512,0.2216,marginal,,29.999999999999996,,True,0.0
325160077,512,0.4665,joint,30.11590321702822,29.999999999999996,0.11590321702822219,False,3411.628472035829
325160077,512,0.4665,marginal,,29.999999999999996,,True,0.0
325160077,512,0.9821,joint,29.96076197898699,29.999999999999996,0.03923802101300851,False,717.4066801560557
325160077,512,0.9821,marginal,,29.999999999999996,,True,0.0
325160077,512,2.0676,joint,33.37807153821508,29.999999999999996,3.3780715382150848,False,25.93514088419124
325160077,512,2.0676,marginal,,29.999999999999996,,True,0.0
325160077,1024,0.05,joint,29.81317571009875,29.999999999999996,0.1868242899012488,False,96648.46286311027
325160077,1024,0.05,marginal,,29.999999999999996,,True,0.0
325160077,1024,0.1053,joint,29.860302979557666,29.999999999999996,0.13969702044233007,False,47478.35461486039
325160077,1024,0.1053,marginal,,29.999999999999996,,True,0.0
325160077,1024,0.2216,joint,29.808319364471952,29.999999999999996,0.19168063552804504,False,20720.14479289547
325160077,1024,0.2216,marginal,,29.999999999999996,,True,0.0
325160077,1024,0.4665,joint,29.79876390158268,29.999999999999996,0.20123609841731777,False,7094.17260517139
325160077,1024,0.4665,marginal,,29.999999999999996,,True,0.0
325160077,1024,0.9821,joint,29.42390514986358,29.999999999999996,0.5760948501364174,False,1245.350001040335
325160077,1024,0.9821,marginal,,29.999999999999996,,True,0.0
325160077,1024,2.0676,joint,25.81517380254036,29.999999999999996,4.1848261974596355,False,38.29686472804315
325160077,1024,2.0676,marginal,,29.999999999999996,,True,0.0
325160077,2048,0.05,joint,29.932929936202143,29.999999999999996,0.06707006379785616,False,187384.8996534437
325160077,2048,0.05,marginal,,29.999999999999996,,True,0.0
325160077,2048,0.1053,joint,29.9165521720915,29.999999999999996,0.08344782790849672,False,92598.00529172523
325160077,2048,0.1053,marginal,,29.999999999999996,,True,0.0
325160077,2048,0.2216,joint,29.806166815530997,29.999999999999996,0.19383318446900177,False,39752.569319478265
325160077,2048,0.2216,marginal,,29.999999999999996,,True,0.0
