n_components,init_id,rho_init,iteration,log_evidence,seconds,rho_hat
4,0,0.0,53,-104757.95843375285,1.2234506250024424,0.8491737536213694
4,0,0.0,54,-104756.4868891116,1.2282882919971598,0.8492645036480153
4,0,0.0,55,-104755.08840139257,1.2407361250006943,0.8493513008323582
4,0,0.0,56,-104753.75957918332,1.226535875000991,0.849434628651958
4,0,0.0,57,-104752.49718195765,1.234409709002648,0.8495149009997206
4,0,0.0,58,-104751.2981118775,1.2192851660001907,0.8495924711765857
4,0,0.0,59,-104750.15940666659,1.2118141250030021,0.8496676398532258
4,1,0.3,0,-112767.52454312309,1.2209161669961759,0.3
4,1,0.3,1,-110513.40177738338,1.2277439169993158,0.433429235026803
4,1,0.3,2,-108978.94919341759,1.2386227500028326,0.5302600591074828
4,1,0.3,3,-107916.25068786513,1.228708041999198,0.5996790565501613
4,1,0.3,4,-107163.38066044073,1.2287268330037477,0.6497762259286182
4,1,0.3,5,-106617.77821463469,1.2067899589965236,0.6866381878332225
4,1,0.3,6,-106214.65403344318,1.2225323329985258,0.7144590788650835
4,1,0.3,7,-105912.09666247199,1.2653588750035851,0.7360106144898388
4,1,0.3,8,-105682.09821805578,1.2245185830033734,0.7531047912280529
4,1,0.3,9,-105505.37121468532,1.294384209002601,0.7669376253459718
4,1,0.3,10,-105368.30493328854,1.2266247079969617,0.7783160989675254
4,1,0.3,11,-105261.10622455229,1.236287583997182,0.787800190379015
4,1,0.3,12,-105176.61691206541,1.247341875001439,0.7957900850163468
4,1,0.3,13,-105109.53579088155,1.237603792003938,0.8025798492060352
4,1,0.3,14,-105055.89299206002,1.2296717089993763,0.8083909995567669
4,1,0.3,15,-105012.68717439962,1.2251029999970342,0.8133940171802766
4,1,0.3,16,-104977.6305900953,1.2331071669977973,0.8177225316520652
4,1,0.3,17,-104948.96715738127,1.2283362090020091,0.8214829452365621
4,1,0.3,18,-104925.34083703629,1.212435582994658,0.8247611418051007
4,1,0.3,19,-104905.69921727285,1.388341458994546,0.8276272772894805
4,1,0.3,20,-104889.2220910165,1.2318680829994264,0.8301392720971149
4,1,0.3,21,-104875.2680039975,1.2445232500031125,0.8323454028037192
4,1,0.3,22,-104863.33387994584,1.2510174170020036,0.8342862548386832
4,1,0.3,23,-104853.02426830659,1.2219788750007865,0.8359962131445325
4,1,0.3,24,-104844.02774656226,1.2397727080024197,0.8375046133381642
4,1,0.3,25,-104836.09869417739,1.2482232080001268,0.8388366399618392
