e,budget,n_components,arm,density
-2.0300000000000002,0,0,true,0.005768209343434798
-2.02,0,0,true,0.005925161449262764
-2.01,0,0,true,0.006086384198206668
-2.0,0,0,true,0.006251993793821263
-1.99,0,0,true,0.0064221096015425
-1.98,0,0,true,0.00659685423472183
-1.97,0,0,true,0.006776353643001481
-1.96,0,0,true,0.0069607372030944595
-1.95,0,0,true,0.0071501378120345915
-1.94,0,0,true,0.007344691982963955
-1.93,0,0,true,0.007544539943526623
-1.92,0,0,true,0.007749825736939689
-1.91,0,0,true,0.007960697325814463
-1.9,0,0,true,0.008177306698802586
-1.89,0,0,true,0.008399809980143952
-1.88,0,0,true,0.008628367542195483
-1.8699999999999999,0,0,true,0.008863144121021736
-1.8599999999999999,0,0,true,0.009104308935130706
-1.8499999999999999,0,0,true,0.009352035807440475
-1.84,0,0,true,0.00960650329056449
-1.83,0,0,true,0.009867894795505868
-1.82,0,0,true,0.01013639872385345
-1.81,0,0,true,0.01041220860357486
-1.8,0,0,true,0.010695523228504538
-1.79,0,0,true,0.010986546801627166
-1.78,0,0,true,0.011285489082259794
-1.77,0,0,true,0.011592565537238869
-1.76,0,0,true,0.011907997496220946
-1.75,0,0,true,0.012232012311209099
-1.74,0,0,true,0.012564843520420138
-1.73,0,0,true,0.012906731016610508
-1.72,0,0,true,0.013257921219982326
-1.71,0,0,true,0.013618667255794257
-1.7,0,0,true,0.013989229136805057
-1.69,0,0,true,0.014369873950681384
-1.68,0,0,true,0.014760876052505032
-1.67,0,0,true,0.015162517262518174
-1.66,0,0,true,0.01557508706924921
-1.65,0,0,true,0.015998882838165748
-1.64,0,0,true,0.016434210026004908
-1.63,0,0,true,0.016881382400935483
-1.6199999999999999,0,0,true,0.017340722268710838
-1.6099999999999999,0,0,true,0.017812560704975253
-1.5999999999999999,0,0,true,0.01829723779389129
-1.59,0,0,true,0.018795102873260295
-1.58,0,0,true,0.01930651478631246
-1.57,0,0,true,0.019831842140348128
-1.56,0,0,true,0.020371463572416672
-1.55,0,0,true,0.020925768022224397
-1.54,0,0,true,0.021495155012468375
-1.53,0,0,true,0.022080034936797985
-1.52,0,0,true,0.02268082935561181
-1.51,0,0,true,0.02329797129990336
-1.5,0,0,true,0.023931905583374047
-1.49,0,0,true,0.024583089123039026
-1.48,0,0,true,0.025251991268556505
-1.47,0,0,true,0.02593909414051802
-1.46,0,0,true,0.02664489297794367
-1.45,0,0,true,0.02736989649523258
-1.44,0,0,true,0.028114627248825887
-1.43,0,0,true,0.028879622013846636
-1.42,0,0,true,0.029665432170988014
-1.41,0,0,true,0.03047262410392862
-1.4,0,0,true,0.0313017796075615
-1.39,0,0,true,0.03215349630733094
-1.38,0,0,true,0.03302838808997941
