model,strength,approx,t,rel_residual_median,sv1,sv2,sv2_over_sv1,effective_rank,residual_fro
A_beta,1.0,chow_liu,1.6,0.035705993215065436,0.15101814450339313,0.1371280826933466,0.9080238877538689,5.032365216361986,0.22437877502222253
A_beta,1.0,naive_chain,2.4,0.01718552018071095,0.13507140242101096,7.129745816531522e-16,5.278501362048832e-15,1.0,0.13507140242101096
A_beta,1.0,chow_liu,2.4,0.010800546003673379,0.06056727067686035,0.04037506466770498,0.6666152233128481,4.195946113541699,0.07619261272122134
B_gamma,0.05,chow_liu,0.02,0.08858006382167646,0.340591525265386,0.3394509455205494,0.9966511799025303,32.64037437235712,1.2538826528928584
B_gamma,0.05,chow_liu,0.05,0.08399339568743495,0.21913255742786186,0.21766958296453093,0.9933237923177503,33.8756822235927,0.9204374265932178
B_gamma,0.05,chow_liu,0.1,0.08528187200146525,0.2038972150899345,0.20374929164269343,0.9992745195309518,33.55341470775581,0.6781060489875934
B_gamma,0.05,chow_liu,0.2,0.08445415017147649,0.20076599368928968,0.20020109522655208,0.997186284129314,29.382099986619913,0.5276259546933033
B_gamma,0.05,chow_liu,0.4,0.08181425612780492,0.18959974000688407,0.1889355389967724,0.9964968253116405,21.5328140548691,0.444987300552696
B_gamma,0.05,chow_liu,0.8,0.062256376928906385,0.2081120366480388,0.14704499361448656,0.7065665013079977,14.08523680391141,0.3527749118297469
B_gamma,0.05,chow_liu,1.6,0.02419338103944458,0.1475287500318971,0.05066449848885929,0.3434211872459107,8.685119207652255,0.17239225109592682
B_gamma,0.05,chow_liu,2.4,0.0059919662473864954,0.04470366393955825,0.011861893427170181,0.26534499371702724,7.18618776239767,0.0490659527413756
B_gamma,0.1,chow_liu,0.02,0.14019966473561052,0.44447729920083995,0.44277262140351925,0.9961647584693624,33.28898985665758,1.6996142392078
B_gamma,0.1,chow_liu,0.05,0.13224573105562779,0.32458210052295694,0.3244798400036996,0.9996849471394369,33.92512554537191,1.3410592984359966
B_gamma,0.1,chow_liu,0.1,0.12567991489000907,0.3179951684711705,0.3179130642982144,0.9997418068540136,33.27581694874223,1.0499663680254074
B_gamma,0.1,chow_liu,0.2,0.13012587705981754,0.3049159014772141,0.30415674340561033,0.9975102706420823,29.624462159992195,0.8322405595467646
B_gamma,0.1,chow_liu,0.4,0.11742979983864138,0.27321495971323556,0.2730498738260643,0.9993957655636994,22.92429994687236,0.6731429675475623
B_gamma,0.1,chow_liu,0.8,0.08731701644968362,0.28399030270645176,0.19440158393230034,0.6845359932351094,15.935476884858565,0.49176506734586894
B_gamma,0.1,chow_liu,1.6,0.033649501511260546,0.19742101018411687,0.060208615268519526,0.30497572275802026,9.930600984439376,0.22830375453705554
B_gamma,0.1,chow_liu,2.4,0.007641956668041816,0.06004618719330817,0.01367485777153835,0.22773898578296975,8.079147389960491,0.06516697062020844
B_gamma,0.2,chow_liu,0.02,0.20588879822613865,0.5302701801228602,0.5266997561253036,0.993266783365549,33.83167586008242,2.170483526223678
B_gamma,0.2,chow_liu,0.05,0.1990509373604925,0.4758804234861573,0.4756728592052983,0.9995638310159127,33.917097575624844,1.8278661947535588
B_gamma,0.2,chow_liu,0.1,0.1840738017322923,0.45780203311537654,0.45769390957482836,0.9997638203137448,33.041451910546336,1.5076836124041524
B_gamma,0.2,chow_liu,0.2,0.17423577986160727,0.4238478878034102,0.4231663341761707,0.9983919853163086,29.99640589598125,1.208547539016828
B_gamma,0.2,chow_liu,0.4,0.1599253434093662,0.3572395478908105,0.35663745498580207,0.9983145961622578,24.531061329705878,0.9315893005759929
B_gamma,0.2,chow_liu,0.8,0.115512087751117,0.35730534790424845,0.2304215316256262,0.6448868817025798,18.110219569429567,0.624565435688121
B_gamma,0.2,chow_liu,1.6,0.0396513284395309,0.240534799738246,0.06446978100244145,0.2680268346725652,11.426255962979859,0.27519274331358307
