init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
invariant,gaussian,0.0,0.95,0.05,3,0.010209415653494298,0.38634913911949625,0.00267077431934212,1,1.0
invariant,gaussian,0.0,0.95,0.05,4,0.004158603048222471,0.38634913911949625,0.00267077431934212,1,1.0
invariant,gaussian,0.0,0.95,0.05,5,0.001501907540436702,0.38634913911949625,0.00267077431934212,1,1.0
invariant,gaussian,0.0,0.95,0.05,6,0.0006201220328604913,0.38634913911949625,0.00267077431934212,1,1.0
invariant,gaussian,0.0,0.95,0.05,7,0.00021373679800074417,0.38634913911949625,0.00267077431934212,1,1.0
invariant,gaussian,0.0,0.95,0.05,8,9.308515621074942e-05,0.38634913911949625,0.00267077431934212,1,1.0
invariant,gaussian,0.0,0.95,0.1,1,0.14363617610102475,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,2,0.06672813510126886,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,3,0.033199545465482774,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,4,0.017386233991197392,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,5,0.00888664183087515,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,6,0.004590554459158759,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,7,0.002453406575464944,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.1,8,0.0012475265708339902,0.5113107789612258,0.003419073378262605,1,1.0
invariant,gaussian,0.0,0.95,0.2,1,0.20297927983843994,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,2,0.14410091462104116,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,3,0.08227615771635893,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,4,0.04920548097942003,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,5,0.03159015104786386,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,6,0.022224342275114356,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,7,0.014094171270613243,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.2,8,0.008504533381610894,0.6345904810982361,0.00588402184558314,1,1.0
invariant,gaussian,0.0,0.95,0.4,1,0.38305398179198374,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.4,2,0.2669977492165795,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.4,3,0.197022668848936,0.7312224098835441,0.004525040119934432,1,1.0
