t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.12,32,0.8869204367171575,0.21337213893344653,0.0016571388046512565,0.047867878586543476,0.028632072819780096,0.09749821772108412,0.9952478791340066,0.40012310277894936,1.6360107264790032e-15,2.618730273678188e-06,6.333352694976035e-05
0.12,33,0.8869204367171575,0.21337213893344653,0.001926026040346824,0.09561660219561893,0.03327791111113859,0.10676469621529167,0.9942859214045933,0.6557009700464946,9.147871673397912e-16,2.069590333509936e-06,2.9717290737019814e-05
0.12,34,0.8869204367171575,0.21337213893344653,0.026060929331547487,0.13524488324914088,0.45028118602837414,0.40452283595647565,0.9407966020236486,2.9644463530853065,4.871157779620746e-16,2.17323957181991e-06,0.0001888694624289089
0.12,35,0.8869204367171575,0.21337213893344653,0.0017378260457644081,0.052841430870859685,0.030026188361999294,0.11028003553725733,0.995047721832081,0.34912793932475816,1.6097012657399672e-15,3.816933002143004e-06,5.1942018929995726e-05
0.12,36,0.8869204367171575,0.21337213893344653,0.0018730766508743475,0.03367573474398361,0.032363050647498684,0.1294673377149499,0.9920812115249974,0.6413938310675591,2.5609210186016013e-15,2.8311528989718324e-06,0.000215895503104635
0.12,37,0.8869204367171575,0.21337213893344653,0.0032814593119665043,0.10957690401997348,0.056697110532719155,0.1373967642401002,0.9907327643016616,0.8462251684031967,9.549825908510574e-16,5.2925811403717845e-06,4.3684048435355116e-05
0.12,38,0.8869204367171575,0.21337213893344653,0.002690359660899198,0.0555396466445317,0.04648408057674791,0.14093571307047256,0.9902058855820053,0.7121276122974352,1.3350014707553049e-15,2.689284488903885e-06,0.00011218414098768115
0.12,39,0.8869204367171575,0.21337213893344653,0.001415690245055507,0.060377738570428566,0.02446032044685113,0.1108200471854454,0.9959219553837867,0.37481037930013894,1.2929536945509878e-15,3.984955056313808e-06,1.6965645226796333e-05
0.12,40,0.8869204367171575,0.21337213893344653,0.0017757796165923003,0.06179407660040432,0.030681950812715436,0.12519054727863269,0.9946252898121757,0.39434096539061914,1.3576044436944466e-15,3.245192788719829e-06,2.2987725187828545e-05
0.12,41,0.8869204367171575,0.21337213893344653,0.001444486337890147,0.06962375052812457,0.02495785983501366,0.1094344195353292,0.9979868233817831,0.3344979052018635,1.1053851352396371e-15,4.55381253652479e-06,4.1810179030044026e-06
0.12,42,0.8869204367171575,0.21337213893344653,0.007171845404566892,0.10353061522991443,0.12391526847322798,0.21364015210690607,0.9780023237910832,1.4733287567984794,9.21565518756054e-16,1.789264323811951e-06,0.0006072357634918646
0.12,43,0.8869204367171575,0.21337213893344653,0.0021258290561215814,0.06860764211477931,0.03673011106036279,0.107458057626583,0.9942177239678424,0.6171565907565058,1.0540824932744905e-15,2.33255817819448e-06,9.942649880434473e-05
0.12,44,0.8869204367171575,0.21337213893344653,0.003454821095319474,0.05781379861237759,0.05969245841256907,0.18450434637976287,0.9830639088533538,0.9764362333960128,1.2275872481506428e-15,3.0496772847455033e-06,0.00023569262616685016
0.12,45,0.8869204367171575,0.21337213893344653,0.0028635941133336763,0.07980900502902705,0.04947722843079414,0.13332242760040378,0.9912881870361787,0.6558535397571903,8.702597023200591e-16,3.8877314515317325e-06,1.4497580079764205e-05
