t,trial,relative_score_error,score_cosine,posterior_mean_mse
0.08,33.0,0.13186188962254383,0.9964215859685711,0.0014273820710865278
0.08,34.0,0.15295109666549375,0.9887808370118759,0.002855725577454406
0.08,35.0,0.20194187588188342,0.9796350534686279,0.0028325201799965045
0.08,36.0,0.2158371637035299,0.9764295400810954,0.0037206171300160754
0.08,37.0,0.15789841082885334,0.9890933615206597,0.0020169146243328912
0.08,38.0,0.16191871071789624,0.9870836195771355,0.0023017291991353165
0.08,39.0,0.12916432031360914,0.9944423815486532,0.0016340762590769107
0.08,40.0,0.20169565698972527,0.9797284300930349,0.002334858973047568
0.08,41.0,0.28638206521309195,0.9646074089626133,0.004936323886362842
0.08,42.0,0.2309779424170837,0.9730367355963186,0.004012748203352587
0.08,43.0,0.1609865229467242,0.9870339435425622,0.0017748208753805771
0.08,44.0,0.15720460873179443,0.988541012993672,0.0018063078801486736
0.08,45.0,0.1492904707798041,0.9895473363917852,0.0020591974400709216
0.08,46.0,0.2031002011725874,0.9798156678662391,0.002735651914403535
0.08,47.0,0.1558191685805721,0.9917457492699401,0.0014172681474512072
0.08,48.0,0.2800593014302154,0.9683524475739766,0.00833768855352398
0.08,49.0,0.22607321088945995,0.9755767859187855,0.002608737486811894
0.08,50.0,0.16381778897474558,0.9874453971400077,0.002157231310849371
0.08,51.0,0.18417032220070365,0.9835406507369465,0.003590314312844376
0.08,52.0,0.17503375771179072,0.9845818900213795,0.0025051533494133533
0.08,53.0,0.4421713650615666,0.9258184740243731,0.015570441583771966
0.08,54.0,0.22818045754093516,0.973877835150444,0.003230671662677179
0.08,55.0,0.20555622901783988,0.9788378172526828,0.003925242331140899
0.08,56.0,0.29889171324395397,0.9623246381917329,0.006025269352983903
0.08,57.0,0.15221293533345834,0.9906197045565698,0.0017191465702204394
0.08,58.0,0.1576189221199466,0.9907061386491962,0.0017836637994970595
0.08,59.0,0.15088140473653033,0.9940864617969084,0.0014375098331519457
0.08,60.0,0.15711242621681956,0.9888254822963605,0.0020478049058943997
0.08,61.0,0.17264618088505823,0.9887032804289411,0.0025397121375379506
0.08,62.0,0.13038581964266593,0.9971602583749388,0.0012425320062844113
0.08,63.0,0.17178350042142596,0.98551307917623,0.002822846602976995
0.08,64.0,0.1528232857499174,0.9941164904730292,0.0015007644403314448
0.08,65.0,0.13611967550933918,0.9958067493493059,0.0013312020558600764
0.08,66.0,0.1342792255024455,0.993474568011362,0.0014379746824004886
0.08,67.0,0.12937037169548882,0.9958247386937502,0.0015434094490697258
0.08,68.0,0.26168772236874904,0.9662253958377078,0.0047099153519230864
0.08,69.0,0.19265601249266107,0.9816248568618374,0.0020441269927249446
0.08,70.0,0.14875335376253027,0.9917268193804912,0.0012757017364763495
0.08,71.0,0.22345539361936878,0.9749770016373055,0.004257776275753233
0.08,72.0,0.1757183273452268,0.9848090655060142,0.0026594598081682384
0.08,73.0,0.25336668653049244,0.9678947813892749,0.004936480649507079
0.08,74.0,0.3321751787159118,0.9466667723319658,0.0067887446354956684
0.08,75.0,0.1540545862399425,0.9898904070156141,0.0015456282184082143
0.08,76.0,0.14197785265805898,0.9922859534099052,0.0020529042149890096
0.08,77.0,0.1643270845750995,0.9892665648708522,0.0021217049973773125
0.08,78.0,0.18611616449726462,0.9827226914078799,0.003041543281764713
0.08,79.0,0.19732477463305204,0.9811175868232795,0.003381641072699222
0.08,80.0,0.16186124716879333,0.987079947244989,0.0021671960287769614
0.08,81.0,0.20927159961152522,0.9778593067652963,0.0028778232866401776
0.08,82.0,0.17050306298747805,0.9874845275870306,0.00217755043512388
0.08,83.0,0.13744033279987825,0.9941471053134332,0.0013735498682296418
0.08,84.0,0.15816619432739734,0.9933572594244419,0.0016306489715744886
0.08,85.0,0.12976113761318733,0.9937894404059642,0.001202944129117235
0.08,86.0,0.26356914318791297,0.9684339914044079,0.005978571643928592
0.08,87.0,0.15270151316094313,0.9909674904330913,0.0019205885294453107
0.08,88.0,0.14752168964295562,0.9911121103376257,0.0014497308556588968
0.08,89.0,0.1785094313500615,0.9843227009115001,0.002748439014165517
0.08,90.0,0.1845285607578405,0.9845965210337752,0.0024176190832995697
0.08,91.0,0.16217929272155762,0.9873599918282855,0.0023932668309017864
0.08,92.0,0.16651303250488378,0.9950168809208344,0.0016280477878099161
0.08,93.0,0.15922004134522827,0.9874486307160668,0.0020265743790870245
0.08,94.0,0.13538256044659736,0.9910974582511791,0.0020034607100983394
0.08,95.0,0.12128016546913072,0.995437506350949,0.0011821041899146797
0.08,96.0,0.21874896750730757,0.9758551642947538,0.004073941387645366
0.08,97.0,0.14359720073536164,0.9907268327220183,0.0015527773971077054
0.08,98.0,0.19459608848992402,0.9808926479433543,0.0033561546536878006
0.08,99.0,0.12717595861791456,0.9943357519857403,0.0016275995718297374
0.12,0.0,0.12366266457134505,0.9927776616741507,0.003041920217624111
0.12,1.0,0.19145861811253395,0.9826235903880234,0.005514473661257119
0.12,2.0,0.10206110208056161,0.9955497258529469,0.0014915832797750364
0.12,3.0,0.12750569395929706,0.9919406192588439,0.0024001587081919195
0.12,4.0,0.2518777740458001,0.9728251489545887,0.011280602460275407
0.12,5.0,0.16761422246945126,0.9864331559616939,0.003450910627603265
0.12,6.0,0.20062364193856616,0.9811135496822675,0.006875630162748368
0.12,7.0,0.09816462174549959,0.9952380852428513,0.0016038708644698781
0.12,8.0,0.10808012617881603,0.9982561051660871,0.0013617488563015354
0.12,9.0,0.09833399418848271,0.9962048369872135,0.0012775591797595052
0.12,10.0,0.12089150686663379,0.9945655352812166,0.0015506697518032273
0.12,11.0,0.20842082370724302,0.9789562959294589,0.0055522064539699975
0.12,12.0,0.09842400586921253,0.9978950673186854,0.0017125860016256242
0.12,13.0,0.11787542373398949,0.993873800212791,0.0018455402744267982
0.12,14.0,0.13352121161615413,0.9927670431831055,0.002234408760164537
0.12,15.0,0.12159878749620782,0.9931056661591051,0.002023109216200694
0.12,16.0,0.10090286888467394,0.9964362406380771,0.0016522208133020163
0.12,17.0,0.21217282281730698,0.9782971993051955,0.006936808261604754
0.12,18.0,0.09854752019117886,0.9985854195759799,0.0014857512261452792
0.12,19.0,0.15099845860072816,0.9895191188110254,0.0030674897280099666
0.12,20.0,0.20782174767734385,0.979505559948921,0.009066389688331998
0.12,21.0,0.1390122302913146,0.9903275936119947,0.002515673557153528
0.12,22.0,0.2501141719926009,0.9699760634436895,0.006245252765490861
0.12,23.0,0.1046381748544586,0.9972375235223628,0.001559861976581905
0.12,24.0,0.09141240696971299,0.9972263999510803,0.001481961725807287
0.12,25.0,0.11999319364900193,0.9938580254057068,0.0017268967630022114
0.12,26.0,0.10919147006912738,0.9973374211176327,0.001616249680752064
0.12,27.0,0.25953775269742785,0.9668223526057113,0.00768364395436301
0.12,28.0,0.08767015820595461,0.9979455466127486,0.0013466863410853977
0.12,29.0,0.10653324234463978,0.9954439374410378,0.0017911815132504408
0.12,30.0,0.1307588790801925,0.9914402470570401,0.0021382510390674067
0.12,31.0,0.1018678392495917,0.9968917612159919,0.0012103830832557814
0.12,32.0,0.13491040253908929,0.9943830975982134,0.0016172140915508002
0.12,33.0,0.26252872433408614,0.9703882116418447,0.01138960132132346
0.12,34.0,0.17522654127380652,0.9851584168848443,0.003401910097538251
0.12,35.0,0.19506425130827718,0.9837984995187571,0.005201919580659072
0.12,36.0,0.19321649695184867,0.9811665107270194,0.004317469353801718
0.12,37.0,0.24456328425394708,0.9775325930278982,0.009097065370714648
0.12,38.0,0.1994579717234162,0.9809484199205067,0.005259549398270457
0.12,39.0,0.1468852234424968,0.9891552062064366,0.0025268977763107697
0.12,40.0,0.11589224559927407,0.9938598441674676,0.002054297984253636
0.12,41.0,0.3047664889854467,0.9569187887053571,0.008747659046022288
0.12,42.0,0.1371600285586425,0.9910877852824839,0.002270632005737775
0.12,43.0,0.2707609196827313,0.96974799754533,0.006460796884718765
0.12,44.0,0.10483918298274537,0.9973394131784089,0.001222976215109455
0.12,45.0,0.20207101613034636,0.9794710522275718,0.004390873071185035
0.12,46.0,0.11075567055073002,0.9941494817344987,0.0018904294380397671
0.12,47.0,0.16269547813676233,0.9869993657183722,0.003407605857205127
0.12,48.0,0.17744746057127925,0.9860624714788178,0.00472214509089666
0.12,49.0,0.10495747147875248,0.9946624449459959,0.0015333318083471583
0.12,50.0,0.14728070992201925,0.9890997422215891,0.0032029098456624284
0.12,51.0,0.09615550889292204,0.9976019003954523,0.0016892574644732632
0.12,52.0,0.10451019598275202,0.997443506636721,0.0013098964814172295
0.12,53.0,0.09077852945779243,0.9959987595481,0.002181925265389227
0.12,54.0,0.09735743161583399,0.9974284137509603,0.0014954714273811363
0.12,55.0,0.0958024356299488,0.9979946604649556,0.0011077383398033114
0.12,56.0,0.09381282653975168,0.9960492432200644,0.001442891113117974
0.12,57.0,0.10763626246098126,0.9950245461537525,0.0014538622010575736
0.12,58.0,0.14301399424603492,0.9897209222546132,0.0044408218926172555
0.12,59.0,0.1346326906592065,0.9973662447690689,0.0015351002316836707
0.12,60.0,0.1691171445950861,0.9858210377230419,0.004885688634025219
0.12,61.0,0.10839613857451276,0.9948998369187145,0.001529987431061457
0.12,62.0,0.1326521039644813,0.9912142127398762,0.0033481779562192153
0.12,63.0,0.15073516661850125,0.9890652903093693,0.0026831312019234056
0.12,64.0,0.10830997999714138,0.9965564592158835,0.0012743707799427152
0.12,65.0,0.2813181111895835,0.9662714341485762,0.011238270724184558
0.12,66.0,0.10944531990939656,0.9980084319338509,0.0014421131845625255
0.12,67.0,0.11035800091562445,0.9945509528511325,0.0015879696151685572
0.12,68.0,0.15540743138532023,0.9884884051962904,0.002929877346932528
0.12,69.0,0.11390524717150285,0.9942084810599819,0.0015641693566126671
0.12,70.0,0.11006437114020975,0.9950564615810266,0.001539238548793278
0.12,71.0,0.23365276461791018,0.9779203671759674,0.0074520978459016165
0.12,72.0,0.25300962384571996,0.9696070658200094,0.008333889538353626
0.12,73.0,0.28038597696038403,0.9629810248015052,0.010402245223440037
0.12,74.0,0.14858105824807344,0.9895071296293857,0.003415054712206013
0.12,75.0,0.16810514488988582,0.9862517828503019,0.005133320075821096
0.12,76.0,0.11068782555383583,0.9940427649871743,0.0024250177789912728
0.12,77.0,0.09537421822200262,0.9971116078904922,0.0014501897672412234
0.12,78.0,0.17827292222495614,0.9847166307705852,0.003624308069912602
0.12,79.0,0.09746557546672696,0.9965263385104245,0.0013482418393653125
0.12,80.0,0.18852646405360046,0.9834472224997377,0.00549676577312174
0.12,81.0,0.1072070125751944,0.997028020586854,0.0013340104096074923
0.12,82.0,0.10721695470952644,0.9962449539317783,0.00141143745710173
0.12,83.0,0.11089188267921801,0.997471173561447,0.0013747682757963473
0.12,84.0,0.14767405735777453,0.994477408984965,0.001754642109238056
0.12,85.0,0.09868654551021247,0.9973349590955871,0.0014246844489575422
0.12,86.0,0.22525216187580127,0.9745720534807331,0.0059196885210161705
0.12,87.0,0.11636528526806364,0.993996936813891,0.002269320717543972
0.12,88.0,0.12500072482997174,0.9924099780172492,0.0020568301162601646
0.12,89.0,0.09553386210466723,0.995832775836002,0.0014664828088127798
0.12,90.0,0.12250994173501377,0.9941080893541013,0.0021971808350493022
0.12,91.0,0.10155288548235071,0.9957269406461507,0.0018041168262439666
0.12,92.0,0.10837202757193695,0.9968694720241605,0.0015504161747812368
0.12,93.0,0.2730296867522943,0.9677192330258764,0.015696360350546956
0.12,94.0,0.18609160632586,0.9826688838966608,0.004442600913699995
0.12,95.0,0.19589061380228098,0.9809510473437477,0.00567958567842568
0.12,96.0,0.15320240449230416,0.9893308339314223,0.005072991116846548
0.12,97.0,0.14070166560130196,0.9911982321154732,0.0018285942791586493
0.12,98.0,0.13313147035501488,0.991187622200248,0.0022497396118388927
0.12,99.0,0.15938260585439834,0.987545898763356,0.004386225731193842
0.18,0.0,0.08050491828600363,0.9978630616394389,0.001281191465855345
0.18,1.0,0.10521321558520297,0.9946432680849752,0.002658410432971981
0.18,2.0,0.1570082821743793,0.9878081339969329,0.005584931424565956
0.18,3.0,0.0961539436481551,0.9956740645539499,0.0016398166543939421
0.18,4.0,0.1931056422285595,0.9838567548765417,0.011086018939397924
0.18,5.0,0.09405687215104025,0.9968308894367645,0.0017552208159809734
0.18,6.0,0.09350573954044353,0.9957023790456239,0.0027293473826163067
0.18,7.0,0.07217968821603128,0.9985958783739541,0.001475453617714132
0.18,8.0,0.12436818318019728,0.992472011436758,0.0055558012743299355
0.18,9.0,0.1935560875661539,0.9841525947377049,0.013009503585420665
0.18,10.0,0.06741760845377084,0.9977452933827933,0.0015290783726185243
0.18,11.0,0.10317968519655345,0.9947534541859385,0.002360805462272454
0.18,12.0,0.08472484707857109,0.9964058197172765,0.0023614924301326233
0.18,13.0,0.13005934775133088,0.9915754853777374,0.0033241700564287675
0.18,14.0,0.07359911302602053,0.9974399733199346,0.0017557865844923031
0.18,15.0,0.08073539880261071,0.9979207464608423,0.0014701059467476902
0.18,16.0,0.07275667477309733,0.9973546077998384,0.002087706821052611
0.18,17.0,0.1289030541518671,0.9920268152200632,0.003566074071426375
0.18,18.0,0.06979253103788954,0.9987799967268287,0.0009366761981812079
0.18,19.0,0.06716582224009582,0.9986923331576857,0.0012429991962981674
0.18,20.0,0.08576525905044838,0.9971619764916827,0.0013313114566504503
0.18,21.0,0.10319051237751825,0.9949521276282279,0.0024891072166527473
0.18,22.0,0.1824111282562561,0.9856140589467702,0.009190546002909403
0.18,23.0,0.08022161799308838,0.9978700337691384,0.0012328967038010182
0.18,24.0,0.07276729595141561,0.9975099850247866,0.0014444253485105924
0.18,25.0,0.10756020324546857,0.994199705689802,0.0032127326947501435
0.18,26.0,0.07944039983856929,0.9980823093901001,0.0013080315413639724
0.18,27.0,0.07470844689707265,0.9972936025521245,0.0012580343658321383
0.18,28.0,0.0738768355727648,0.9975777236861153,0.0014360725841861205
0.18,29.0,0.0800642570694621,0.9970992313757505,0.0018694235944238988
0.18,30.0,0.23966790927638518,0.9805895091371813,0.014251355751990906
0.18,31.0,0.0807717184309827,0.9973218959546604,0.0010930870184776582
0.18,32.0,0.05422532472558367,0.998592156046575,0.0010263846641911762
0.18,33.0,0.06144918774634748,0.9984547168900968,0.001389326964703477
0.18,34.0,0.08174799099770694,0.9968542060471377,0.0018655740276531903
0.18,35.0,0.08188597608738048,0.9969162625769259,0.002215949663019188
0.18,36.0,0.08079988203102133,0.9984006554161677,0.0013463575767541371
0.18,37.0,0.105004682108622,0.9945099123909603,0.0033164964408593615
0.18,38.0,0.058571434360526996,0.9983761167758759,0.0014240140815852675
0.18,39.0,0.06748793244538905,0.9985346523737777,0.0013536330152771109
0.18,40.0,0.0818979530682095,0.9966817466538755,0.0021182440833334305
0.18,41.0,0.19713559800377237,0.9865420254061718,0.009187125464479085
0.18,42.0,0.08439078264026269,0.99652537483419,0.001709061744749812
0.18,43.0,0.19572012176103448,0.9849625316609614,0.008250381250574194
0.18,44.0,0.17551797451080148,0.984718537458586,0.00706178059940075
0.18,45.0,0.06951591628998156,0.9985644072089448,0.0012891403465819492
0.18,46.0,0.10190617464511208,0.994817532879357,0.0027344604285159508
0.18,47.0,0.1407765643409817,0.9907196780663733,0.005099473979190972
0.18,48.0,0.11774214541395976,0.9931003801279359,0.0036530011627428595
0.18,49.0,0.06867026930158845,0.9981501505014877,0.0013576806155241115
0.18,50.0,0.08850751576959455,0.9964193917891843,0.0022587571567322996
0.18,51.0,0.0827035848178533,0.9966002769646326,0.00247045337139245
0.18,52.0,0.11626563976528838,0.9934993297623387,0.0029919924709556505
0.18,53.0,0.0636082403883129,0.998665037321249,0.0012848416241397743
0.18,54.0,0.0735294694647161,0.997996331197888,0.001644581367573293
0.18,55.0,0.06878245290811431,0.998529514355653,0.0010808668024217237
0.18,56.0,0.0898104830420332,0.9960184200052529,0.0026717426039938167
0.18,57.0,0.079598370462571,0.9989504863153628,0.0011109773175201443
0.18,58.0,0.05768200681864515,0.9984895279634318,0.0012704386064504372
0.18,59.0,0.1233168872135083,0.9924555241024734,0.0036910227481265854
0.18,60.0,0.07307837774086581,0.9975129818090557,0.0013128739944495693
0.18,61.0,0.1841604588106401,0.985164915359294,0.008045560853641153
0.18,62.0,0.09008633448197644,0.9959349180786782,0.0018366576017162716
0.18,63.0,0.16315473490475177,0.9866631070570491,0.006573931386032429
0.18,64.0,0.07272290573399759,0.997594351091254,0.0015598273845416075
0.18,65.0,0.09697614673607927,0.9952940586291448,0.0023946870903521268
0.18,66.0,0.07683586607458776,0.9971656998005801,0.0012572280547856413
0.18,67.0,0.06296785224616747,0.998469965766773,0.001178650743923581
0.18,68.0,0.10018346813042531,0.9950111620865971,0.0024750961590221917
0.18,69.0,0.0854202738667234,0.9964127545666492,0.0015674868178066508
0.18,70.0,0.07738137195672015,0.9976719636507807,0.001210651962782419
0.18,71.0,0.13337757514122928,0.9913366152391648,0.004489054065063839
0.18,72.0,0.07634080596187537,0.9971569692830017,0.0017923845347728729
0.18,73.0,0.31490576403160325,0.9588986562489519,0.029268555698980108
0.18,74.0,0.09956676048911763,0.9950507556283924,0.0022882144586012978
0.18,75.0,0.10859888129113926,0.9941884175737444,0.0036197724340877213
0.18,76.0,0.06984178752191383,0.9981152055456668,0.0011790152092157253
0.18,77.0,0.09930249873171437,0.99506901475834,0.0021762133789538984
0.18,78.0,0.06871899445425786,0.9980581527341992,0.0013353038282198546
0.18,79.0,0.09171423564436727,0.9957871237488375,0.0032964690065837472
0.18,80.0,0.13772994447177725,0.9914407536298115,0.004407988405763664
0.18,81.0,0.06429573944473327,0.9981976376752804,0.0015315441699033944
0.18,82.0,0.2728802149452021,0.9697650528235942,0.019405216604281336
0.18,83.0,0.08540998801229119,0.9972991400884514,0.0012102108956968582
0.18,84.0,0.09862207494834284,0.9951255654535751,0.002225705855793081
0.18,85.0,0.0811990527802292,0.9969627980308038,0.0013848437857805504
0.18,86.0,0.07781764332331909,0.9984438170047872,0.0014256677932566405
0.18,87.0,0.09146787669981132,0.9959955225162717,0.002132499089355711
0.18,88.0,0.0839903748936735,0.9972283098895122,0.0013399810701174369
