t,lag,mean_block_norm
0.7,1,0.09289643815675372
0.7,2,0.0858756534925844
0.7,3,0.07942169606623703
0.7,4,0.0734893434510468
0.7,5,0.0680370794864171
0.7,6,0.06302679687538759
0.7,7,0.058423524576026134
0.7,8,0.05419517804770871
0.7,9,0.05031233058751562
0.7,10,0.04674800415482277
0.7,11,0.043477478235153064
0.7,12,0.04047811543887881
0.7,13,0.03772920266779951
0.7,14,0.03521180681429491
0.7,15,0.03290864408496618
0.7,16,0.030803962164674768
0.7,17,0.02888343455882488
0.7,18,0.02713406657260077
0.7,19,0.02554411250631056
0.7,20,0.024103003765970816
0.7,21,0.022801287706374535
0.7,22,0.021630577135968693
0.7,23,0.020583510509386716
0.7,24,0.019653722894431857
0.7,25,0.01883582778549218
0.7,26,0.01812540966584749
0.7,27,0.01751902674396386
0.7,28,0.017014222208821424
0.7,29,0.016609540104406934
1.0,0,1.571909899156476
1.0,1,0.061014037209547047
1.0,2,0.0579684952159777
1.0,3,0.05509828118386
1.0,4,0.052393840477901535
1.0,5,0.049846181376458125
1.0,6,0.047446844847211754
1.0,7,0.045187876258617456
1.0,8,0.04306179894549377
1.0,9,0.041061589556456016
1.0,10,0.03918065512050722
1.0,11,0.03741281178016003
1.0,12,0.035752265149133676
1.0,13,0.034193592264162596
1.0,14,0.032731725113006316
1.0,15,0.031361935734650306
1.0,16,0.030079822903260306
1.0,17,0.028881300425061856
1.0,18,0.027762587097341185
1.0,19,0.026720198401545294
1.0,20,0.02575094002819724
1.0,21,0.02485190335988038
1.0,22,0.024020463068961995
1.0,23,0.02325427701658649
1.0,24,0.022551288663419714
1.0,25,0.021909732209865026
1.0,26,0.021328140653158627
1.0,27,0.02080535684183265
1.0,28,0.02034054735297359
1.0,29,0.019933218486419938
1.5,0,1.4535817928036674
1.5,1,0.033987497840973095
1.5,2,0.03305351321967024
1.5,3,0.03215143474687058
1.5,4,0.031280255880132175
1.5,5,0.030439005787870434
1.5,6,0.029626748353498298
1.5,7,0.028842581236046206
1.5,8,0.02808563498871797
1.5,9,0.027355072237368824
1.5,10,0.02665008692152216
1.5,11,0.025969903601294798
1.5,12,0.025313776834508098
1.5,13,0.024680990629361705
1.5,14,0.024070857979387385
1.5,15,0.023482720489043655
1.5,16,0.022915948100338666
1.5,17,0.022369938933379078
1.5,18,0.021844119256868643
1.5,19,0.02133794360848583
1.5,20,0.020850895089968874
1.5,21,0.02038248586788975
1.5,22,0.019932257918834254
1.5,23,0.019499784067403984
1.5,24,0.019084669377541292
1.5,25,0.018686552972542337
1.5,26,0.018305110376962135
1.5,27,0.017940056494059217
1.5,28,0.01759114935374126
1.5,29,0.017258194783445487
2.0,0,1.4233342864245948
2.0,1,0.01699685562263639
2.0,2,0.016682634212199947
2.0,3,0.016374035364518067
2.0,4,0.016070934374655156
2.0,5,0.015773208855554853
2.0,6,0.015480738700371643
2.0,7,0.015193406047349397
2.0,8,0.014911095247470559
2.0,9,0.01463369283514294
2.0,10,0.014361087502242197
2.0,11,0.014093170075890471
2.0,12,0.01382983350042686
2.0,13,0.013570972824116956
2.0,14,0.013316485191261003
2.0,15,0.013066269840497701
2.0,16,0.012820228110271392
2.0,17,0.012578263452641803
2.0,18,0.012340281456880169
2.0,19,0.012106189884628166
2.0,20,0.011875898718816388
2.0,21,0.011649320229074682
2.0,22,0.01142636905705131
2.0,23,0.011206962325941797
2.0,24,0.01099101977967333
2.0,25,0.01077846395868697
2.0,26,0.01056922042122407
2.0,27,0.010363218021619077
2.0,28,0.010160389260544841
2.0,29,0.009960670726741887
3.0,0,1.4147162908197797
3.0,1,0.00297176573009305
3.0,2,0.0029318134052895703
3.0,3,0.0028919903549584573
3.0,4,0.0028522943693903937
3.0,5,0.002812723246009034
3.0,6,0.0027732747892854352
3.0,7,0.0027339468106570104
3.0,8,0.0026947371284515883
3.0,9,0.0026556435678172226
3.0,10,0.0026166639606584868
3.0,11,0.0025777961455801485
3.0,12,0.0025390379678392533
3.0,13,0.002500387279306825
3.0,14,0.0024618419384406206
3.0,15,0.002423399810270626
3.0,16,0.0023850587663993205
3.0,17,0.0023468166850191085
3.0,18,0.0023086714509498274
3.0,19,0.002270620955699777
3.0,20,0.002232663097554534
3.0,21,0.0021947957816986557
3.0,22,0.002157016920376566
3.0,23,0.00211932443310037
3.0,24,0.0020817162469141583
3.0,25,0.0020441902967268076
3.0,26,0.002006744525728214
3.0,27,0.001969376885908015
3.0,28,0.001932085338700984
3.0,29,0.0018948678557902388
