arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,64,25,8,0.8106887174571019,-0.013061360322121634,0.3536870413654177,3.263664827336048,0.0308200263675946,0.012954338193411897
noised,64,25,8,0.7707243241914947,-0.019131080359686508,0.3713257753966298,4.1226284973536815,0.0585510804804548,0.029480834001801338
clean,64,26,8,0.7858549018223141,-0.005220673311385517,0.3387174043356875,2.0191224348453227,0.03241375984683675,0.021537513678580072
noised,64,26,8,0.7819303600106906,0.006079354587972882,0.3602597187532203,1.6549494842619525,0.04040204614567792,0.01750173691264334
clean,64,27,8,0.792096943390403,0.015485010085314329,0.36759902724999904,3.3281534935154786,0.026672333856828465,0.014507844662213264
noised,64,27,8,0.7587317381766452,0.014709930278593176,0.3781178747886098,2.399961216187962,0.06372734797695,0.03350434174649568
clean,64,28,8,0.8015481401886737,-0.0013086791031504078,0.3648683311896095,3.666030286544305,0.028418542470984336,0.008429823059365038
noised,64,28,8,0.8049078326213399,-0.007197802118215029,0.3511241692657449,2.876097392225743,0.06990061365973882,0.02265152629905108
clean,64,29,8,0.8126352308633054,0.021713342435255027,0.41821394969449854,2.688794464574017,0.05079445160428918,0.03571156211594246
noised,64,29,8,0.8102075387571556,0.03129104318474646,0.42854936660821374,2.7931115285695824,0.07383438943048347,0.04178108418385878
clean,64,30,8,0.7829666348700728,0.011672319713687256,0.3530437024560141,2.5391522386200487,0.025125950121530415,0.019411719373569686
noised,64,30,8,0.7726801842686974,0.013824745002348334,0.3832683177203783,0.4227973881722482,0.1032225980421293,0.02567776619212363
clean,64,31,8,0.8001028884353417,0.024398382295464184,0.3459450838116216,2.6032556593005527,0.023260902593631505,0.0213238939947652
noised,64,31,8,0.7965998391365297,0.028259115198939335,0.31227371846844826,1.8584949840552376,0.10978344717367385,0.04550301576073268
clean,128,0,8,0.802366752233663,0.0005383572685467381,0.34994463191474673,2.9059995085673513,0.010278283303809145,0.003451536066046227
noised,128,0,8,0.79432005208026,-0.0010069948718427657,0.36534740596369014,2.5027527854708014,0.03913367054223556,0.0098888633062044
clean,128,1,8,0.8076732696228176,-0.008916613457335241,0.3632325278447585,2.91126991907754,0.01962696053310818,0.010974934987391091
noised,128,1,8,0.8078111411913549,-0.009563669209368023,0.3608508172360088,4.3026461418886965,0.036390178419916486,0.012837860963227393
clean,128,2,8,0.7986165240524077,-0.006582345178856222,0.3805635193338854,2.373214808842172,0.025766202392459667,0.010115357845244375
noised,128,2,8,0.8055067563252823,-0.010015545088561123,0.3474802527063334,2.048308386832378,0.035005500346587864,0.011634919093755901
clean,128,3,8,0.7920363664509336,-0.010762177856112326,0.37392369076007986,2.5701357822861333,0.02034050727974247,0.010776678149007964
noised,128,3,8,0.7878902019541787,-0.01746025830254334,0.4152676571474212,2.251899450081213,0.05462183690083897,0.021793977303969318
clean,128,4,8,0.8014855002831641,0.007251708346098757,0.3391667001890371,2.190657245099997,0.026324021376093697,0.011354427364091825
noised,128,4,8,0.8039959475842973,0.016993659561294172,0.3443251873733871,3.1031259156752213,0.05359428477156487,0.019326992276404092
clean,128,5,8,0.8011838312789207,0.004927893243762169,0.3771355591752299,2.900056273837472,0.016825448606265954,0.00965522445550255
noised,128,5,8,0.8104853537762216,0.003496261985575816,0.3831871381228094,2.017511032719823,0.05020434030426497,0.019019332543651162
clean,128,6,8,0.7873305419240427,0.004442992099208842,0.3666803929545344,2.9293288527191477,0.015471222160545934,0.009520271358907725
noised,128,6,8,0.8035812884125332,0.0015910759566252247,0.363615143680012,5.314760718000008,0.06095577955393982,0.017807905832088435
clean,128,7,8,0.7943834724533714,-0.008037763224831187,0.3818690083285587,2.9253734685518333,0.02244172426216445,0.009442571237323132
noised,128,7,8,0.7948982426246874,-0.0020370013771185387,0.446291541612828,3.4324829910018613,0.07174742316692029,0.03257980834717528
clean,128,8,8,0.8038906281143168,-0.011237869883922,0.3958855264853046,3.3112024792191166,0.031010216298596356,0.019001579974998756
