arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,256,5,-0.003715245705176451,0.00029066931345195224,0.7962847542948236,0.36029066931345183
noised,256,5,-0.01574179495324579,0.011237750665792856,0.7842582050467543,0.37123775066579273
clean,256,6,0.00847021103501322,0.003941568323512834,0.8084702110350133,0.3639415683235127
noised,256,6,0.009007285536550058,0.012910429457347994,0.8090072855365501,0.37291042945734787
clean,256,7,-0.013142602831761385,-0.0031521818274476976,0.7868573971682387,0.3568478181725522
noised,256,7,-0.008134788188067454,-0.00857233720831363,0.7918652118119326,0.35142766279168625
clean,256,8,0.007621435024340539,0.007597457593701951,0.8076214350243406,0.3675974575937018
noised,256,8,0.010638428247241816,0.014473706197256131,0.8106384282472419,0.374473706197256
clean,256,9,0.0005001247801529329,0.011703959574119516,0.800500124780153,0.3717039595741194
noised,256,9,-0.002500704448579638,0.01172504880932329,0.7974992955514204,0.37172504880932317
clean,256,10,-0.009120256715578257,0.006467031653335231,0.7908797432844218,0.3664670316533351
noised,256,10,-0.0023545664916032605,-0.02035826517936995,0.7976454335083968,0.3396417348206299
clean,256,11,-0.0007687418264739065,-0.000841847174989141,0.7992312581735261,0.35915815282501073
noised,256,11,0.015959026957284572,-0.01677412262548622,0.8159590269572846,0.34322587737451365
clean,256,12,-0.009399376841991769,0.0004107135915601412,0.7906006231580083,0.36041071359156
noised,256,12,-0.006727135464570377,-0.0076961858448608145,0.7932728645354297,0.35230381415513906
clean,256,13,0.0015036828594849894,0.0013131375286720148,0.801503682859485,0.3613131375286719
noised,256,13,0.007849769281875418,-0.012435634961438569,0.8078497692818755,0.3475643650385613
clean,256,14,-0.01177047258659758,-0.007291592314819628,0.7882295274134025,0.35270840768518025
noised,256,14,-0.01044729493069163,-0.024733542236353434,0.7895527050693084,0.33526645776364644
clean,256,15,0.008574778257551263,-0.004612262216570684,0.8085747782575513,0.3553877377834292
noised,256,15,0.013022448494721672,0.01767545597570641,0.8130224484947217,0.3776754559757063
clean,256,16,-0.008362612704958527,-0.007557209913708063,0.7916373872950415,0.3524427900862918
noised,256,16,0.00348603178012985,-0.02666319133638223,0.8034860317801299,0.33333680866361765
clean,256,17,-0.0013358809284592654,0.0006886572897151777,0.7986641190715408,0.36068865728971505
noised,256,17,0.005248633766037458,-0.018967467900777968,0.8052486337660375,0.3410325320992219
clean,256,18,-0.003137113621779375,0.0023743609607267957,0.7968628863782207,0.36237436096072667
noised,256,18,-0.015055082894179228,0.012724947056270086,0.7849449171058208,0.37272494705626996
clean,256,19,0.005926952656256312,0.005705977659435313,0.8059269526562564,0.3657059776594352
noised,256,19,-0.004749021795461661,0.021551757275693084,0.7952509782045384,0.38155175727569296
clean,256,20,-0.013672112501596945,0.00552759184950774,0.7863278874984031,0.3655275918495076
noised,256,20,-0.010619592043571435,0.0054340853583360604,0.7893804079564286,0.36543408535833594
clean,256,21,0.0017192079412580163,-0.004183156539710131,0.8017192079412581,0.35581684346028974
noised,256,21,0.022826939313788652,-0.01689423615576785,0.8228269393137887,0.343105763844232
clean,256,22,-0.021449874688926784,0.01033013427342,0.7785501253110733,0.3703301342734199
noised,256,22,-0.02302105283406075,0.013789851819937304,0.7769789471659393,0.3737898518199372
clean,256,23,-0.00018417615172416912,0.002443240580385919,0.7998158238482759,0.3624432405803858
noised,256,23,-0.006285392398376555,0.015327488590838434,0.7937146076016235,0.3753274885908383
clean,256,24,-0.004733503254526594,-0.0007652483355573003,0.7952664967454735,0.3592347516644426
noised,256,24,-0.010372348071869486,0.026478826328681537,0.7896276519281306,0.3864788263286814
clean,256,25,-0.0023221858323023703,0.012177946455231847,0.7976778141676977,0.3721779464552317
noised,256,25,0.005591088208173778,0.011042838024702017,0.8055910882081738,0.3710428380247019
clean,256,26,0.011223099710273132,0.0008240082058813547,0.8112230997102732,0.36082400820588123
noised,256,26,0.019306453358333364,0.006785927965623495,0.8193064533583334,0.36678592796562337
clean,256,27,-0.003621149228648979,-0.002875255589901149,0.7963788507713511,0.3571247444100987
noised,256,27,-0.004514935136166409,-0.03508360468590449,0.7954850648638336,0.3249163953140954
clean,256,28,-0.004583488507991729,-0.0015112281259231364,0.7954165114920083,0.35848877187407674
noised,256,28,-0.024621740172352524,0.019236266441935768,0.7753782598276475,0.37923626644193564
clean,256,29,-0.006297440474196003,0.007108097989460271,0.793702559525804,0.36710809798946015
noised,256,29,-0.017124624993014148,0.015448312389224006,0.7828753750069859,0.3754483123892239
clean,256,30,-0.0012095809153888082,-0.00735544647328179,0.7987904190846112,0.3526445535267181
noised,256,30,0.001845443852093065,-0.0025678215465335663,0.8018454438520931,0.3574321784534663
clean,256,31,-0.004259169836157928,0.0016991795046158442,0.7957408301638421,0.3616991795046157
noised,256,31,-0.01317912654014508,0.027791424595488,0.786820873459855,0.3877914245954879
clean,512,0,-0.006529541198501465,-0.004705199397261217,0.7934704588014986,0.35529480060273866
noised,512,0,0.006562953919303727,-0.02156662950346455,0.8065629539193038,0.3384333704965353
clean,512,1,0.0028679265031501533,0.0044929033992479606,0.8028679265031502,0.36449290339924784
noised,512,1,-0.006641982660162915,0.019691267873679752,0.7933580173398371,0.3796912678736796
clean,512,2,-0.0024170508420635617,0.0044748297684630844,0.7975829491579365,0.36447482976846296
noised,512,2,-0.008859386642661615,0.017116764784116167,0.7911406133573384,0.37711676478411604
clean,512,3,5.820405789669358e-06,0.0026320317580308394,0.8000058204057897,0.3626320317580307
noised,512,3,-0.006920836276870235,0.0060069467478343075,0.7930791637231298,0.3660069467478342
clean,512,4,-0.001839224417944152,-0.0035679339402816534,0.7981607755820559,0.3564320660597182
noised,512,4,0.0010562080868554702,-0.011213761198666072,0.8010562080868555,0.3487862388013338
clean,512,5,-0.0018002552133338234,-0.006221706555248785,0.7981997447866662,0.3537782934447511
noised,512,5,-0.0014207835947755987,-0.009768103915631599,0.7985792164052244,0.3502318960843683
clean,512,6,0.0013132598693621489,5.104830432534069e-05,0.8013132598693622,0.3600510483043252
noised,512,6,0.007770457029396938,-0.008430116930249976,0.807770457029397,0.3515698830697499
clean,512,7,0.0014479040597152881,0.0029826681826199963,0.8014479040597153,0.36298266818261987
noised,512,7,-0.01081607668755058,0.017276792184931444,0.7891839233124495,0.3772767921849313
clean,512,8,-0.003490027486744429,0.0018923262586720835,0.7965099725132556,0.36189232625867196
noised,512,8,0.00929079079532158,-0.018015138133075703,0.8092907907953216,0.3419848618669242
clean,512,9,0.001107735250568287,0.004132983476454133,0.8011077352505683,0.364132983476454
noised,512,9,-0.00666742993921321,0.01813142827216413,0.7933325700607868,0.378131428272164
clean,512,10,-0.004809882406248134,-0.006799865829915652,0.7951901175937519,0.3532001341700842
noised,512,10,-0.005660275028578354,-0.004813081797753749,0.7943397249714217,0.3551869182022461
clean,512,11,0.0005515525080765915,0.0002195350420432507,0.8005515525080766,0.3602195350420431
noised,512,11,0.013844760520444255,-0.01819829621961283,0.8138447605204443,0.34180170378038705
clean,512,12,-0.0006363012773961119,0.0027203913161202298,0.7993636987226039,0.3627203913161201
noised,512,12,0.0028795048893698327,-0.007414698438183542,0.8028795048893699,0.35258530156181633
clean,512,13,-0.00386735902308033,0.0007724795540469676,0.7961326409769197,0.36077247955404684
noised,512,13,0.002082137509409998,-0.0012000597473080798,0.80208213750941,0.3587999402526918
clean,512,14,-0.00631202490055105,-0.008921134140478904,0.793687975099449,0.35107886585952097
noised,512,14,-0.003871958078677906,-0.015489682191517695,0.7961280419213221,0.3445103178084822
clean,512,15,-0.004336375335857845,0.0011356363264127811,0.7956636246641422,0.36113563632641266
noised,512,15,0.0017095733432345162,-0.006675791471350057,0.8017095733432346,0.3533242085286498
clean,512,16,-0.0005267422659713805,0.003522201396491953,0.7994732577340287,0.36352220139649183
noised,512,16,0.007731440407864776,-0.01811978686576743,0.8077314404078648,0.34188021313423245
clean,512,17,-0.009554720759793356,0.004243924445514247,0.7904452792402067,0.3642439244455141
noised,512,17,-0.01281401998571674,0.00028178625005159663,0.7871859800142833,0.3602817862500515
clean,512,18,0.0002770375751752763,0.005173799135472779,0.8002770375751753,0.36517379913547265
noised,512,18,-0.0072635980443358505,0.009238750477612911,0.7927364019556642,0.3692387504776128
