regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
mixture,64,25,8,0.8532303206991686,0.27214313217652336,0.8585707629820385,0.27276326673527784,0.0032303206991686206,0.008570762982038516,-0.005356867823476719,-0.004736733264722237,0.005340442282869895,0.0006201345587544815,2.946169226673656,3.261728439065225,0.0
gaussian,64,26,0,0.8721378755605161,0.27758748822627866,0.8719353531170154,0.2780601246166497,0.022137875560516163,0.021935353117015444,8.748822627857589e-05,0.0005601246166496154,-0.0002025224435007189,0.00047263639037103955,nan,nan,nan
mixture,64,26,8,0.8379285521577109,0.26075865197017084,0.8373312526965627,0.2612155392190682,-0.012071447842289085,-0.012668747303437256,-0.01674134802982924,-0.016284460780931875,-0.0005972994611481708,0.0004568872488973641,2.06261125602179,2.017120080587909,0.0
gaussian,64,27,0,0.8540966067180613,0.2662448402002269,0.8538670687242773,0.26670734233498455,0.004096606718061335,0.003867068724277334,-0.011255159799773207,-0.010792657665015526,-0.00022953799378400142,0.00046250213475768076,nan,nan,nan
mixture,64,27,8,0.8449175035881724,0.28300126422673916,0.8445182553421295,0.28346403915632407,-0.005082496411827564,-0.005481744657870435,0.005501264226739078,0.005964039156323986,-0.00039924824604287146,0.0004627749295849082,3.1141848547678768,3.32142744514989,0.0
gaussian,64,28,0,0.8418739337864591,0.2699322758105619,0.8416297686387623,0.270392764210421,-0.008126066213540839,-0.008370231361237712,-0.007567724189438185,-0.007107235789579058,-0.00024416514769687314,0.00046048839985912693,nan,nan,nan
mixture,64,28,8,0.8543711640393901,0.2809203877155963,0.8540680634488718,0.28137708319706406,0.004371164039390085,0.004068063448871784,0.003420387715596218,0.0038770831970639796,-0.0003031005905183015,0.0004566954814677615,3.511096178962931,3.6692186594707614,0.0
gaussian,64,29,0,0.8446883626579668,0.277100259600221,0.8444632096026206,0.27755626743240547,-0.005311637342033215,-0.005536790397379421,-0.0003997403997790805,5.626743240538801e-05,-0.00022515305534620556,0.0004560078321844685,nan,nan,nan
mixture,64,29,8,0.8602256668528856,0.3219848418563439,0.860136856453885,0.32244410380891503,0.010225666852885618,0.010136856453885068,0.044484841856343826,0.04494410380891495,-8.881039900054954e-05,0.0004592619525711217,2.7162207713765314,2.6896172895164376,0.0
gaussian,64,30,0,0.8382014165135643,0.286174850126566,0.8379732449919406,0.2866253872461854,-0.011798583486435699,-0.012026755008059387,0.008674850126565936,0.009125387246185335,-0.00022817152162368792,0.0004505371196193986,nan,nan,nan
mixture,64,30,8,0.8315181059709713,0.27162059699744606,0.8324508385236677,0.27208204519939744,-0.018481894029028667,-0.01754916147633223,-0.005879403002554018,-0.005417954800602642,0.0009327325526964358,0.0004614482019513755,2.503645196289469,2.5329014214833085,0.0
gaussian,64,31,0,0.8319281134245766,0.2837473107837895,0.8316940937542577,0.28419532989550966,-0.018071886575423357,-0.018305906245742243,0.006247310783789428,0.006695329895509583,-0.0002340196703188857,0.00044801911172015485,nan,nan,nan
mixture,64,31,8,0.850760701984632,0.2663407564240147,0.8501268795042385,0.2667937543215027,0.0007607019846320728,0.00012687950423850847,-0.011159243575985356,-0.010706245678497373,-0.0006338224803935644,0.00045299789748798336,2.6589516453026807,2.603719654937663,0.0
gaussian,128,0,0,0.8458621427171169,0.28104970878414326,0.8456326170992283,0.28150343463323185,-0.004137857282883073,-0.004367382900771655,0.0035497087841431796,0.004003434633231773,-0.00022952561788858183,0.00045372584908859315,nan,nan,nan
mixture,128,0,8,0.8533476852045087,0.2694040698586817,0.8529174657377253,0.2698653287059297,0.003347685204508677,0.0029174657377253332,-0.008095930141318375,-0.007634671294070361,-0.00043021946678334366,0.0004612588472480139,2.8621142572633174,2.8929923415380667,0.0
gaussian,128,1,0,0.855744200801038,0.27874471869047107,0.8555222689316824,0.27921192970385283,0.005744200801037991,0.005522268931682395,0.0012447186904709917,0.0017119297038527548,-0.00022193186935559606,0.0004672110133817631,nan,nan,nan
mixture,128,1,8,0.8565582568040078,0.2796478646930563,0.856933429976812,0.28011780126233143,0.006558256804007789,0.006933429976812011,0.002147864693056223,0.002617801262331354,0.0003751731728042218,0.00046993656927513117,2.9005921452516956,2.901385565954608,0.0
gaussian,128,2,0,0.8341848739475421,0.274046812994401,0.8339332769600201,0.2745046659263005,-0.01581512605245783,-0.016066723039979913,-0.003453187005599101,-0.0029953340736995626,-0.0002515969875220847,0.00045785293189953835,nan,nan,nan
mixture,128,2,8,0.8484663315627333,0.29301534596784706,0.8483033783489289,0.293476381656759,-0.0015336684372666554,-0.0016966216510710952,0.015515345967846983,0.01597638165675891,-0.00016295321380443983,0.00046103568891192603,2.363149757444252,2.3644317994543576,0.0
gaussian,128,3,0,0.8484976440055904,0.2806755915801069,0.8482772423850611,0.28113283758789387,-0.001502355994409621,-0.0017227576149388968,0.003175591580106829,0.003632837587893789,-0.0002204016205292758,0.00045724600778696,nan,nan,nan
mixture,128,3,8,0.8433892351024977,0.28790544996988554,0.8441174613534406,0.28836447436367346,-0.00661076489750223,-0.00588253864655941,0.01040544996988546,0.010864474363673382,0.0007282262509428206,0.00045902439378792126,2.5753835177638758,2.562891186917689,0.0
