family,rho,n_chains,t_eval,rep,t_train,rho_hat,q_hat,rho_abs_err,n_params_learned,rel_score_err_vs_true_params
gaussian,0.85,125,1.2,0,0.15,0.842761118757009,0.28044938291529253,0.007238881242990991,2,0.005644153228427496
laplace,0.7,125,1.2,4,0.15,0.7070859663570199,0.5173249201047789,0.007085966357019968,2,0.004940591805515304
laplace,0.85,2000,1.2,0,0.15,0.8505192025541579,0.2736898854523982,0.0005192025541579381,2,0.0011231435018492037
gaussian,0.85,4000,0.5,3,0.15,0.847147733921972,0.2831702032365885,0.0028522660780280207,2,0.0033803300463003676
uniform,0.85,1000,1.2,0,0.15,0.8566289562853068,0.27081429471561197,0.006628956285306797,2,0.004148837134936545
mixture,0.7,250,1.2,3,0.15,0.6929055345389102,0.5294130219306142,0.007094465461089716,2,0.0021443662040551556
laplace,0.7,125,0.5,4,0.15,0.6830254778995226,0.5121631035470618,0.01697452210047734,2,0.012961113907836821
mixture,0.7,125,1.2,2,0.15,0.705627507185126,0.509317146136852,0.005627507185126057,2,0.0025631333757519287
student,0.7,4000,0.15,0,0.15,0.7003761150300175,0.511228194101499,0.0003761150300175542,2,0.001199709010661844
uniform,0.85,2000,0.15,1,0.15,0.853077694299323,0.277048851401573,0.0030776942993230305,2,0.00249416958984049
uniform,0.85,60,0.5,0,0.15,0.8374779320031522,0.2908388497570236,0.012522067996847741,2,0.010453896161133527
student,0.7,1000,0.5,3,0.15,0.6997688403613334,0.5106034690848379,0.0002311596386666004,2,0.0002521633478838499
laplace,0.85,1000,0.15,3,0.15,0.8519197269056847,0.28301643613542027,0.00191972690568476,2,0.007204544678644104
uniform,0.7,250,0.15,2,0.15,0.6995582598603217,0.5202620436482436,0.0004417401396782372,2,0.009787257550450377
uniform,0.85,125,0.5,0,0.15,0.8625812303679348,0.27515507925593213,0.012581230367934793,2,0.011699421093443305
student,0.7,500,0.5,0,0.15,0.7053964386511739,0.5039546693368802,0.005396438651173896,2,0.003556495513349048
mixture,0.7,1000,0.15,1,0.15,0.6979614954849924,0.516937230019768,0.002038504515007533,2,0.006959030619508128
mixture,0.85,1000,1.2,3,0.15,0.8480505205352201,0.27989335375859575,0.0019494794647798575,2,0.001092832709933015
