family,rho,t,excess_kurtosis,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_rel_q90,score_cosine_median,score_max_abs_median
gauss_mix_kappa0.9,0.5,0.05,-1.62,0.028402346663077706,0.17411308385604932,2.8378689870475036,0.8300901277068176,0.9737084573909561,0.5582030425393079,3.527520375337664
gauss_mix_kappa0.9,0.5,0.1,-1.62,0.033508488922773805,0.19985004052643218,0.8349254248883156,0.6488719320621807,0.8449368546058988,0.7689056137607229,1.9255413703001791
gauss_mix_kappa0.9,0.5,0.2,-1.62,0.025904044662787416,0.2063198798309899,0.15975876908106218,0.3457769728050317,0.3738792147014016,0.9432409633189183,0.9857615370563098
gauss_mix_kappa0.9,0.5,0.4,-1.62,0.009076539586636222,0.1294133853251977,0.013449317692240923,0.11410677062757874,0.1312491437576766,0.9942588397806524,0.3136393004737714
gauss_mix_kappa0.9,0.5,0.8,-1.62,0.0011573744284703279,0.06531537177361688,0.00036684643286883354,0.0191354379409355,0.024350081728589656,0.9998204609721584,0.04641848313070107
gauss_mix_kappa0.9,0.5,1.6,-1.62,1.854550799744996e-05,0.016549879290761793,8.215685894609097e-07,0.0009513419035499203,0.0016073190619669707,0.9999995539362696,0.00344115340753004
gauss_mix_kappa0.9,0.5,2.4,-1.62,1.2899970113505398e-07,0.0034965279473334037,1.079326984416964e-09,3.1968548389725804e-05,5.284927698268751e-05,0.9999999995211006,0.000104691230288112
laplace,0.85,0.02,3.0,0.0009880092168926126,0.04085546358983097,0.6174234330427839,0.35422492166117614,0.47927532919511845,0.9481479567012494,1.6420811666805877
laplace,0.85,0.05,3.0,0.002530034114901149,0.05279974147844984,0.25279268069014277,0.26569691529335815,0.37373236884171096,0.9651184240535556,1.4026994074806904
laplace,0.85,0.1,3.0,0.0016475846244256584,0.050097799396022054,0.04105259105411718,0.1284454202830868,0.17438340178534362,0.9944277720656125,0.45705091543810616
laplace,0.85,0.2,3.0,0.0015366075827525116,0.05236908374026738,0.009476764697438255,0.07986609973426151,0.10458425764433037,0.9969314755515626,0.23254120825134295
laplace,0.85,0.4,3.0,0.001113218425785161,0.05185787569593438,0.0016495304324221642,0.03461415926267032,0.04649051765321185,0.999447470632524,0.0936368761925081
laplace,0.85,0.8,3.0,0.00045671206761604315,0.041690275752632455,0.00014476144342892745,0.012114592056588401,0.04126481917524816,0.9999321365349959,0.023956124544660007
laplace,0.85,1.6,3.0,4.3966668572260067e-05,0.019635778977447668,1.947729546538901e-06,0.0013873824155965328,0.0022944674046731085,0.9999991306127402,0.0025027900471786824
laplace,0.85,2.4,3.0,6.158587020790877e-07,0.005538875579776861,5.15282523830333e-09,8.266145983207198e-05,0.00010401551045604462,0.9999999970435002,0.00013447191561066774
student_t_nu5,0.85,0.02,6.0,0.00047542838682545287,0.026621090364895454,0.2971031259029937,0.2413707220941398,0.5998425144213136,0.9744278615369728,1.2167007589928764
student_t_nu5,0.85,0.05,6.0,0.0017506995796286152,0.04040357208365722,0.17492413924810463,0.19326085786076508,0.2932636353194388,0.9812718037914026,1.314864503334682
student_t_nu5,0.85,0.1,6.0,0.002076866192768999,0.05367661753439318,0.051748928232192376,0.1403034225377341,0.26787638504509514,0.990759791026285,0.7771364946278764
student_t_nu5,0.85,0.2,6.0,0.001255931584042537,0.04367368340125487,0.007745743436155486,0.05935778996068407,0.12936066938139185,0.9982439861376091,0.21633505484483495
student_t_nu5,0.85,0.4,6.0,0.0006774744102964133,0.04651375152734019,0.0010038592886054713,0.029682252029310643,0.042831047110539734,0.9996565680858224,0.07687080869628726
student_t_nu5,0.85,0.8,6.0,0.000587328796923646,0.03888450066483948,0.00018616229007007763,0.013481711807278519,0.03180990547285041,0.9999163910336879,0.029355819178189857
student_t_nu5,0.85,1.6,6.0,5.9462305146314366e-05,0.023886943758399212,2.6341884068027206e-06,0.0016108498486855426,0.0029215197817757826,0.9999988768639259,0.0030004480686044444
student_t_nu5,0.85,2.4,6.0,2.129588448518987e-06,0.009116008029498742,1.781804343705224e-08,0.0001347949359970124,0.00021515756527614287,0.999999991740813,0.00027117043593438694
student_t_nu8,0.85,0.02,1.5,0.00014514145299963577,0.01594027814031762,0.09070131397123715,0.13848070259394812,0.18879480221495978,0.9936478099394299,0.6444542431212069
student_t_nu8,0.85,0.05,1.5,0.0004441943148035231,0.022123396805961988,0.044382433788206575,0.108951373590046,0.17432122737040606,0.9944757103551737,0.640953479522106
student_t_nu8,0.85,0.1,1.5,0.0004471235077960316,0.03197347541041798,0.011140901805047825,0.05966174196404839,0.15917292224654492,0.9985028747607694,0.28542662112310835
student_t_nu8,0.85,0.2,1.5,0.00033200202889695717,0.026804897033956075,0.0020475657820799055,0.03043577937430654,0.08063664777692292,0.9996113676602854,0.120323341478898
student_t_nu8,0.85,0.4,1.5,0.0001363844223255432,0.021039259456278492,0.00020208994921695398,0.013103790897927356,0.020032006637416423,0.999941938600821,0.033103368128183486
student_t_nu8,0.85,0.8,1.5,7.557677617645064e-05,0.015595075250006607,2.3955143699434147e-05,0.005418596022330008,0.01399885805791107,0.9999889764091061,0.010088628564746571
student_t_nu8,0.85,1.6,1.5,8.965586595320139e-06,0.008345423375839359,3.9717673594163724e-07,0.0005737633509986541,0.0008115535109833187,0.999999845702096,0.001165896827536872
student_t_nu8,0.85,2.4,1.5,1.3779290711452084e-07,0.0021002015878374522,1.152898817605885e-09,3.517546200443818e-05,9.057164588740288e-05,0.9999999994604701,6.598377719368997e-05
gauss_mix_kappa0.3,0.85,0.02,-0.18,1.721815022744837e-05,0.004784278466019861,0.010759909161083266,0.05131804908692421,0.05993103243119513,0.9987067459705561,0.2796603465617117
