init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,student_t_nu5,0.5,0.8,6.0,21,0.0023350909217839167,0.09557659272681596,0.0007401405750885631,0.026962860795579233,0.9996386733952206,0.10640948087927349
invariant,student_t_nu5,0.5,1.6,6.0,21,5.881453988017734e-05,0.0357464076134386,2.6054923152168545e-06,0.0017388769060458949,0.999998916653305,0.002941193363958039
invariant,student_t_nu5,0.5,2.4,6.0,21,2.5847370700235285e-06,0.013810906281840181,2.162622426837868e-08,0.0001489505464426393,0.9999999947670772,0.00026582620641826815
invariant,student_t_nu8,0.5,0.02,1.5,19,0.00010871200187395436,0.012942148995964579,0.06793594256243246,0.21028475247999712,0.9806932079913047,0.8180701324157171
invariant,student_t_nu8,0.5,0.05,1.5,19,0.00045245871417425173,0.025022566246230317,0.04520818536954513,0.1743924069713487,0.9860735711577358,0.7604425518697496
invariant,student_t_nu8,0.5,0.1,1.5,19,0.0008768758647505566,0.043109635707119516,0.02184896954435874,0.13525479439141924,0.9925005901978207,0.3462883725094935
invariant,student_t_nu8,0.5,0.2,1.5,19,0.0011049029418942983,0.04760981901544596,0.0068143000928598384,0.07907823591452107,0.9981129414744456,0.2061208386710185
invariant,student_t_nu8,0.5,0.4,1.5,19,0.0015413169165233351,0.05966374253766878,0.0022838726892425686,0.047169853801908544,0.9989135939391691,0.17955719846142193
invariant,student_t_nu8,0.5,0.8,1.5,19,0.0004268769842194142,0.0408384110012862,0.00013530478562730062,0.011473412424499282,0.9999389146546225,0.04291063605102052
invariant,student_t_nu8,0.5,1.6,1.5,19,1.0792623224492698e-05,0.01208177944781763,4.781147132960063e-07,0.000677707105612038,0.9999997713358586,0.002351381626973459
invariant,student_t_nu8,0.5,2.4,1.5,19,9.752623842131601e-08,0.0033069125744113613,8.159918192875428e-10,2.999804313129722e-05,0.9999999995933953,6.807303800093756e-05
invariant,gauss_mix_kappa0.3,0.5,0.02,-0.18,11,1.0235752137154123e-05,0.0033763032076834488,0.006396492174610544,0.06636937881165102,0.9981342935567638,0.22745288534095054
invariant,gauss_mix_kappa0.3,0.5,0.05,-0.18,11,3.562511282584052e-05,0.006752333117512486,0.003559544006972746,0.053055260287514054,0.9988463493785184,0.15662584223516818
invariant,gauss_mix_kappa0.3,0.5,0.1,-0.18,11,7.513372511415016e-05,0.011220015510420792,0.0018720944865329061,0.04268116191084851,0.9991322909019955,0.11525304511554058
