n_chains,t,em_bp_score_rel_l2,em_bp_mean_rel_l2,net_score_rel_l2_selected,net_mean_rel_l2_selected,net_score_rel_l2_oracle,net_mean_rel_l2_oracle,mode_selected,mode_oracle,selection_agrees,ratio_selected,ratio_oracle,seed
128,0.8,0.0119111866917171,0.0329443736465513,0.1726611903667946,0.4775523142171456,0.1726611903667946,0.4775523142171456,x0,x0,1,14.495716911805273,14.495716911805273,10
128,1.6,0.0088619774654682,0.1090333115912129,0.045671184232603,0.5619152701050094,0.045671184232603,0.5619152701050094,x0,x0,1,5.15361096443387,5.15361096443387,10
256,0.1,0.042910046973425,0.0143194362179585,0.7763618108406717,0.2590783328500374,0.7763618108406717,0.2590783328500374,eps,eps,1,18.092774667002484,18.092774667002484,10
256,0.2,0.0238605852351435,0.0141751270752617,0.5495963223239689,0.3265048879674689,0.5495963223239689,0.3265048879674689,eps,eps,1,23.033648039549536,23.033648039549536,10
256,0.4,0.013614166764015,0.0156991815980539,0.3297560447952579,0.3802583088654653,0.3297560447952579,0.3802583088654653,x0,x0,1,24.221537058505067,24.221537058505067,10
256,0.8,0.0099045935517089,0.0273944686814139,0.1435264851634746,0.396970535160006,0.1435264851634746,0.396970535160006,x0,x0,1,14.490901056582077,14.490901056582077,10
256,1.6,0.0056679054142327,0.0697350562566468,0.038186585396566,0.4698285321049674,0.038186585396566,0.4698285321049674,x0,x0,1,6.737336388972738,6.737336388972738,10
512,0.1,0.0495296868194294,0.0165284645748703,0.5379156087869972,0.179506870627294,0.5379156087869972,0.179506870627294,eps,eps,1,10.860468606395148,10.860468606395148,10
512,0.2,0.0363089067136549,0.0215704418629188,0.3843902956163693,0.2283590797611336,0.3843902956163693,0.2283590797611336,eps,eps,1,10.58666675501438,10.58666675501438,10
512,0.4,0.0225740363066139,0.0260312585795063,0.2646984373447064,0.3052371040128294,0.2646984373447064,0.3052371040128294,eps,eps,1,11.725791247494012,11.725791247494012,10
512,0.8,0.0123044866666036,0.0340321763704266,0.1164106174673056,0.321972526963708,0.1164106174673056,0.321972526963708,x0,x0,1,9.46082682045266,9.46082682045266,10
512,1.6,0.0052015415453211,0.0639971498771655,0.0318145753267898,0.3914305264558362,0.0318145753267898,0.3914305264558362,x0,x0,1,6.116374357407131,6.116374357407131,10
1024,0.1,0.0346479926532854,0.011562320618905,0.3500238254684572,0.1168058344626264,0.3500238254684572,0.1168058344626264,eps,eps,1,10.102282951023057,10.102282951023057,10
1024,0.2,0.017394363484048,0.0103336657651008,0.2522850673905342,0.149877836365244,0.2522850673905342,0.149877836365244,eps,eps,1,14.503840144647938,14.503840144647938,10
1024,0.4,0.0082226222079217,0.0094819199361918,0.1923265064013202,0.221781384233842,0.1923265064013202,0.221781384233842,eps,eps,1,23.389923741848666,23.389923741848666,10
1024,0.8,0.0053090723775594,0.0146840166853003,0.0913876285584803,0.2527630755713375,0.0913876285584803,0.2527630755713375,x0,x0,1,17.213483271533562,17.213483271533562,10
1024,1.6,0.0027046078258848,0.0332761337930297,0.025342988113898,0.311807373742746,0.025342988113898,0.311807373742746,x0,x0,1,9.370300518747747,9.370300518747747,10
2048,0.1,0.0334047695334747,0.0111474468207046,0.2708197574781205,0.0903747843989227,0.2708197574781205,0.0903747843989227,eps,eps,1,8.107218258360781,8.107218258360781,10
2048,0.2,0.0157294167912862,0.0093445520987406,0.2001389738041935,0.1188988182154226,0.2001389738041935,0.1188988182154226,eps,eps,1,12.723864874320425,12.723864874320425,10
2048,0.4,0.0064593691693239,0.0074486240220096,0.1611325180587873,0.185810024675398,0.1611325180587873,0.185810024675398,eps,eps,1,24.945550228653772,24.945550228653772,10
2048,0.8,0.0029630086524498,0.0081951921912324,0.0759012402765973,0.2099302852542564,0.0759012402765973,0.2099302852542564,x0,x0,1,25.61627358524302,25.61627358524302,10
2048,1.6,0.0013032757758868,0.016034849368017,0.0240320400950262,0.2956781289575381,0.0240320400950262,0.2956781289575381,x0,x0,1,18.439719773563567,18.439719773563567,10
4096,0.1,0.036409316584912,0.012150088926726,0.2206961905395406,0.0736481371352159,0.2206961905395406,0.0736481371352159,eps,eps,1,6.0615307080769805,6.0615307080769805,10
4096,0.2,0.0203687592751349,0.0121006986310291,0.1606540397787723,0.0954415579741984,0.1606540397787723,0.0954415579741984,eps,eps,1,7.887276667601922,7.887276667601922,10
4096,0.4,0.0076258646639473,0.0087937687466805,0.13798540183076,0.1591179187658702,0.13798540183076,0.1591179187658702,eps,eps,1,18.094394263657826,18.094394263657826,10
4096,0.8,0.0034305274140347,0.0094882718118495,0.0635729306106266,0.1758322184051695,0.0635729306106266,0.1758322184051695,x0,x0,1,18.531532600655304,18.531532600655304,10
4096,1.6,0.0014891925335051,0.0183222756047028,0.0212477253324391,0.2614213211220274,0.0212477253324391,0.2614213211220274,x0,x0,1,14.267950486179112,14.267950486179112,10
32,0.1,0.1475064979602757,0.049224133699614,1.4406009079404318,0.4807403923272739,1.4406009079404318,0.4807403923272739,eps,eps,1,9.766355569829834,9.766355569829834,11
32,0.2,0.0836585097151852,0.0496999547351059,0.9307484439775462,0.5529402291881592,0.9307484439775462,0.5529402291881592,eps,eps,1,11.12556806410098,11.12556806410098,11
32,0.4,0.03776510903494,0.0435488498919329,0.5189454831842967,0.5984221819240786,0.5189454831842967,0.5984221819240786,eps,eps,1,13.741400367841416,13.741400367841416,11
32,0.8,0.0205423202117358,0.0568166623643915,0.2517934301321829,0.6964190100210385,0.2517934301321829,0.6964190100210385,x0,x0,1,12.257302365890144,12.257302365890144,11
32,1.6,0.0111842457804927,0.1376053324270937,0.0668827255327806,0.8228914011010672,0.0668827255327806,0.8228914011010672,x0,x0,1,5.980083668175089,5.980083668175089,11
64,0.1,0.1178557524735586,0.0393294356333332,1.2852457180547754,0.4288970854654982,1.2852457180547754,0.4288970854654982,eps,eps,1,10.905243834772724,10.905243834772724,11
64,0.2,0.0814275803044473,0.0483746013298353,0.8217752061012046,0.4882012682835156,0.8217752061012046,0.4882012682835156,eps,eps,1,10.092099053277677,10.092099053277677,11
64,0.4,0.0531521624646553,0.0612924364249378,0.4447454974763652,0.5128584400959091,0.4447454974763652,0.5128584400959091,eps,eps,1,8.367401754766012,8.367401754766012,11
64,0.8,0.0331053289268149,0.0915638679910358,0.2031348164868172,0.5618373272260887,0.2031348164868172,0.5618373272260887,x0,x0,1,6.136015652823804,6.136015652823804,11
64,1.6,0.0167191747900311,0.2057043139110598,0.0514136066068812,0.6325671455428294,0.0514136066068812,0.6325671455428294,x0,x0,1,3.0751282436222116,3.0751282436222116,11
128,0.1,0.067449616241211,0.0225084926681614,1.0828519239831698,0.3613566088280834,1.0828519239831698,0.3613566088280834,eps,eps,1,16.054234024263543,16.054234024263543,11
128,0.2,0.049178195025348,0.0292158451666795,0.7380166567044367,0.4384418818460844,0.7380166567044367,0.4384418818460844,eps,eps,1,15.006989506712044,15.006989506712044,11
128,0.4,0.0317045181654884,0.0365600772185645,0.4103364358925807,0.4731796176026885,0.4103364358925807,0.4731796176026885,x0,x0,1,12.94252237964139,12.94252237964139,11
128,0.8,0.0206910193832047,0.057227939694904,0.1744015743654515,0.4823659286977333,0.1744015743654515,0.4823659286977333,x0,x0,1,8.428853655563051,8.428853655563051,11
