seed,n_chains,n_components,inits_tried,val_log_evidence_per_edge,test_log_evidence_per_edge,schedule_score_risk,hellinger_weighted_mean_sq,hellinger_weighted_mean,s_min_over_h,effective_n_components,em_iters_used,em_converged
3,128,1,2,-1.3971826100459281,-1.388752435829652,0.35964301655415726,0.05124531812532559,0.21151805812320884,10.848143941667539,1.0,93,True
3,128,2,2,-1.3841270045590093,-1.3761574706372486,0.2982488643170243,0.050894996488638114,0.20334966473371247,3.7938766656911107,1.9669615056571212,1201,False
3,128,4,2,-1.3881096212511148,-1.3803723406101733,0.3470454784561186,0.06291976901525514,0.2333331617406553,4.2582681372444116,3.673685595785618,1201,False
3,128,8,2,-1.3897935311604457,-1.3819265291218887,0.3631861579270427,0.07017731248213001,0.2491274113864776,4.02753955637397,6.134271012622233,1201,False
3,128,16,2,-1.3904152428870669,-1.3825380634850448,0.3710807778635616,0.07196699467902631,0.2528389345673433,2.756090283742127,13.830020449735207,1201,False
4,128,1,2,-1.319034692549495,-1.3163994196039022,0.18569737842609493,0.02035152605564481,0.14179345342056487,12.69369505524881,1.0,65,True
4,128,2,2,-1.3810065279134358,-1.3768026106425217,0.6648998936677932,0.1380206988708339,0.37092280375523135,0.8617564238477595,1.1534840478072828,1201,False
4,128,4,2,-1.3663375661574293,-1.3624846953131926,0.650699553905539,0.2567633715339504,0.5063646465545995,0.7456447759290806,2.7286880167644463,1201,False
4,128,8,2,-1.3663954638839526,-1.3625534983278258,0.6503585104469058,0.25566028027205184,0.5052765628726731,0.7469038158107378,5.90363220191922,1201,False
4,128,16,2,-1.3663818236626442,-1.3625123160024708,0.652936586654764,0.25875955737406764,0.5083271956530537,0.740590133653081,11.625256869642936,1201,False
5,128,1,2,-1.326503724519159,-1.3348209860996463,0.25818467603959344,0.037680451748496546,0.1852046127427408,14.117381275565299,1.0,64,True
5,128,2,2,-1.3426419741298412,-1.3510313575729755,0.3259679787692696,0.053543518205165036,0.21264123773263788,11.059514312050323,1.7984585416301915,1201,False
