beta_true,excess_kurtosis,t,alpha,delta,n_info,condition_number,corr_rho_beta,corr_q_beta,corr_rho_q,diag_rho,eff_rho,nuisance_cost_rho,diag_q,eff_q,nuisance_cost_q,diag_beta,eff_beta,nuisance_cost_beta
1.5,0.7619542369302295,0.05,0.951229424500714,0.09516258196404048,512,160.982281378535,0.0458131492612609,0.013596484598773599,0.30021606857457117,108.29415401236797,98.34500673213319,1.1011657593082864,85.91472879859583,78.17125898006586,1.0990577600970275,0.7977410507030428,0.7960666944602118,1.0021032863885435
1.5,0.7619542369302295,0.1,0.9048374180359595,0.18126924692201818,512,371.82262548648407,0.06170649290659797,0.0025403778432585983,0.33184446093702974,79.23342022874527,70.21466557976142,1.1284454547282414,55.35901286500928,49.244958830009715,1.1241559375875378,0.249299509852291,0.248260124233721,1.004186679684376
1.5,0.7619542369302295,0.2,0.8187307530779818,0.3296799539643607,512,1046.6497193459131,0.08411085292329719,0.04148911915133998,0.4921929331548423,69.35084824965318,52.268533181492025,1.3268183365476556,36.16973847623272,27.407478569709266,1.3197032475730002,0.07936087469251482,0.07879942456981649,1.007125053587173
1.5,0.7619542369302295,0.4,0.6703200460356393,0.5506710358827784,512,5309.17571832896,0.07546546949822741,0.09099593106226445,0.6788404626057687,75.28276767387786,40.576398611991465,1.8553338948033127,21.131258538794032,11.359851021487316,1.860170392976454,0.01643402077705984,0.016292227266762344,1.0087031384951748
1.5,0.7619542369302295,0.8,0.44932896411722156,0.7981034820053446,512,26139.561573404662,0.07788757955610401,0.0427955469841127,0.8025742205942515,43.721732801269226,15.476414590868457,2.825055670650381,8.268225648303206,2.939218339956673,2.8130695620336557,0.0019029044772859568,0.0018892822259357585,1.0072102786778991
1.5,0.7619542369302295,1.6,0.20189651799465538,0.9592377960216338,512,588510.115444914,0.11456430177709684,0.11279124179879987,0.9040800335786837,6.514125824007851,1.1886891564347295,5.480091905225973,0.9323261519677593,0.17019915015944967,5.477854331789067,1.2565432243696249e-05,1.239466784328519e-05,1.0137772470041277
2.0,-4.440892098500626e-16,0.05,0.951229424500714,0.09516258196404048,512,422.9149721137064,0.04289894540647453,-0.06461194152425144,0.19125162763954184,89.7409815851858,86.18336013425686,1.0412796791095968,91.38698807608705,87.55886080123362,1.0437206153646017,0.25703620130492744,0.2551485643101704,1.0073981877964335
2.0,-4.440892098500626e-16,0.1,0.9048374180359595,0.18126924692201818,512,1214.6796728445913,0.06504661599619764,0.022421869213578034,0.40794151332227724,81.44979505091618,67.64058191646245,1.204155741171896,61.9501361333006,51.63957241226204,1.1996640026126606,0.08455837832158933,0.08419889024055802,1.0042695109164057
2.0,-4.440892098500626e-16,0.2,0.8187307530779818,0.3296799539643607,512,4727.09785753485,0.0804658807343138,0.10811548362474134,0.585275461751194,86.46205130040478,56.81885637051661,1.5217140369138098,34.844054431776975,22.777726762524345,1.529742401208582,0.02181324868507857,0.021548472107962024,1.0122874872886563
2.0,-4.440892098500626e-16,0.4,0.6703200460356393,0.5506710358827784,512,22817.423492777223,0.10800670732847295,0.027994272435790595,0.7181428097282461,90.67574098204233,43.21043068663928,2.098468808136166,21.466730145722018,10.342342586962303,2.0756158447877437,0.00459050593487719,0.004513663479671916,1.0170244094517342
2.0,-4.440892098500626e-16,0.8,0.44932896411722156,0.7981034820053446,512,161956.8509066438,0.10541207853586383,0.13776343128359056,0.848272839374936,50.60373540178921,14.184205622237332,3.5676115215402016,8.899196418064705,2.47459657665263,3.596221098027456,0.000360807984047761,0.0003537916495716921,1.0198318261173294
